side,bucket,bets,average_probability,actual_win_rate,average_market_probability,average_residual_edge,ece_component
player1,0,53,0.06601811967523263,0.07547169811320754,0.10386584030065574,-0.03784772062542311,0.00023927395282362477
player1,1,104,0.1707573099751237,0.25,0.18199736730643684,-0.011240057331313134,0.00393564458576272
player1,2,182,0.26271356444986615,0.26373626373626374,0.26372065269617023,-0.0010070882463041324,8.888790359329562e-05
player1,3,357,0.3598948305786687,0.3557422969187675,0.35030889777051333,0.009585932808155433,0.0007079534463155345
player1,4,341,0.44873153188603265,0.4838709677419355,0.436694112879976,0.012037419006056583,0.0057223245591513225
player1,5,329,0.5540359122365257,0.5319148936170213,0.5448959845494203,0.009139927687105275,0.0034755564115649287
player1,6,296,0.6424338412258841,0.6317567567567568,0.6367148507280597,0.005718990497824309,0.001509272685225253
player1,7,239,0.736576189417622,0.7656903765690377,0.7279777726559891,0.008598416761633138,0.0033229659642733263
player1,8,118,0.8307813768872363,0.8305084745762712,0.8021682419507361,0.02861313493650024,1.537844923299071e-05
player1,9,75,0.9307651187015161,0.9333333333333333,0.8828918631003584,0.047873255601157565,9.198476474990052e-05
player2,0,75,0.06923488129848392,0.06666666666666667,0.1171081368996415,-0.04787325560115759,9.198476474990151e-05
player2,1,118,0.1692186231127638,0.1694915254237288,0.19783175804926406,-0.02861313493650021,1.5378449232984455e-05
player2,2,239,0.2634238105823779,0.23430962343096234,0.27202222734401105,-0.008598416761633131,0.0033229659642733137
player2,3,296,0.35756615877411596,0.36824324324324326,0.3632851492719402,-0.0057189904978242915,0.001509272685225253
player2,4,329,0.44596408776347435,0.46808510638297873,0.45510401545057955,-0.009139927687105243,0.00347555641156492
player2,5,341,0.5512684681139673,0.5161290322580645,0.5633058871200238,-0.012037419006056541,0.0057223245591513225
player2,6,357,0.6401051694213312,0.6442577030812325,0.6496911022294867,-0.009585932808155414,0.0007079534463155535
player2,7,182,0.737286435550134,0.7362637362637363,0.7362793473038297,0.0010070882463041264,8.888790359330045e-05
player2,8,104,0.8292426900248763,0.75,0.8180026326935631,0.01124005733131316,0.003935644585762718
player2,9,53,0.9339818803247671,0.9245283018867925,0.8961341596993442,0.03784772062542309,0.0002392739528236188
