bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,edge_threshold,model_type,max_odds,exclude_slams,surface,min_edge_trust
1,1,1.0,1.0,1.62,1.62,1.5876000000000001,1.5876000000000001,0.0,2.62,0.393618331846834,0.029540661943921298,0.0234375,1.0,0.004827165036837209,0.02,other,3.0,True,Grass,
1,1,1.0,1.0,1.62,1.62,1.5876000000000001,1.5876000000000001,0.0,2.62,0.393618331846834,0.029540661943921298,0.0234375,1.0,0.004827165036837209,0.03,other,3.0,True,Grass,
1,1,1.0,1.0,1.62,1.62,1.5876000000000001,1.5876000000000001,0.0,2.62,0.393618331846834,0.029540661943921298,0.0234375,1.0,0.004827165036837209,0.03,other,5.0,True,Grass,
1,1,1.0,1.0,1.62,1.62,1.5876000000000001,1.5876000000000001,0.0,2.62,0.393618331846834,0.029540661943921298,0.0234375,1.0,0.004827165036837209,0.03,other,10.0,True,Grass,
1,1,1.0,1.0,1.62,1.62,1.5876000000000001,1.5876000000000001,0.0,2.62,0.393618331846834,0.029540661943921298,0.0234375,1.0,0.004827165036837209,0.03,other,,True,Grass,
10,5,0.5,10.0,5.1,0.51,4.898,0.48979999999999996,-2.38,3.1130000000000004,0.37277108909639384,0.02874375846076386,0.011156183224642846,0.6,0.004238489341916849,0.01,other,5.0,False,Grass,
5,2,0.4,5.0,2.5,0.5,2.3899999999999997,0.4779999999999999,-2.0,4.05,0.2743359864898752,0.03978679535057318,-0.04407465677556712,0.0,0.008540687867591778,0.02,other,5.0,True,Clay,
5,2,0.4,5.0,2.5,0.5,2.3899999999999997,0.4779999999999999,-2.0,4.05,0.2743359864898752,0.03978679535057318,-0.04407465677556712,0.0,0.008540687867591778,0.03,other,5.0,True,Clay,
15,6,0.4,15.0,7.460000000000001,0.4973333333333334,7.130800000000001,0.47538666666666674,-5.0,4.059333333333333,0.4512522373788307,0.1466785288345003,-0.023934902164049993,0.2,0.057414559844654094,0.1,,10.0,False,Grass,
15,6,0.4,15.0,7.460000000000001,0.4973333333333334,7.130800000000001,0.47538666666666674,-5.0,4.059333333333333,0.4512522373788307,0.1466785288345003,-0.023934902164049993,0.2,0.057414559844654094,0.1,top_10,10.0,False,Grass,
16,6,0.375,16.0,6.460000000000001,0.40375000000000005,6.130799999999999,0.38317499999999993,-5.0,4.055625,0.43998352638314947,0.13956472224188737,-0.02212490042703808,0.25,0.05426266780119511,0.075,top_10,10.0,False,Grass,
5,2,0.4,5.0,1.9500000000000002,0.39,1.851,0.3702,-2.0,3.596000000000001,0.3123907381391815,0.027987880794625865,0.04320718389350971,1.0,0.004985151650456044,0.02,other,5.0,False,Grass,
4,2,0.5,4.0,1.37,0.3425,1.3026,0.32565,-1.0,2.5925000000000002,0.3947414190627559,0.029135601657002325,-0.006546173521934873,0.5,0.0026290810851321176,0.01,other,3.0,True,Grass,
12,5,0.4166666666666667,12.0,3.96,0.33,3.7408,0.31173333333333336,-4.0,3.3658333333333332,0.5188143231240793,0.1732727550817239,-0.010786351024639568,0.25,0.06936545822470248,0.1,,5.0,False,Grass,
12,5,0.4166666666666667,12.0,3.96,0.33,3.7408,0.31173333333333336,-4.0,3.3658333333333332,0.5188143231240793,0.1732727550817239,-0.010786351024639568,0.25,0.06936545822470248,0.1,top_10,5.0,False,Grass,
17,6,0.35294117647058826,17.0,5.46,0.3211764705882353,5.1308,0.30181176470588233,-5.0,4.0717647058823525,0.4287650278615683,0.13308734044509696,-0.015810904367715047,0.29411764705882354,0.051421103845858296,0.075,,10.0,False,Grass,
2,1,0.5,2.0,0.6200000000000001,0.31000000000000005,0.5876000000000001,0.29380000000000006,-1.0,2.495,0.4203002338326266,0.03902282020096723,0.0181290064102565,1.0,0.007828515172584066,0.02,other,3.0,False,Grass,
2,1,0.5,2.0,0.6200000000000001,0.31000000000000005,0.5876000000000001,0.29380000000000006,-1.0,3.475,0.31483020880201307,0.0228814639406468,0.04105860330073352,1.0,0.0032417443550793335,0.02,other,5.0,True,Grass,
2,1,0.5,2.0,0.6200000000000001,0.31000000000000005,0.5876000000000001,0.29380000000000006,-1.0,3.475,0.31483020880201307,0.0228814639406468,0.04105860330073352,1.0,0.0032417443550793335,0.02,other,10.0,True,Grass,
2,1,0.5,2.0,0.6200000000000001,0.31000000000000005,0.5876000000000001,0.29380000000000006,-1.0,3.475,0.31483020880201307,0.0228814639406468,0.04105860330073352,1.0,0.0032417443550793335,0.02,other,,True,Grass,
2,1,0.5,2.0,0.6200000000000001,0.31000000000000005,0.5876000000000001,0.29380000000000006,-1.0,2.495,0.4203002338326266,0.03902282020096723,0.0181290064102565,1.0,0.007828515172584066,0.03,other,3.0,False,Grass,
12,5,0.4166666666666667,12.0,3.1,0.25833333333333336,2.8979999999999997,0.24149999999999996,-4.38,4.094166666666666,0.33001088721015304,0.025422811741269775,-0.0009480230821675151,0.5,0.0037066293915452887,0.01,other,10.0,False,Grass,
6,2,0.3333333333333333,6.0,1.5,0.25,1.3899999999999997,0.2316666666666666,-3.0,4.708333333333333,0.25293834005447396,0.03765689222546674,-0.03652028657037768,0.16666666666666666,0.008114864074301129,0.02,other,10.0,True,Clay,
6,2,0.3333333333333333,6.0,1.5,0.25,1.3899999999999997,0.2316666666666666,-3.0,4.708333333333333,0.25293834005447396,0.03765689222546674,-0.03652028657037768,0.16666666666666666,0.008114864074301129,0.02,other,,True,Clay,
6,2,0.3333333333333333,6.0,1.5,0.25,1.3899999999999997,0.2316666666666666,-2.0,3.908333333333333,0.28326357978652145,0.03809831816458841,-0.028532159334830515,0.16666666666666666,0.008050666936311469,0.03,other,5.0,False,Clay,
6,2,0.3333333333333333,6.0,1.5,0.25,1.3899999999999997,0.2316666666666666,-3.0,4.708333333333333,0.25293834005447396,0.03765689222546674,-0.03652028657037768,0.16666666666666666,0.008114864074301129,0.03,other,10.0,True,Clay,
6,2,0.3333333333333333,6.0,1.5,0.25,1.3899999999999997,0.2316666666666666,-3.0,4.708333333333333,0.25293834005447396,0.03765689222546674,-0.03652028657037768,0.16666666666666666,0.008114864074301129,0.03,other,,True,Clay,
3,1,0.3333333333333333,3.0,0.75,0.25,0.6949999999999998,0.2316666666666666,-1.0,4.0,0.28649165131925286,0.050576158361506425,-0.057837176481426535,0.0,0.011661046720794868,0.075,other,5.0,False,Clay,
3,1,0.3333333333333333,3.0,0.75,0.25,0.6949999999999998,0.2316666666666666,-1.0,4.0,0.28649165131925286,0.050576158361506425,-0.057837176481426535,0.0,0.011661046720794868,0.075,other,5.0,True,Clay,
18,6,0.3333333333333333,18.0,4.460000000000001,0.24777777777777782,4.130799999999999,0.22948888888888883,-5.0,6.716111111111111,0.3964517638206012,0.13338499040497667,-0.00010882039495351764,0.3333333333333333,0.05076500936967524,0.1,,,False,Grass,
18,6,0.3333333333333333,18.0,4.460000000000001,0.24777777777777782,4.130799999999999,0.22948888888888883,-5.0,6.716111111111111,0.3964517638206012,0.13338499040497667,-0.00010882039495351764,0.3333333333333333,0.05076500936967524,0.1,top_10,,False,Grass,
13,5,0.38461538461538464,13.0,2.96,0.2276923076923077,2.7408,0.21083076923076924,-4.0,3.414615384615385,0.4997480568412986,0.16247159110256765,-0.009570083589810322,0.3076923076923077,0.06456690660351846,0.075,top_10,5.0,False,Grass,
20,7,0.35,20.0,4.36,0.21800000000000003,4.012799999999999,0.20063999999999993,-6.1,3.8245000000000005,0.4357328874038659,0.12140534467737238,-0.019075921159105814,0.3,0.045536766966588385,0.05,top_10,10.0,False,Grass,
19,6,0.3157894736842105,19.0,3.460000000000001,0.18210526315789477,3.130799999999999,0.164778947368421,-5.5,6.573157894736842,0.38984655843256594,0.12809407634959333,0.0001613872904724893,0.3684210526315789,0.0484607608317613,0.075,top_10,,False,Grass,
142,67,0.47183098591549294,142.0,25.330000000000002,0.17838028169014086,23.323400000000003,0.16424929577464792,-11.34,3.0403521126760564,0.526565989992915,0.11287903563005061,-0.011641668422211471,0.39436619718309857,0.05189078815238921,0.05,top_10,10.0,False,Hard,
22,8,0.36363636363636365,22.0,3.91,0.17772727272727273,3.5517999999999987,0.16144545454545448,-6.1,3.598181818181818,0.46858971865695404,0.11605546830060222,-0.017448839736851518,0.3181818181818182,0.04590692954480942,0.03,top_10,10.0,False,Grass,
163,82,0.5030674846625767,163.0,25.76,0.15803680981595092,23.6248,0.14493742331288345,-10.42,2.835521472392638,0.558060061740315,0.10740660256373921,-0.01021453965980809,0.4049079754601227,0.05203544058893258,0.03,top_10,10.0,False,Hard,
109,46,0.42201834862385323,109.0,16.9,0.155045871559633,15.302000000000003,0.14038532110091745,-13.190000000000001,3.2934862385321098,0.49989162698087886,0.12475536548040685,-0.015572664456099835,0.3577981651376147,0.05401520539107887,0.1,top_10,10.0,False,Hard,
31,13,0.41935483870967744,31.0,4.62,0.14903225806451614,4.167599999999999,0.13443870967741933,-7.1,2.973548387096774,0.49078056848014956,0.09206195989407011,-0.0008920610718645551,0.45161290322580644,0.0354112177369327,0.01,,5.0,False,Grass,
127,57,0.44881889763779526,127.0,17.92,0.1411023622047244,16.1616,0.12725669291338582,-11.250000000000004,3.116614173228347,0.5203979057072681,0.11886218986501787,-0.013998276153545717,0.36220472440944884,0.054331950539300934,0.075,top_10,10.0,False,Hard,
14,5,0.35714285714285715,14.0,1.96,0.13999999999999999,1.7408000000000001,0.12434285714285716,-5.0,3.48,0.4818566993180822,0.15296999400213068,-0.00279986100614862,0.35714285714285715,0.060380419029014934,0.075,,5.0,False,Grass,
37,14,0.3783783783783784,37.0,5.120000000000001,0.1383783783783784,4.557599999999999,0.12317837837837835,-8.1,3.680540540540541,0.43715465450791086,0.08123968088403503,-0.010757742310336696,0.3783783783783784,0.03053178363231184,0.01,,10.0,False,Grass,
9,3,0.3333333333333333,9.0,1.25,0.1388888888888889,1.1049999999999995,0.12277777777777772,-5.0,3.3000000000000003,0.3482214759192655,0.03875838840952219,-0.03209830094492978,0.0,0.006062078501740739,0.01,other,5.0,True,Clay,
6,3,0.5,6.0,0.77,0.12833333333333333,0.6945999999999999,0.11576666666666664,-1.0,2.356666666666667,0.45867336065011227,0.03488692584984524,-0.004574781384913333,0.5,0.005279499583531049,0.01,other,3.0,False,Grass,
24,9,0.375,24.0,3.0200000000000005,0.12583333333333335,2.6595999999999997,0.11081666666666666,-6.1,3.397916666666667,0.5012291006297587,0.11197450181855635,-0.015366793568304365,0.3333333333333333,0.04517482314163029,0.02,top_10,10.0,False,Grass,
112,46,0.4107142857142857,112.0,13.9,0.12410714285714286,12.302000000000003,0.10983928571428574,-16.189999999999998,3.326517857142857,0.49352835672616446,0.12271265074081425,-0.015874880433893353,0.36607142857142855,0.05288155109603941,0.1,,10.0,False,Hard,
177,90,0.5084745762711864,177.0,20.840000000000003,0.1177401129943503,18.683199999999996,0.10555480225988698,-11.159999999999998,2.7823728813559323,0.5695034342060482,0.10291690385489172,-0.010242084374489082,0.3954802259887006,0.05172169037503226,0.02,top_10,10.0,False,Hard,
