tourney_date,match_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,closing_odds,execution_odds_source,closing_odds_source,friction_bps,friction_adjusted_odds,clv,market_probability,market_overround,edge,ev,friction_adjusted_ev,fractional_kelly_25,edge_trust_probability,accepted_by_strategy,won,stake,profit,friction_adjusted_profit
2018-12-31,2019-01-01,Doha,R32,Hard,3,Pierre Hugues Herbert,Dominic Thiem,player2,top_10,0.3839362145109013,3.75,3.77,selected,average_proxy,200.0,3.695,-0.0053050397877983935,0.25,1.0666666666666667,0.13393621451090132,0.43976080441587984,0.41864431261778035,0.03997825494689817,,True,True,1.0,2.75,2.695
2018-12-31,2019-01-01,Doha,R32,Hard,3,Damir Dzumhur,Novak Djokovic,player2,top_10,0.11855970294634466,11.0,12.85,selected,average_proxy,200.0,10.8,-0.14396887159533067,0.08713692946058092,1.0432900432900432,0.031422773485763736,0.30415673240979124,0.2804447918205223,0.007603918310244781,,True,False,1.0,-1.0,-1.0
2018-12-31,2019-01-02,Pune,R16,Hard,3,Kevin Anderson,Laslo Djere,player2,top_10,0.8745819915878583,1.25,1.32,selected,average_proxy,200.0,1.245,-0.053030303030303094,0.75,1.0666666666666667,0.12458199158785832,0.0932274894848229,0.08885457952688369,0.0932274894848229,,True,True,1.0,0.25,0.2450000000000001
2018-12-31,2019-01-02,Brisbane,R16,Hard,3,Denis Kudla,Kei Nishikori,player2,top_10,0.2670259796682126,5.0,5.17,selected,average_proxy,200.0,4.92,-0.03288201160541582,0.1883116883116883,1.0620689655172415,0.07871429135652433,0.3351298983410631,0.31376781996760617,0.020945618646316444,,True,False,1.0,-1.0,-1.0
2018-12-31,2019-01-03,Brisbane,QF,Hard,3,Grigor Dimitrov,Kei Nishikori,player2,top_10,0.5007591873557637,2.3,2.26,selected,average_proxy,200.0,2.274,0.017699115044247815,0.411764705882353,1.0559006211180124,0.08899448147341077,0.1517461309182565,0.13872639204700676,0.02918194825351087,,True,False,1.0,-1.0,-1.0
2018-12-31,2019-01-04,Doha,SF,Hard,3,Roberto Bautista Agut,Novak Djokovic,player2,top_10,0.2144838288822134,5.0,4.95,selected,average_proxy,200.0,4.92,0.010101010101010166,0.1883116883116883,1.0620689655172415,0.02617214057052511,0.072419144411067,0.05526043810048997,0.004526196525691688,,True,True,1.0,4.0,3.92
2018-12-31,2019-01-06,Brisbane,F,Hard,3,Daniil Medvedev,Kei Nishikori,player2,top_10,0.48425180468248663,2.37,2.36,selected,average_proxy,200.0,2.3426,0.004237288135593209,0.398477157360406,1.058883603429278,0.08577464732208062,0.14767677709749338,0.13440827764919316,0.026948316988593683,,True,False,1.0,-1.0,-1.0
2019-01-07,2019-01-08,Auckland,R16,Hard,3,Taylor Fritz,John Isner,player1,top_10,0.4385733378180537,2.37,2.4,selected,average_proxy,200.0,2.3426,-0.012499999999999956,0.39230769230769225,1.0755356995118723,0.04626564551036144,0.03941881062878727,0.027401901172572574,0.007193213618391837,,True,True,1.0,1.37,1.3426
2019-01-14,2019-01-14,Australian Open,R128,Hard,5,Peter Gojowczyk,Karen Khachanov,player1,other,0.1636695901770869,6.5,7.07,selected,average_proxy,200.0,6.39,-0.08062234794908063,0.14586070959264127,1.0547470547470548,0.01780888058444563,0.06385233615106489,0.04584868123158525,0.002902378915957495,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-14,Australian Open,R128,Hard,5,John Isner,Reilly Opelka,player1,top_10,0.8483397340956729,1.5,1.46,selected,average_proxy,200.0,1.49,0.027397260273972712,0.6359223300970874,1.0483460559796436,0.21241740399858544,0.2725096011435093,0.2640262038025526,0.13625480057175465,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-14,Australian Open,R128,Hard,5,James Duckworth,Rafael Nadal,player2,top_10,0.18999656544792298,11.0,11.64,selected,average_proxy,200.0,10.8,-0.054982817869415834,0.08713692946058092,1.0432900432900432,0.10285963598734206,1.0899622199271528,1.0519629068375684,0.02724905549817882,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-15,Australian Open,R128,Hard,5,Kamil Majchrzak,Kei Nishikori,player1,top_10,0.11391873686748452,17.0,15.25,selected,average_proxy,200.0,16.68,0.11475409836065564,0.05660377358490567,1.0392156862745097,0.05731496328257885,0.9366185267472369,0.9001645309496418,0.014634664480425576,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-15,Australian Open,R128,Hard,5,Steve Darcis,Borna Coric,player2,other,0.18790901292532403,5.5,5.37,selected,average_proxy,200.0,5.41,0.024208566108007368,0.1716867469879518,1.0590111642743223,0.01622226593737222,0.03349957108928214,0.01658775992600303,0.0018610872827378969,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-15,Australian Open,R128,Hard,5,Benoit Paire,Dominic Thiem,player1,top_10,0.4295688741376467,3.75,3.68,selected,average_proxy,200.0,3.695,0.01902173913043481,0.25447316103379725,1.0479166666666666,0.17509571310384947,0.610883278016175,0.5872569899386044,0.05553484345601591,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-16,Australian Open,R64,Hard,5,John Millman,Roberto Bautista Agut,player1,other,0.3184295318818628,3.4,3.46,selected,average_proxy,200.0,3.352,-0.017341040462427793,0.28118393234672306,1.0459973463069439,0.03724559953513973,0.08266040839833355,0.06737579086800405,0.008610459208159746,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-16,Australian Open,R64,Hard,5,Matthew Ebden,Rafael Nadal,player2,top_10,0.13796707892551496,10.0,9.92,selected,average_proxy,200.0,9.82,0.008064516129032251,0.09584086799276674,1.0433962264150942,0.04212621093274822,0.37967078925514963,0.35483671504855696,0.010546410812643046,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-17,Australian Open,R64,Hard,5,Novak Djokovic,Jo-Wilfried Tsonga,player1,top_10,0.9729929802649622,1.06,1.06,selected,average_proxy,200.0,1.0588,0.0,0.9041591320072333,1.0433962264150942,0.06883384825772887,0.03137255908085995,0.030204967504541907,0.13071899617024968,,True,True,1.0,0.06000000000000005,0.05879999999999996
2019-01-14,2019-01-18,Australian Open,R32,Hard,5,Marin Cilic,Fernando Verdasco,player2,top_10,0.8350135629859144,1.28,1.3,selected,average_proxy,200.0,1.2744,-0.015384615384615441,0.7455268389662029,1.0479166666666666,0.08948672401971158,0.06881736062197052,0.06414128466924934,0.06144407198390225,,True,True,1.0,0.28,0.2744
2019-01-14,2019-01-18,Australian Open,R32,Hard,5,Diego Schwartzman,Tomas Berdych,player1,other,0.26805908344666063,4.0,4.04,selected,average_proxy,200.0,3.94,-0.00990099009900991,0.23809523809523808,1.05,0.029963845351422547,0.07223633378664251,0.056152788779842866,0.00601969448222021,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-19,Australian Open,R32,Hard,5,Alex Bolt,Alexander Zverev,player1,top_10,0.16019264211983092,13.0,10.63,selected,average_proxy,200.0,12.76,0.22295390404515514,0.07407407407407408,1.0384615384615383,0.08611856804575684,1.082504347557802,1.0440581134490425,0.022552173907454207,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-20,Australian Open,R16,Hard,5,Marin Cilic,Roberto Bautista Agut,player1,top_10,0.6941862121697782,1.72,1.72,selected,average_proxy,200.0,1.7056,0.0,0.549738219895288,1.0575858250276855,0.14444799227449012,0.19400028493201843,0.18400400347677365,0.06736121004583974,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-20,Australian Open,R16,Hard,5,Roger Federer,Stefanos Tsitsipas,player1,top_10,0.9161042935423591,1.14,1.16,selected,average_proxy,200.0,1.1372,-0.017241379310344862,0.8283132530120482,1.0590111642743223,0.08779104053031095,0.04435889463828929,0.04179380261637078,0.07921231185408807,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-21,Australian Open,R16,Hard,5,Daniil Medvedev,Novak Djokovic,player1,top_10,0.18114389797279581,6.5,6.4,selected,average_proxy,200.0,6.39,0.015625,0.14586070959264127,1.0547470547470548,0.03528318838015454,0.1774353368231728,0.15750950804616526,0.008065242582871491,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-21,Australian Open,R16,Hard,5,Milos Raonic,Alexander Zverev,player1,top_10,0.5785022523701722,2.2,2.13,selected,average_proxy,200.0,2.176,0.032863849765258246,0.43005181347150256,1.0569550930996714,0.1484504388986696,0.2727049552143789,0.2588209011574947,0.05681353233632892,,True,True,1.0,1.2000000000000002,1.1760000000000002
2019-01-14,2019-01-24,Australian Open,SF,Hard,5,Rafael Nadal,Stefanos Tsitsipas,player2,top_10,0.935165203896558,1.16,1.18,selected,average_proxy,200.0,1.1567999999999998,-0.016949152542372947,0.8116883116883117,1.0620689655172415,0.12347689220824631,0.08479163652000721,0.08179910786753813,0.13248693206251133,,True,True,1.0,0.15999999999999992,0.15679999999999983
2019-01-14,2019-01-25,Australian Open,SF,Hard,5,Lucas Pouille,Novak Djokovic,player2,top_10,0.11229437203288417,11.0,10.45,selected,average_proxy,200.0,10.8,0.052631578947368585,0.08713692946058092,1.0432900432900432,0.02515744257230325,0.23523809236172588,0.2127792179551491,0.005880952309043147,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-27,Australian Open,F,Hard,5,Novak Djokovic,Rafael Nadal,player2,top_10,0.6289621303312996,1.74,1.75,selected,average_proxy,200.0,1.7252,-0.005714285714285672,0.5526992287917738,1.0398289227479283,0.07626290153952575,0.0943941067764612,0.08508546724755806,0.031889900937993654,,True,True,1.0,0.74,0.7252000000000001
2019-02-04,2019-02-07,Cordoba,R16,Clay,3,Alessandro Giannessi,Diego Schwartzman,player1,other,0.1459501078774676,8.0,7.99,selected,average_proxy,200.0,7.859999999999999,0.0012515644555695093,0.11894273127753305,1.0509259259259258,0.027007376599934546,0.16760086301974075,0.1471678479168952,0.005985745107847884,,True,False,1.0,-1.0,-1.0
2019-02-11,2019-02-13,Rotterdam,R32,Hard,3,Thomas Fabbiano,Jo-Wilfried Tsonga,player2,other,0.21486468491777155,5.5,6.2,selected,average_proxy,200.0,5.41,-0.11290322580645162,0.1716867469879518,1.0590111642743223,0.04317793792981975,0.18175576704774354,0.1624179454051441,0.01009754261376353,,True,False,1.0,-1.0,-1.0
