bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,segment,value
305,120,0.39344262295081966,305.0,-24.529999999999998,-0.08042622950819671,-27.73940000000001,-0.09094885245901643,-49.73000000000002,4.188688524590164,0.4834467703047438,0.09362134297462198,-0.0016694071597286324,0.42950819672131146,0.04358378801073659,year,2019
38,5,0.13157894736842105,38.0,-21.58,-0.5678947368421052,-21.8084,-0.5739052631578947,-21.58,4.685526315789473,0.2763682549962104,0.03290321891327336,-0.008817912586632294,0.47368421052631576,0.0065956783141774685,model_type,other
267,115,0.4307116104868914,267.0,-2.950000000000003,-0.01104868913857679,-5.930999999999997,-0.022213483146067407,-30.27999999999999,4.117977528089888,0.5129186189254339,0.10226287373990753,-0.0006520168742517068,0.4232209737827715,0.04884801336080867,model_type,top_10
76,27,0.35526315789473684,76.0,-19.119999999999997,-0.251578947368421,-19.7176,-0.2594421052631579,-26.58,5.040789473684211,0.4720640290499253,0.08781301742255061,0.008476599495900478,0.4473684210526316,0.04462495230681831,surface,Clay
33,9,0.2727272727272727,33.0,-4.47,-0.13545454545454544,-4.8606,-0.14729090909090908,-11.5,6.2266666666666675,0.3713376695318691,0.08799264892533777,0.010297337526703967,0.48484848484848486,0.0330386839955403,surface,Grass
196,84,0.42857142857142855,196.0,-0.9399999999999977,-0.004795918367346927,-3.1612000000000045,-0.01612857142857145,-25.7,3.51515306122449,0.5067359981663309,0.09682123912555973,-0.007618382060137244,0.413265306122449,0.0449555224291002,surface,Hard
9,4,0.4444444444444444,9.0,-0.10000000000000009,-0.01111111111111112,-0.1980000000000004,-0.022000000000000044,-4.1,2.01,0.6164405420152298,0.1124231132100102,-0.014998074667237286,0.2222222222222222,0.050134656594157154,tournament_importance,1
119,50,0.42016806722689076,119.0,-13.8,-0.11596638655462185,-14.904000000000003,-0.12524369747899164,-21.22,3.324873949579832,0.5011640132138527,0.09152479206394004,-0.013301265446559261,0.37815126050420167,0.04384069169029513,tournament_importance,3
100,40,0.4,100.0,-6.219999999999996,-0.062199999999999964,-7.295600000000003,-0.07295600000000003,-18.689999999999998,3.2193999999999994,0.5160753848577045,0.10330391180334661,-0.006337067227364236,0.43,0.04612760838012032,tournament_importance,4
77,26,0.33766233766233766,77.0,-4.409999999999998,-0.05727272727272725,-5.341800000000001,-0.06937402597402599,-26.569999999999997,7.037142857142856,0.3981460260596216,0.08208909288865039,0.023926893495647767,0.5324675324675324,0.03911740629571551,tournament_importance,5
