bets,wins,win_rate,staked,profit,roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,edge_threshold
385,158,0.4103896103896104,385.0,-36.859999999999985,-0.0957402597402597,-59.98000000000004,3.850311688311688,0.5010914009174624,0.08255473390419173,-0.0023538913523432803,0.4103896103896104,0.01
342,136,0.39766081871345027,342.0,-36.65,-0.10716374269005847,-56.01000000000004,4.027953216374269,0.492912719320767,0.08808350837084468,-0.002242516199770412,0.4239766081871345,0.02
305,120,0.39344262295081966,305.0,-24.529999999999998,-0.08042622950819671,-49.73000000000002,4.188688524590164,0.4834467703047438,0.09362134297462198,-0.0016694071597286324,0.42950819672131146,0.03
263,97,0.3688212927756654,263.0,-18.560000000000002,-0.0705703422053232,-42.95000000000001,4.433536121673003,0.4639443654780477,0.09978200854931336,-0.0014011018128354995,0.42585551330798477,0.05
225,82,0.36444444444444446,225.0,-13.189999999999998,-0.058622222222222214,-34.91,4.6103555555555555,0.4609565520640754,0.10772612828269756,-0.0027513891295108187,0.40444444444444444,0.075
188,65,0.34574468085106386,188.0,-10.280000000000001,-0.05468085106382979,-36.36999999999999,4.923670212765957,0.4462072317428735,0.11544946119172272,-0.0022295575348569587,0.4148936170212766,0.1
