bets,wins,win_rate,staked,profit,roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,segment,value
38,5,0.13157894736842105,38.0,-21.58,-0.5678947368421052,-21.58,4.685526315789473,0.2763682549962104,0.03290321891327336,-0.008817912586632294,0.47368421052631576,model_type,other
267,115,0.4307116104868914,267.0,-2.950000000000003,-0.01104868913857679,-30.27999999999999,4.117977528089888,0.5129186189254339,0.10226287373990753,-0.0006520168742517068,0.4232209737827715,model_type,top_10
76,27,0.35526315789473684,76.0,-19.119999999999997,-0.251578947368421,-26.58,5.040789473684211,0.4720640290499253,0.08781301742255061,0.008476599495900478,0.4473684210526316,surface,Clay
33,9,0.2727272727272727,33.0,-4.47,-0.13545454545454544,-11.5,6.2266666666666675,0.3713376695318691,0.08799264892533777,0.010297337526703967,0.48484848484848486,surface,Grass
196,84,0.42857142857142855,196.0,-0.9399999999999977,-0.004795918367346927,-25.7,3.51515306122449,0.5067359981663309,0.09682123912555973,-0.007618382060137244,0.413265306122449,surface,Hard
9,4,0.4444444444444444,9.0,-0.10000000000000009,-0.01111111111111112,-4.1,2.01,0.6164405420152298,0.1124231132100102,-0.014998074667237286,0.2222222222222222,tournament_importance,1
119,50,0.42016806722689076,119.0,-13.8,-0.11596638655462185,-21.22,3.324873949579832,0.5011640132138527,0.09152479206394004,-0.013301265446559261,0.37815126050420167,tournament_importance,3
100,40,0.4,100.0,-6.219999999999996,-0.062199999999999964,-18.689999999999998,3.2193999999999994,0.5160753848577045,0.10330391180334661,-0.006337067227364236,0.43,tournament_importance,4
77,26,0.33766233766233766,77.0,-4.409999999999998,-0.05727272727272725,-26.569999999999997,7.037142857142856,0.3981460260596216,0.08208909288865039,0.023926893495647767,0.5324675324675324,tournament_importance,5
