bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,cluster,top_model_type,top_surface,top_round,average_market_probability
2,2,1.0,2.0,56.0,28.0,54.88,27.44,0.0,29.0,0.0575076021826779,0.02523877313739475,27.712871287128714,1.0,0.0059617898508719,5,top_10,Clay,R128,0.0322688290452831
1,1,1.0,1.0,2.2,2.2,2.156,2.156,0.0,3.2,0.4747123240059113,0.0361158327778411,-0.0153846153846153,0.0,0.0589862996385132,7,top_10,Hard,R32,0.4385964912280701
208,183,0.8798076923076923,208.0,12.089999999999996,0.05812499999999998,11.348199999999999,0.05455865384615384,-3.33,1.21875,0.9183191575778185,0.12883695227205083,-0.0017933653560326392,0.2692307692307692,0.13501228621440994,4,top_10,Hard,R32,0.7894822053057674
450,317,0.7044444444444444,450.0,12.279999999999998,0.027288888888888883,9.37440000000001,0.020832000000000024,-10.800000000000015,1.4853333333333332,0.7417624159699664,0.08457442336723216,-0.0011390973560643006,0.39555555555555555,0.04359473244334086,3,top_10,Hard,R16,0.657187992602734
219,56,0.2557077625570776,219.0,-10.810000000000002,-0.049360730593607315,-13.853800000000005,-0.06325936073059363,-32.730000000000004,3.995753424657534,0.41270780979152566,0.14467183536608233,0.0004333208743560527,0.5251141552511416,0.046977615423737885,1,top_10,Hard,R32,0.2680359744254432
51,4,0.0784313725490196,51.0,-3.0,-0.058823529411764705,-3.8799999999999972,-0.07607843137254897,-21.0,18.235294117647058,0.16569492084029364,0.09844047386048713,0.1635107666121613,0.803921568627451,0.026094577496907106,6,top_10,Hard,R128,0.06725444697980643
871,234,0.26865671641791045,871.0,-81.00999999999999,-0.09300803673938002,-92.1298,-0.10577474167623421,-89.32000000000006,3.8764867967853043,0.31948373476179365,0.04511816682650672,0.011382325998236775,0.6027554535017221,0.010923495000520428,0,top_10,Hard,R16,0.27436556793528694
147,8,0.05442176870748299,147.0,-65.5,-0.445578231292517,-66.97,-0.455578231292517,-68.5,12.23469387755102,0.11754514869151003,0.029755879098572555,0.06011356954312761,0.7006802721088435,0.007153251883872367,2,top_10,Hard,R128,0.08778926959293744
