bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,rule,rule_size
30,4,0.13333333333333333,30.0,36.0,1.2,34.760000000000005,1.1586666666666667,-7.0,18.7,0.10186900893002246,0.042848055999787395,1.0478860966949457,0.9333333333333333,0.01080477318188141,model_type=top_10 & surface=Clay & odds_bucket=10+,3
31,4,0.12903225806451613,31.0,35.0,1.1290322580645162,33.760000000000005,1.0890322580645162,-7.0,18.451612903225808,0.1021151751296364,0.04218725521455147,1.0130335846530085,0.9032258064516129,0.010621152895609911,surface=Clay & odds_bucket=10+,2
31,4,0.12903225806451613,31.0,35.0,1.1290322580645162,33.760000000000005,1.0890322580645162,-7.0,18.451612903225808,0.1021151751296364,0.04218725521455147,1.0130335846530085,0.9032258064516129,0.010621152895609911,surface=Clay & odds_bucket=10+ & probability_bucket=0-25%,3
33,8,0.24242424242424243,33.0,32.43,0.9827272727272727,31.281399999999998,0.947921212121212,-11.5,6.956969696969696,0.20243972132415555,0.020953232270605266,0.8476363417488852,0.6060606060606061,0.0036321104194503235,surface=Hard & round=R64 & edge_bucket=<=3%,3
32,10,0.3125,32.0,25.979999999999997,0.8118749999999999,25.0204,0.7818875,-10.5,7.1775,0.31413722692466406,0.13091735232831697,0.09379535387610238,1.0,0.03826666451484947,edge_bucket=10%+ & clv_bucket=5%+,2
32,10,0.3125,32.0,25.979999999999997,0.8118749999999999,25.0204,0.7818875,-10.5,7.1775,0.31413722692466406,0.13091735232831697,0.09379535387610238,1.0,0.03826666451484947,model_type=top_10 & edge_bucket=10%+ & clv_bucket=5%+,3
38,8,0.21052631578947367,38.0,27.659999999999997,0.7278947368421052,26.506800000000002,0.6975473684210527,-6.0,7.602631578947368,0.19019190886531936,0.04167547907108597,0.022296079483386272,0.631578947368421,0.009863822529844945,model_type=top_10 & round=QF & probability_bucket=0-25%,3
40,8,0.2,40.0,25.659999999999997,0.6415,24.506800000000002,0.61267,-7.0,7.443250000000001,0.19262441816391612,0.0407751564691621,0.022798927378757997,0.625,0.009568793794838909,round=QF & probability_bucket=0-25%,2
44,8,0.18181818181818182,44.0,27.83,0.6325,26.553400000000003,0.6034863636363638,-9.5,8.173863636363636,0.1643925509726677,0.018236352720039126,0.649290793648654,0.6136363636363636,0.003095645067571621,round=R64 & probability_bucket=0-25% & edge_bucket=<=3%,3
36,27,0.75,36.0,21.83,0.6063888888888889,21.213399999999996,0.589261111111111,-4.510000000000002,2.385277777777778,0.694689060061178,0.08594523527423692,0.006869087130618544,0.4444444444444444,0.05681365509153908,surface=Clay & tournament_importance=4 & edge_bucket=7.5-10%,3
45,30,0.6666666666666666,45.0,26.04,0.5786666666666667,25.2192,0.5604266666666666,-4.42,2.7808888888888887,0.6604922339072518,0.14204433548051468,0.010358633162398462,0.5111111111111111,0.08733000177425354,tournament_importance=3 & round=QF & edge_bucket=10%+,3
44,28,0.6363636363636364,44.0,25.39,0.5770454545454545,24.5622,0.5582318181818182,-3.879999999999999,2.8281818181818186,0.6510638813928608,0.1408872279172357,0.010490634605553465,0.4772727272727273,0.08293783099189023,surface=Hard & round=QF & edge_bucket=10%+,3
65,25,0.38461538461538464,65.0,37.120000000000005,0.5710769230769231,35.5776,0.5473476923076923,-5.049999999999999,4.106,0.26114490010854335,0.02494615605718617,0.032591436514604395,0.7230769230769231,0.004210326229400225,tournament_importance=3 & odds_bucket=3-5 & edge_bucket=<=3%,3
35,11,0.3142857142857143,35.0,17.96,0.5131428571428571,17.120800000000003,0.48916571428571437,-7.0,5.917428571428572,0.2570733816246277,0.05651433023701145,0.07974905090014446,1.0,0.014596587026076354,round=QF & clv_bucket=5%+,2
33,10,0.30303030303030304,33.0,16.560000000000002,0.5018181818181819,15.768799999999999,0.4778424242424242,-7.0,6.041818181818182,0.2555268212981121,0.057994607770838646,0.08014048665549625,1.0,0.015061938684671117,model_type=top_10 & round=QF & clv_bucket=5%+,3
31,2,0.06451612903225806,31.0,15.0,0.4838709677419355,14.120000000000005,0.45548387096774207,-12.0,18.419354838709676,0.09779811628938725,0.03879890999631443,1.0060166912772524,0.7419354838709677,0.00971275986871688,odds_bucket=10+ & edge_bucket=3-5%,2
31,2,0.06451612903225806,31.0,15.0,0.4838709677419355,14.120000000000005,0.45548387096774207,-12.0,18.419354838709676,0.09779811628938725,0.03879890999631443,1.0060166912772524,0.7419354838709677,0.00971275986871688,model_type=top_10 & odds_bucket=10+ & edge_bucket=3-5%,3
31,2,0.06451612903225806,31.0,15.0,0.4838709677419355,14.120000000000005,0.45548387096774207,-12.0,18.419354838709676,0.09779811628938725,0.03879890999631443,1.0060166912772524,0.7419354838709677,0.00971275986871688,odds_bucket=10+ & probability_bucket=0-25% & edge_bucket=3-5%,3
53,7,0.1320754716981132,53.0,25.5,0.4811320754716981,24.070000000000004,0.45415094339622647,-13.0,16.21698113207547,0.13813228470613986,0.055867512442647996,0.6290399346576689,0.7358490566037735,0.014172057270382891,model_type=top_10 & round=R128 & probability_bucket=0-25%,3
38,16,0.42105263157894735,38.0,17.05,0.4486842105263158,16.269000000000002,0.4281315789473685,-4.0,3.453157894736843,0.30655060910800647,0.026208375618052823,0.03425243702200009,0.7631578947368421,0.004440907292593524,tournament_importance=3 & probability_bucket=25-40% & edge_bucket=<=3%,3
40,16,0.4,40.0,17.619999999999997,0.44049999999999995,16.787599999999998,0.41968999999999995,-5.05,3.9025000000000007,0.32114265927755153,0.06758806530308459,0.024839490520768517,0.725,0.018208692091758866,surface=Grass & tournament_importance=3 & probability_bucket=25-40%,3
32,22,0.6875,32.0,13.75,0.4296875,13.275000000000002,0.41484375000000007,-6.3100000000000005,2.6153125,0.683860938384138,0.08617423460186235,0.012556540905653151,1.0,0.060593989163886086,surface=Clay & edge_bucket=7.5-10% & clv_bucket=0-2.5%,3
33,6,0.18181818181818182,33.0,14.5,0.4393939393939394,13.670000000000002,0.4142424242424243,-11.0,8.716969696969697,0.17053655360645711,0.03668738259624883,0.09925210215092677,1.0,0.008537526334358014,tournament_importance=4 & probability_bucket=0-25% & clv_bucket=5%+,3
36,3,0.08333333333333333,36.0,15.0,0.4166666666666667,14.040000000000003,0.39000000000000007,-14.0,20.47222222222222,0.1194799458947881,0.06342739896184599,0.9370629242523185,0.8888888888888888,0.01639653013709058,model_type=top_10 & round=R128 & odds_bucket=10+,3
31,15,0.4838709677419355,31.0,12.489999999999998,0.40290322580645155,11.9202,0.38452258064516126,-4.120000000000001,5.7151612903225795,0.5457551260622451,0.15897402985333126,0.004271788848431753,0.41935483870967744,0.0801357613808782,round=R128 & edge_bucket=10%+,2
30,14,0.4666666666666667,30.0,11.76,0.392,11.2048,0.37349333333333334,-4.120000000000001,5.847999999999999,0.540015884811394,0.1586188477976052,0.0047951341909985255,0.43333333333333335,0.08004413391769684,tournament_importance=5 & round=R128 & edge_bucket=10%+,3
31,13,0.41935483870967744,31.0,11.92,0.38451612903225807,11.3216,0.36521290322580646,-4.0,4.284193548387097,0.4621618736746397,0.08657893304234829,0.006325796275198407,0.45161290322580644,0.03496849501033707,surface=Clay & tournament_importance=4 & round=QF,3
75,47,0.6266666666666667,75.0,28.130000000000003,0.3750666666666667,27.007400000000004,0.36009866666666673,-4.0,2.572933333333333,0.664438403519562,0.14455715486069937,0.005364547820411058,0.4,0.08767685243804642,round=QF & edge_bucket=10%+,2
75,47,0.6266666666666667,75.0,28.130000000000003,0.3750666666666667,27.007400000000004,0.36009866666666673,-4.0,2.572933333333333,0.664438403519562,0.14455715486069937,0.005364547820411058,0.4,0.08767685243804642,model_type=top_10 & round=QF & edge_bucket=10%+,3
44,25,0.5681818181818182,44.0,16.55,0.37613636363636366,15.838999999999999,0.3599772727272727,-6.38,3.3172727272727274,0.46565949634453785,0.062094526712171416,0.01749104143751334,0.5681818181818182,0.026538581829031852,surface=Clay & tournament_importance=3 & round=R32,3
32,25,0.78125,32.0,11.860000000000001,0.37062500000000004,11.482800000000001,0.35883750000000003,-1.94,1.7400000000000002,0.6315477626141631,0.08225852672411989,0.004336719903513132,0.53125,0.030592530422099067,round=R32 & odds_bucket=1.5-2,2
40,32,0.8,40.0,14.410000000000004,0.36025000000000007,13.9618,0.349045,-3.0,1.707,0.6541316461920914,0.0946126791670956,-0.008316882221577167,0.325,0.039081492148843065,surface=Hard & tournament_importance=4 & odds_bucket=1.5-2,3
41,24,0.5853658536585366,41.0,14.790000000000001,0.3607317073170732,14.1542,0.34522439024390245,-7.780000000000001,2.7053658536585368,0.5375291928984985,0.09101684501231215,0.004555994599137943,0.5365853658536586,0.045200617938792126,tournament_importance=4 & round=SF,2
41,24,0.5853658536585366,41.0,14.790000000000001,0.3607317073170732,14.1542,0.34522439024390245,-7.780000000000001,2.7053658536585368,0.5375291928984985,0.09101684501231215,0.004555994599137943,0.5365853658536586,0.045200617938792126,model_type=top_10 & tournament_importance=4 & round=SF,3
37,31,0.8378378378378378,37.0,13.05,0.3527027027027027,12.669,0.3424054054054054,-1.0,1.6132432432432433,0.6893076539730633,0.0954418364526946,-0.011094601973209856,0.2972972972972973,0.03990924394199473,surface=Hard & tournament_importance=4 & probability_bucket=60-75%,3
36,17,0.4722222222222222,36.0,12.859999999999996,0.3572222222222221,12.2228,0.3395222222222222,-8.46,3.458888888888889,0.4509014626033768,0.06712820788234829,0.012198118013906011,1.0,0.03513215035982522,tournament_importance=4 & round=R64 & clv_bucket=0-2.5%,3
47,8,0.1702127659574468,47.0,17.0,0.3617021276595745,15.880000000000003,0.337872340425532,-16.5,7.269361702127659,0.18632085457045908,0.04143383690723881,0.013803685819905032,1.0,0.009840827554688637,model_type=top_10 & probability_bucket=0-25% & clv_bucket=0-2.5%,3
60,30,0.5,60.0,21.13,0.35216666666666663,20.107400000000002,0.3351233333333334,-7.300000000000004,3.1119999999999997,0.500813487231325,0.07996542664209101,0.013211349733978917,1.0,0.03528220663813466,surface=Clay & tournament_importance=4 & clv_bucket=0-2.5%,3
37,19,0.5135135135135135,37.0,12.970000000000002,0.3505405405405406,12.3506,0.3338,-7.6000000000000005,3.0197297297297294,0.44791880127209405,0.05955336288668867,0.020424537510421756,0.6756756756756757,0.020726106250536835,model_type=other & surface=Clay & round=R32,3
32,4,0.125,32.0,11.399999999999999,0.35624999999999996,10.612000000000002,0.33162500000000006,-10.0,10.725,0.26501462801716735,0.055312848719400724,0.9127553595598084,0.6875,0.017967360444019753,surface=Clay & tournament_importance=5 & round=R128,3
40,24,0.6,40.0,13.76,0.344,13.1648,0.32911999999999997,-5.28,2.815,0.5975069615654399,0.13866772120777046,0.012344192654760982,1.0,0.06976790875298777,tournament_importance=4 & edge_bucket=10%+ & clv_bucket=0-2.5%,3
34,5,0.14705882352941177,34.0,11.899999999999999,0.35,11.082,0.32594117647058823,-11.0,10.329411764705883,0.2673745277737952,0.05379228395098518,0.8579619564682198,0.6470588235294118,0.017233755784852995,surface=Clay & round=R128,2
64,16,0.25,64.0,22.240000000000002,0.34750000000000003,20.8352,0.32555,-14.0,8.2321875,0.2125978167587962,0.044445939917326996,0.11402653370527395,1.0,0.011302044227342361,round=R32 & clv_bucket=5%+,2
33,10,0.30303030303030304,33.0,11.03,0.33424242424242423,10.3494,0.3136181818181818,-10.0,4.806666666666667,0.2427988035015482,0.024402059780271934,0.03425552856904632,0.696969696969697,0.004263135364339043,surface=Clay & tournament_importance=3 & edge_bucket=<=3%,3
34,12,0.35294117647058826,34.0,11.280000000000001,0.33176470588235296,10.614399999999998,0.3121882352941176,-7.0,3.9114705882352934,0.30906004308256557,0.060727779919220855,0.0354552540490302,1.0,0.01623594020245062,round=R16 & odds_bucket=3-5 & clv_bucket=2.5-5%,3
49,25,0.5102040816326531,49.0,16.04,0.3273469387755102,15.2392,0.3110040816326531,-6.0,3.7,0.4652122883443311,0.08206354185555532,0.009478263211813127,0.46938775510204084,0.03465718232708126,model_type=top_10 & surface=Grass & round=R16,3
41,25,0.6097560975609756,41.0,13.23,0.3226829268292683,12.645399999999999,0.3084243902439024,-4.5,2.4312195121951223,0.5425737439590883,0.06438321572698609,0.00020878567154406007,0.5121951219512195,0.021892536664643043,tournament_importance=4 & round=R16 & edge_bucket=5-7.5%,3
117,10,0.08547008547008547,117.0,39.0,0.3333333333333333,36.08000000000001,0.30837606837606846,-27.0,17.333333333333332,0.1133266390323281,0.04978361822222843,0.6065856448671098,0.8034188034188035,0.012687107961692172,model_type=top_10 & odds_bucket=10+,2
117,10,0.08547008547008547,117.0,39.0,0.3333333333333333,36.08000000000001,0.30837606837606846,-27.0,17.333333333333332,0.1133266390323281,0.04978361822222843,0.6065856448671098,0.8034188034188035,0.012687107961692172,model_type=top_10 & odds_bucket=10+ & probability_bucket=0-25%,3
30,2,0.06666666666666667,30.0,10.0,0.3333333333333333,9.240000000000002,0.30800000000000005,-19.0,16.0,0.0839660309843924,0.01674357055414244,1.063843796383918,0.8,0.0037762500442620824,surface=Hard & odds_bucket=10+ & edge_bucket=<=3%,3
81,48,0.5925925925925926,81.0,26.039999999999996,0.3214814814814814,24.859199999999998,0.3069037037037037,-5.1,2.7897530864197533,0.5767168213447889,0.10326953427257002,-0.016979743097043684,0.0,0.057019787983433656,model_type=top_10 & surface=Grass & clv_bucket=-5-0%,3
