bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,filter,value
126,10,0.07936507936507936,126.0,30.0,0.23809523809523808,27.080000000000005,0.21492063492063496,-30.0,17.015873015873016,0.11200088462904545,0.04727104674792397,0.5701006934353013,0.8015873015873016,0.011999688166063461,odds_bucket,10+
189,126,0.6666666666666666,189.0,28.430000000000003,0.15042328042328043,26.601400000000005,0.14074814814814818,-5.459999999999997,1.7308465608465609,0.6470322718640119,0.09540378073181052,-0.0017177847438713428,0.41798941798941797,0.03955297897565027,odds_bucket,1.5-2
285,142,0.4982456140350877,285.0,32.86999999999999,0.1153333333333333,29.35260000000001,0.10299157894736845,-19.29,3.0984210526315787,0.5392830621643948,0.0820528201801881,0.00854981416185608,0.5087719298245614,0.04384266020468445,round,QF
456,249,0.5460526315789473,456.0,30.769999999999992,0.06747807017543858,26.014599999999994,0.05704956140350876,-25.33999999999999,2.8146491228070176,0.6397702692365943,0.14311968486345494,0.0010775418992928182,0.4166666666666667,0.08039925004201028,edge_bucket,10%+
463,231,0.49892008639308855,463.0,17.94,0.03874730021598272,12.941200000000006,0.02795075593952485,-37.53000000000002,2.9214686825053993,0.5349361893288643,0.07910396312405882,0.012988482995025885,1.0,0.039283607418514,clv_bucket,0-2.5%
178,114,0.6404494382022472,178.0,5.83,0.032752808988764044,4.433400000000004,0.02490674157303373,-5.969999999999999,1.6539887640449435,0.681320458540256,0.09879598769472457,-0.003848279732431487,0.37640449438202245,0.04051671155821298,probability_bucket,60-75%
116,58,0.5,116.0,3.6000000000000014,0.031034482758620703,2.3679999999999986,0.020413793103448263,-6.29,2.160258620689655,0.5454241920037096,0.09784635081332353,0.0006842012757119171,0.5431034482758621,0.03260708777966636,probability_bucket,50-60%
99,54,0.5454545454545454,99.0,2.510000000000001,0.025353535353535364,1.5597999999999985,0.01575555555555554,-7.67,2.582222222222222,0.5770448727481066,0.08773087646657146,0.006567640720805255,0.3939393939393939,0.04536883566992377,round,F
635,275,0.4330708661417323,635.0,15.469999999999992,0.024362204724409437,7.960599999999995,0.012536377952755898,-23.65,3.4059055118110235,0.4835053590496197,0.07484553844260529,0.00590318783174438,0.5133858267716536,0.03401547789804386,tournament_importance,4
444,361,0.8130630630630631,444.0,6.149999999999997,0.013851351351351343,4.367000000000005,0.009835585585585598,-12.000000000000005,1.259481981981982,0.8682264832106811,0.10614561975100545,-0.0007611659864160582,0.32657657657657657,0.09177920886371542,probability_bucket,75-100%
474,381,0.8037974683544303,474.0,2.889999999999993,0.006097046413502095,0.9722000000000013,0.0020510548523206776,-12.13,1.265042194092827,0.8574107742462522,0.09956765889036652,-0.000972435832363399,0.3270042194092827,0.08522635104598637,odds_bucket,1-1.5
357,210,0.5882352941176471,357.0,-0.9400000000000013,-0.002633053221288519,-3.8612000000000037,-0.010815686274509814,-34.960000000000015,2.564313725490196,0.6525867546563622,0.08621826900621501,0.0037022035942730017,0.45098039215686275,0.052816697067832125,edge_bucket,7.5-10%
223,92,0.4125560538116592,223.0,-1.2499999999999973,-0.005605381165919271,-3.845000000000006,-0.01724215246636774,-21.15,4.665156950672645,0.44241473321265934,0.07900213377131204,0.011816004950352307,0.5022421524663677,0.03601634237991802,surface,Grass
1572,688,0.43765903307888043,1572.0,-20.750000000000004,-0.013199745547073793,-38.015,-0.02418256997455471,-90.56000000000012,4.146558524173027,0.5002315254201162,0.08284613758201496,0.04755796906358462,0.4961832061068702,0.04198080164247071,model_type,top_10
488,209,0.42827868852459017,488.0,-7.699999999999999,-0.015778688524590162,-13.125999999999989,-0.026897540983606534,-20.6,3.630225409836065,0.46006738761891947,0.07157695660767524,0.010141410159276347,0.5204918032786885,0.03224098864754341,round,R16
229,87,0.3799126637554585,229.0,-3.6900000000000013,-0.016113537117903937,-6.456200000000006,-0.028193013100436707,-18.449999999999992,2.6976855895196508,0.4444608707354847,0.08301472428406777,0.004097890212800621,0.5327510917030568,0.02423953321774727,probability_bucket,40-50%
778,416,0.5347043701799485,778.0,-18.580000000000005,-0.02388174807197944,-25.448400000000007,-0.032710025706940885,-56.36000000000003,2.604987146529563,0.5985077220762354,0.08581157934224,-0.014192088137818415,0.0,0.05068243265209633,clv_bucket,-5-0%
170,84,0.49411764705882355,170.0,-4.340000000000001,-0.025529411764705887,-5.9732,-0.0351364705882353,-22.219999999999995,2.687470588235294,0.5551828094210789,0.08600747301322409,0.007782661780675581,0.5235294117647059,0.04357364156091971,round,SF
803,356,0.44333748443337484,803.0,-29.94,-0.03728518057285181,-38.2812,-0.04767272727272727,-37.63000000000002,3.3256413449564133,0.49082365610724155,0.07531579111171359,0.013052993676814154,0.5566625155666252,0.036561212698703806,tournament_importance,3
1193,494,0.41408214585079633,1193.0,-49.69999999999999,-0.041659681475272416,-62.68599999999999,-0.05254484492875104,-84.76,4.0467896060352055,0.4716006978166719,0.07459794241195761,0.038198766848030564,0.5339480301760269,0.03513422389858629,surface,Hard
533,219,0.41088180112570355,533.0,-26.800000000000004,-0.050281425891181994,-32.54399999999999,-0.061058161350844256,-51.86,3.93046904315197,0.4849868717292739,0.07261910409729842,0.06285796104496859,0.5084427767354597,0.03754059090474512,surface,Clay
426,191,0.44835680751173707,426.0,-25.889999999999993,-0.06077464788732393,-30.072199999999988,-0.0705920187793427,-31.490000000000027,3.683145539906103,0.48807447726364234,0.0626644667400794,0.012028800511375174,0.49765258215962443,0.022680710806034697,edge_bucket,5-7.5%
454,56,0.12334801762114538,454.0,-33.35,-0.07345814977973568,-40.643,-0.08952202643171807,-69.18,9.324911894273127,0.17077895011003602,0.03846904677550786,0.16375266787645726,0.6277533039647577,0.009001170874943632,probability_bucket,0-25%
314,56,0.17834394904458598,314.0,-23.750000000000007,-0.07563694267515926,-28.435,-0.09055732484076433,-54.32,7.02828025477707,0.20211911504613578,0.021631408573030995,0.1271299418054313,0.6656050955414012,0.0038711623793983205,edge_bucket,<=3%
538,126,0.2342007434944238,538.0,-43.00999999999999,-0.0799442379182156,-50.38980000000001,-0.09366133828996284,-53.48,4.024014869888476,0.3064965614554082,0.06500891095811777,0.011707138547843953,0.5985130111524164,0.01766392945743203,odds_bucket,3-5
148,32,0.21621621621621623,148.0,-11.959999999999997,-0.08081081081081079,-14.040799999999994,-0.09487027027027023,-34.11,8.744324324324323,0.31160163663441215,0.06509695137937208,0.23509167801111602,0.6148648648648649,0.02596749218336413,round,R128
369,133,0.3604336043360434,369.0,-34.06,-0.09230352303523036,-38.098800000000004,-0.10324878048780489,-48.53,2.5769918699186993,0.4461548348729164,0.0737498837217074,0.006930890271664758,0.5934959349593496,0.022003462066951307,odds_bucket,2-3
481,203,0.42203742203742206,481.0,-49.54,-0.10299376299376299,-54.10920000000001,-0.11249313929313931,-53.430000000000035,3.849521829521829,0.4853359900617986,0.07633958422515279,0.01029318862470071,0.525987525987526,0.03794973412226825,round,R32
238,68,0.2857142857142857,238.0,-25.32,-0.10638655462184875,-28.2136,-0.11854453781512606,-41.27000000000002,5.601932773109244,0.3752075145974246,0.056577307278395675,0.13595155079857663,0.5378151260504201,0.02586339098792717,round,R64
