bets,wins,win_rate,staked,profit,roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,segment,value
83,30,0.3614457831325301,83.0,3.95,0.04759036144578314,-13.030000000000001,3.439759036144579,0.3770080491700655,0.0374687635391358,-0.09549585543907997,0.0,model_type,other
400,186,0.465,400.0,7.01,0.017525,-38.499999999999986,3.538775,0.5413260990153058,0.09091799696143552,-0.057410668883966044,0.0025,model_type,top_10
115,48,0.41739130434782606,115.0,18.919999999999998,0.16452173913043477,-24.72,3.8345217391304347,0.484042669461809,0.06948612040799987,0.02026295449607922,0.008695652173913044,surface,Clay
38,26,0.6842105263157895,38.0,22.71,0.5976315789473684,-4.620000000000001,3.782894736842106,0.5373253783852142,0.08737268070271076,-0.09591493784727875,0.0,surface,Grass
330,142,0.4303030303030303,330.0,-30.669999999999995,-0.09293939393939392,-48.19999999999999,3.3826969696969695,0.5204207161227017,0.08535163771121057,-0.0896239263147957,0.0,surface,Hard
21,10,0.47619047619047616,21.0,-0.7499999999999989,-0.035714285714285664,-6.06,2.144761904761905,0.6185661517921426,0.09686610771813323,-0.06408328124863093,0.0,tournament_importance,1
195,97,0.49743589743589745,195.0,20.670000000000005,0.10600000000000002,-19.77,2.9633846153846153,0.5113571531450884,0.08191483689281583,-0.08249614651523135,0.0,tournament_importance,3
143,58,0.40559440559440557,143.0,17.17,0.12006993006993008,-36.3,3.3492307692307697,0.5209421979753623,0.08468850435208988,0.005865103235917391,0.006993006993006993,tournament_importance,4
124,51,0.4112903225806452,124.0,-26.13,-0.2107258064516129,-28.919999999999998,4.832016129032257,0.4888938655309169,0.07547635951446567,-0.11529545033124906,0.0,tournament_importance,5
