side,bucket,bets,average_probability,actual_win_rate,average_market_probability,average_residual_edge,ece_component
player1,0,105,0.064212357231554,0.047619047619047616,0.10603134487994412,-0.04181898764839013,0.0005618502126130829
player1,1,158,0.17121307092673665,0.189873417721519,0.17709567619813626,-0.005882605271399581,0.0009507690401727219
player1,2,297,0.26724309269276175,0.265993265993266,0.26442613937158,0.0028169533211817735,0.0001197028473880159
player1,3,461,0.36054892995435284,0.3362255965292842,0.35524590264011413,0.005303027314238747,0.0036159486323626725
player1,4,481,0.44942948483083095,0.45114345114345117,0.4410679822497055,0.008361502581125467,0.00026585546480823125
player1,5,474,0.5507665434806012,0.5421940928270043,0.5457899976509568,0.0049765458296443495,0.001310332670043513
player1,6,451,0.6414821774397054,0.6208425720620843,0.6331042719872914,0.008377905452414038,0.003001761375461825
player1,7,345,0.7354466643916059,0.7594202898550725,0.7204201034249076,0.015026560966698398,0.002667172133149299
player1,8,214,0.8313811842845448,0.8551401869158879,0.8090743776612153,0.022306806623329598,0.00163960869497176
player1,9,115,0.9323568072143265,0.8869565217391304,0.8779707443624697,0.05438606285185669,0.001683661022137228
player2,0,115,0.06764319278567363,0.11304347826086956,0.12202925563753031,-0.05438606285185669,0.0016836610221372245
player2,1,214,0.16861881571545528,0.14485981308411214,0.19092562233878485,-0.022306806623329598,0.0016396086949717619
player2,2,345,0.264553335608394,0.24057971014492754,0.27957989657509236,-0.015026560966698393,0.0026671721331492835
player2,3,451,0.3585178225602947,0.37915742793791574,0.36689572801270876,-0.008377905452414038,0.003001761375461817
player2,4,474,0.4492334565193988,0.4578059071729958,0.45421000234904324,-0.004976545829644348,0.0013103326700435302
player2,5,481,0.550570515169169,0.5488565488565489,0.5589320177502946,-0.008361502581125462,0.00026585546480821406
player2,6,461,0.639451070045647,0.6637744034707158,0.644754097359886,-0.005303027314238756,0.003615948632362689
player2,7,297,0.7327569073072382,0.734006734006734,0.7355738606284201,-0.0028169533211817696,0.00011970284738802123
player2,8,158,0.8287869290732633,0.810126582278481,0.8229043238018638,0.005882605271399584,0.0009507690401727219
player2,9,105,0.935787642768446,0.9523809523809523,0.893968655120056,0.04181898764839011,0.0005618502126130829
