bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,year
194,53,0.27319587628865977,194.0,-52.05,-0.26829896907216494,-53.829,-0.2774690721649485,-61.12000000000001,6.205360824742269,0.30694234217694083,0.035945821510801924,0.0,0.0,0.00988946625580855,2019
114,27,0.23684210526315788,114.0,10.47,0.0918421052631579,8.5206,0.07474210526315789,-30.39,8.215526315789473,0.2651841799914892,0.04193208937483192,0.0,0.0,0.012177012121614506,2020
198,52,0.26262626262626265,198.0,-53.44999999999999,-0.2699494949494949,-55.30100000000001,-0.2792979797979798,-60.44999999999999,4.903434343434344,0.353429793997156,0.03754855839775114,0.0,0.0,0.00905466462611287,2021
157,73,0.46496815286624205,157.0,153.94,0.9805095541401274,149.18120000000002,0.9501987261146498,-15.810000000000002,4.524331210191082,0.4780130751494464,0.0616556781806361,0.0,0.0,0.0228673238858579,2022
432,148,0.3425925925925926,432.0,-72.98,-0.1689351851851852,-77.2004,-0.17870462962962963,-78.51000000000003,3.6567592592592595,0.41270388450989615,0.053197459053483,0.0,0.0,0.01677719079875995,2023
77,17,0.22077922077922077,77.0,18.41,0.2390909090909091,16.8418,0.21872467532467532,-22.41,6.30207792207792,0.2428396554077031,0.026453542100721886,0.0,0.0,0.005654694971279969,2024
33,1,0.030303030303030304,33.0,-23.04,-0.6981818181818181,-23.2192,-0.7036121212121212,-32.0,17.006060606060608,0.0831185276954107,0.008681578414173444,0.0,0.0,0.0014437214854396568,2025
27,0,0.0,27.0,-27.0,-1.0,-27.0,-1.0,-27.0,5.357777777777777,0.22612938473815286,0.02450156526385439,0.0,0.0,0.003986200964829579,2026
