side,bucket,bets,average_probability,actual_win_rate,average_market_probability,average_residual_edge,ece_component
player1,0,351,0.0814959693804162,0.05698005698005698,0.0850871033066466,-0.0035911339262304086,0.0006230602601206347
player1,1,855,0.1684429104806287,0.15555555555555556,0.17421975107783683,-0.005776840597208128,0.0007978197423023344
player1,2,1395,0.26080356874926913,0.25448028673835127,0.26470650110520527,-0.0039029323559361716,0.0006386922312092114
player1,3,1989,0.35321648415881757,0.33735545500251385,0.35246804656131275,0.0007484375975048607,0.0022842362603640648
player1,4,2220,0.44401639657361747,0.45045045045045046,0.4411784818165384,0.002837914757079111,0.0010342190722300512
player1,5,2069,0.5420948218079229,0.5350410826486225,0.5477275370851127,-0.005632715277189896,0.0010567074303520778
player1,6,1927,0.6314535125768822,0.628956927867151,0.6335718639673288,-0.00211835139044661,0.00034833963765492027
player1,7,1503,0.7263666363585295,0.7365269461077845,0.723620545020865,0.002746091337664511,0.001105708895310276
player1,8,1043,0.817035125395026,0.8398849472674976,0.8105564651316063,0.006478660263419716,0.001725607429801457
player1,9,459,0.9109142493103299,0.934640522875817,0.9032789124440068,0.007635336866323089,0.0007885279535557572
player2,0,459,0.08908575068967006,0.06535947712418301,0.09672108755599315,-0.007635336866323085,0.0007885279535557567
player2,1,1043,0.18296487460497401,0.1601150527325024,0.18944353486839374,-0.006478660263419713,0.0017256074298014552
player2,2,1503,0.27363336364147045,0.2634730538922156,0.276379454979135,-0.0027460913376645135,0.0011057088953102638
player2,3,1927,0.36854648742311774,0.371043072132849,0.36642813603267116,0.0021183513904466053,0.00034833963765492027
player2,4,2069,0.45790517819207716,0.46495891735137745,0.4522724629148873,0.005632715277189896,0.0010567074303520613
player2,5,2220,0.5559836034263825,0.5495495495495496,0.5588215181834615,-0.002837914757079111,0.0010342190722300423
player2,6,1989,0.6467835158411824,0.6626445449974862,0.6475319534386873,-0.0007484375975048712,0.0022842362603640648
player2,7,1395,0.739196431250731,0.7455197132616488,0.7352934988947947,0.0039029323559361703,0.0006386922312092058
player2,8,855,0.8315570895193714,0.8444444444444444,0.8257802489221632,0.0057768405972081285,0.0007978197423023309
player2,9,351,0.9185040306195839,0.9430199430199431,0.9149128966933535,0.003591133926230411,0.0006230602601206347
