bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,edge_threshold
1870,650,0.34759358288770054,1870.0,-45.499999999999986,-0.02433155080213903,-45.499999999999986,-0.02433155080213903,-132.31000000000006,4.640288770053476,0.38580590440956386,0.03959526666908533,0.0,0.0,0.010759541480972922,0.01
1518,491,0.32345191040843213,1518.0,-41.47999999999999,-0.027325428194993406,-41.47999999999999,-0.027325428194993406,-120.02,4.984380764163372,0.3694893512356954,0.0419578130337925,0.0,0.0,0.012098590843589559,0.02
1232,371,0.30113636363636365,1232.0,-45.69999999999996,-0.03709415584415581,-45.69999999999996,-0.03709415584415581,-110.00000000000003,5.351014610389611,0.35766241825308703,0.04450857386492943,0.0,0.0,0.013415712219532238,0.03
845,235,0.2781065088757396,845.0,22.24000000000001,0.026319526627218946,22.24000000000001,0.026319526627218946,-81.21000000000004,6.1212307692307695,0.3331522657207251,0.048573098463059315,0.0,0.0,0.015177523858991362,0.05
566,133,0.23498233215547704,566.0,49.709999999999994,0.0878268551236749,49.709999999999994,0.0878268551236749,-84.05000000000001,7.1009010600706715,0.2963247820939011,0.0515164688258678,0.0,0.0,0.015776553892576345,0.075
407,85,0.20884520884520885,407.0,68.69000000000003,0.16877149877149883,68.69000000000003,0.16877149877149883,-69.40000000000002,7.8627272727272715,0.2747288855943988,0.05437341065618452,0.0,0.0,0.016442553811317807,0.1
