bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,probability_bucket,min_probability,max_probability
147,7,0.047619047619047616,147.0,99.02,0.6736054421768707,94.2396,0.6410857142857143,-57.61,17.891904761904765,0.07411013851308458,0.012957950617965622,0.0,0.0,0.0027739648923379373,0,0.02,0.11279667630216206
191,12,0.06282722513089005,191.0,-100.57,-0.5265445026178011,-102.1386,-0.5347570680628272,-102.19999999999999,7.453874345549737,0.16181279406120366,0.025334200998154043,0.0,0.0,0.005233557358691167,1,0.11395014653364355,0.20570884423236457
200,43,0.215,200.0,-12.059999999999999,-0.06029999999999999,-14.9588,-0.074794,-35.480000000000004,4.460500000000001,0.2531102744102645,0.03665072331802542,0.0,0.0,0.007991034769657372,2,0.20588007564394298,0.29847915372785716
193,50,0.25906735751295334,193.0,-22.29,-0.11549222797927461,-24.704200000000004,-0.12800103626943007,-34.150000000000006,3.2583937823834193,0.3474331028110628,0.04624521380677883,0.0,0.0,0.010989760841299486,3,0.3000510385729249,0.39162876590347706
205,82,0.4,205.0,-4.999999999999998,-0.024390243902439015,-7.360000000000003,-0.03590243902439026,-14.46,2.474439024390244,0.43715315991697695,0.05144229405441861,0.0,0.0,0.012658165674455815,4,0.3928560083938348,0.4845656705562586
123,59,0.4796747967479675,123.0,-0.4900000000000011,-0.003983739837398383,-1.7601999999999998,-0.014310569105691055,-10.84,2.0949593495934957,0.5206275011147888,0.06433230596324,0.0,0.0,0.019208501174595192,5,0.4849648737770881,0.5735015650769555
38,18,0.47368421052631576,38.0,-7.019999999999999,-0.18473684210526312,-7.2796,-0.19156842105263158,-8.81,1.7213157894736846,0.6253779494545437,0.07060910478877072,0.0,0.0,0.02416999497994419,6,0.5781877753815576,0.6673007132010871
63,43,0.6825396825396826,63.0,0.4899999999999989,0.00777777777777776,0.08019999999999872,0.0012730158730158527,-4.350000000000001,1.484761904761905,0.7152572958363853,0.07488319120889514,0.0,0.0,0.031016046848996563,7,0.6708443428539836,0.7630237026902693
64,49,0.765625,64.0,0.700000000000002,0.01093750000000003,0.38600000000000145,0.006031250000000023,-4.49,1.3167187500000002,0.8045022255756185,0.08135911887082731,0.0,0.0,0.04519953639184149,8,0.7693176616940736,0.8517371045410577
8,8,1.0,8.0,1.52,0.19,1.4896,0.1862,0.0,1.19,0.8994658702747589,0.09614079891128968,0.0,0.0,0.08484170824207278,9,0.8661139348745084,0.9492892155777456
