test_year,model_type,accuracy,precision,recall,f1_score,log_loss,brier_score,blend_weight
2019,top_10,0.7442827442827443,0.7442827442827443,0.7442827442827443,0.7442827442827443,0.5100727507713975,0.1691886887220605,0.55
2019,other,0.6366440468846392,0.6366440468846392,0.6366440468846392,0.6366440468846392,0.6275249138325456,0.2192227418373858,0.3
2020,top_10,0.7866108786610879,0.7866108786610879,0.7866108786610879,0.7866108786610879,0.4588145255027666,0.14740691383344648,0.65
2020,other,0.6802631578947368,0.6802631578947368,0.6802631578947368,0.6802631578947368,0.6047859715880542,0.20917559724236448,0.25
2021,top_10,0.7949367088607595,0.7949367088607595,0.7949367088607595,0.7949367088607595,0.46065650270132397,0.14939738429909294,0.15
2021,other,0.6542119565217391,0.6542119565217391,0.6542119565217391,0.6542119565217391,0.6240380842011549,0.21725871252863233,0.5
2022,top_10,0.7763975155279503,0.7763975155279503,0.7763975155279503,0.7763975155279503,0.4873711401437751,0.15946961922264954,0.6
2022,other,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6532258064516129,0.6178092424770663,0.21407594314201103,0.0
2023,top_10,0.7536764705882353,0.7536764705882353,0.7536764705882353,0.7536764705882353,0.5070642085724656,0.16881642533681362,0.55
2023,other,0.6405797101449275,0.6405797101449275,0.6405797101449275,0.6405797101449275,0.619425485460125,0.2160676899731597,0.75
2024,top_10,0.7799607072691552,0.7799607072691552,0.7799607072691552,0.7799607072691552,0.4825821884316552,0.1564706218274183,0.3
2024,other,0.6503683858004019,0.6503683858004019,0.6503683858004019,0.6503683858004019,0.6243572683475143,0.21786466545437264,0.35
2025,top_10,0.7504761904761905,0.7504761904761905,0.7504761904761905,0.7504761904761905,0.5048550680178089,0.16727730560442997,0.2
2025,other,0.6378848728246319,0.6378848728246319,0.6378848728246319,0.6378848728246319,0.6413420080090755,0.22510123766311757,0.15
2026,top_10,0.7880434782608695,0.7880434782608695,0.7880434782608695,0.7880434782608695,0.47111367816198013,0.15325453017292776,0.0
2026,other,0.6768982229402262,0.6768982229402262,0.6768982229402262,0.6768982229402262,0.6067217907162096,0.20947244234300708,0.4
