tourney_date,match_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,closing_odds,execution_odds_source,closing_odds_source,friction_bps,friction_adjusted_odds,clv,market_probability,market_overround,edge,ev,friction_adjusted_ev,fractional_kelly_25,edge_trust_probability,accepted_by_strategy,won,stake,profit,friction_adjusted_profit
2018-12-31,2019-01-03,Brisbane,R16,Hard,3,Taro Daniel,Jo-Wilfried Tsonga,player2,other,0.27517790930104724,3.84,3.84,AvgW/AvgL,selected,200,3.7832,0.0,0.24853228962818005,1.0478182414698163,0.026645619672867188,0.05668317171602133,0.04105306646772189,0.0049897158200723005,,True,False,1.0,-1.0,-1.0
2018-12-31,2019-01-06,Brisbane,F,Hard,3,Daniil Medvedev,Kei Nishikori,player1,top_10,0.44731248439784743,2.36,2.36,AvgW/AvgL,selected,200,2.3327999999999998,0.0,0.4040404040404041,1.048728813559322,0.04327208035744334,0.05565746317891984,0.04349056360329839,0.010231151319654384,,True,False,1.0,-1.0,-1.0
2019-01-07,2019-01-08,Auckland,R16,Hard,3,John Isner,Taylor Fritz,player1,top_10,0.692252868314985,1.58,1.58,AvgW/AvgL,selected,200,1.5684,0.0,0.6030150753768844,1.0495780590717299,0.08923779293810064,0.09375953193767633,0.0857293986652225,0.04041359135244669,,True,False,1.0,-1.0,-1.0
2019-01-07,2019-01-09,Sydney,R16,Hard,3,Guido Andreozzi,Stefanos Tsitsipas,player1,other,0.18387731686027564,5.64,5.64,AvgW/AvgL,selected,200,5.547199999999999,0.0,0.168141592920354,1.0544979469951474,0.015735723939921648,0.03706806709195454,0.02000425208732093,0.001997201890730309,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-14,Australian Open,R128,Hard,5,Janko Tipsarevic,Grigor Dimitrov,player1,other,0.12584298128532725,9.97,9.97,AvgW/AvgL,selected,200,9.790600000000001,0.0,0.09610154125113327,1.0436971291232187,0.02974144003419399,0.25465452341471284,0.2320782925721252,0.0070973947439998,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-14,Australian Open,R128,Hard,5,Pedro Sousa,Alex De Minaur,player1,other,0.1095322419804068,11.2,11.2,AvgW/AvgL,selected,200,10.995999999999999,0.0,0.08571428571428573,1.0416666666666665,0.02381795626612107,0.226761110180556,0.20441653281655303,0.005557870347562647,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-15,Australian Open,R128,Hard,5,Pablo Andujar,Denis Shapovalov,player2,other,0.155419253138937,6.89,6.89,AvgW/AvgL,selected,200,6.7722,0.0,0.13875,1.0460387818878383,0.016669253138936996,0.07083865412727597,0.052530266107509216,0.0030067340461492347,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-15,Australian Open,R128,Hard,5,Kamil Majchrzak,Kei Nishikori,player2,top_10,0.07452703574065889,15.25,15.25,AvgW/AvgL,selected,200,14.965,0.0,0.06269207129686541,1.0459659273545483,0.011834964443793478,0.13653729504504808,0.11529708985896026,0.0023953911411411944,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-16,Australian Open,R64,Hard,5,Stefano Travaglia,Nikoloz Basilashvili,player1,other,0.2803759570610735,3.69,3.69,AvgW/AvgL,selected,200,3.6362,0.0,0.2590361445783133,1.0461965084767126,0.02133981248276018,0.03458728155536117,0.01950305506547545,0.003214431371316094,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-16,Australian Open,R64,Hard,5,Henri Laaksonen,Alex De Minaur,player2,other,0.10671063643602596,10.7,10.7,AvgW/AvgL,selected,200,10.505999999999998,0.0,0.08936170212765959,1.045838896306186,0.01734893430836637,0.1418038098654777,0.12110194639688854,0.003654737367666951,,True,False,1.0,-1.0,-1.0
