match_date,tourney_name,surface,round,winner_name,loser_name,score,w_ta_dr,w_ta_ace_pct,w_ta_df_pct,w_ta_1stin_pct,w_ta_1stwon_pct,w_ta_2ndwon_pct,w_ta_bpsvd_num,w_ta_bpsvd_den,w_ta_bpsvd_pct,l_ta_dr,l_ta_ace_pct,l_ta_df_pct,l_ta_1stin_pct,l_ta_1stwon_pct,l_ta_2ndwon_pct,l_ta_bpsvd_num,l_ta_bpsvd_den,l_ta_bpsvd_pct,minutes,source,ta_stats_source,source_profile_players,year,player_won,source_player,source_url,ta_more,ta_dr,ta_ace_pct,ta_df_pct,ta_1stin_pct,ta_1stwon_pct,ta_2ndwon_pct,ta_bpsvd_num,ta_bpsvd_den,ta_bpsvd_pct,winner_name_norm,loser_name_norm,score_norm,round_norm,match_key,tourney_level,draw_size
2025-06-30,Wimbledon,Grass,R128,Jaume Munar,Alexander Bublik,6-4 3-6 4-6 7-6(5) 6-2,1.04,0.053,0.04,0.583,0.716,0.54,7.0,12.0,0.5833333333333334,0.96,0.142,0.054000000000000006,0.581,0.7559999999999999,0.452,3.0,9.0,0.3333333333333333,204,player_profile_classic,player_profile_classic,"['Jaume Munar', 'Alexander Bublik']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Jenson Brooksby,Tallon Griekspoor,6-2 7-5 6-3,1.31,0.06,0.03,0.65,0.738,0.486,4.0,5.0,0.8,0.76,0.083,0.092,0.532,0.7070000000000001,0.353,13.0,18.0,0.7222222222222222,138,player_profile_classic,player_profile_classic,"['Jenson Brooksby', 'Tallon Griekspoor']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Jesper De Jong,Christopher Eubanks,6-3 6-7(5) 6-7(7) 6-3 7-6(3),,,,,,,,,,,,,,,,,,,269,,,,2025,False,Christopher Eubanks,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ChristopherEubanks,(ch),0.85,0.08800000000000001,0.036000000000000004,0.6990000000000001,0.733,0.44799999999999995,8.0,11.0,0.7272727272727273,JESPER DE JONG,CHRISTOPHER EUBANKS,6-3 6-7(5) 6-7(7) 6-3 7-6(3),R128,2025|2025-06-30|Wimbledon|R128|JESPER DE JONG|CHRISTOPHER EUBANKS|6-3 6-7(5) 6-7(7) 6-3 7-6(3),G,128
2025-06-30,Wimbledon,Grass,R128,Jiri Lehecka,Hugo Dellien,4-6 6-2 6-2 7-6(0),1.71,0.21600000000000003,0.028999999999999998,0.657,0.836,0.657,1.0,2.0,0.5,0.58,0.053,0.018000000000000002,0.684,0.654,0.528,4.0,8.0,0.5,145,player_profile_classic,player_profile_classic,"['Jiri Lehecka', 'Hugo Dellien']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Joao Fonseca,Jacob Fearnley,6-4 6-1 7-6(5),1.55,0.122,0.044000000000000004,0.711,0.8440000000000001,0.5,4.0,4.0,1.0,0.65,0.042,0.10400000000000001,0.6559999999999999,0.6509999999999999,0.515,8.0,11.0,0.7272727272727273,121,player_profile_classic,player_profile_classic,"['Joao Fonseca', 'Jacob Fearnley']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Jordan Thompson,Vit Kopriva,3-6 4-6 6-3 7-6(1) 6-1,1.08,0.127,0.013000000000000001,0.62,0.735,0.583,14.0,16.0,0.875,0.92,0.10099999999999999,0.067,0.51,0.7759999999999999,0.521,13.0,16.0,0.8125,217,player_profile_classic,player_profile_classic,"['Jordan Thompson', 'Vit Kopriva']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Kamil Majchrzak,Matteo Berrettini,4-6 6-2 6-4 5-7 6-3,1.15,0.037000000000000005,0.022000000000000002,0.5670000000000001,0.737,0.621,4.0,8.0,0.5,0.87,0.184,0.028999999999999998,0.632,0.7559999999999999,0.44,9.0,15.0,0.6,187,player_profile_classic,player_profile_classic,"['Kamil Majchrzak', 'Matteo Berrettini']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Karen Khachanov,Mackenzie Mcdonald,7-5 6-4 6-4,1.3,0.10400000000000001,0.009000000000000001,0.623,0.773,0.6,6.0,7.0,0.8571428571428571,0.77,0.076,0.022000000000000002,0.674,0.677,0.5,6.0,10.0,0.6,131,player_profile_classic,player_profile_classic,"['Karen Khachanov', 'Mackenzie McDonald']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Learner Tien,Nishesh Basavareddy,7-6(5) 6-3 6-2,1.55,0.084,0.053,0.589,0.7859999999999999,0.667,5.0,6.0,0.8333333333333334,0.64,0.032,0.022000000000000002,0.613,0.684,0.444,7.0,11.0,0.6363636363636364,130,player_profile_classic,player_profile_classic,"['Learner Tien', 'Nishesh Basavareddy']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Lloyd Harris,Zizou Bergs,7-6(7) 7-6(2) 6-7(5) 6-2,1.12,0.133,0.023,0.618,0.7290000000000001,0.545,12.0,14.0,0.8571428571428571,0.9,0.055,0.10400000000000001,0.49700000000000005,0.741,0.5,9.0,13.0,0.6923076923076923,246,player_profile_classic,player_profile_classic,"['Lloyd Harris', 'Zizou Bergs']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Lorenzo Sonego,Jaime Faria,6-3 6-4 6-2,1.96,0.203,0.0,0.8109999999999999,0.8,0.7140000000000001,2.0,2.0,1.0,0.51,0.047,0.071,0.682,0.7070000000000001,0.29600000000000004,5.0,9.0,0.5555555555555556,103,player_profile_classic,player_profile_classic,"['Lorenzo Sonego', 'Jaime Faria']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Luciano Darderi,Roman Safiullin,7-6(3) 1-6 6-7(2) 6-3 6-1,1.07,0.061,0.027000000000000003,0.608,0.7,0.534,5.0,10.0,0.5,0.93,0.102,0.042,0.5720000000000001,0.674,0.521,11.0,17.0,0.6470588235294118,228,player_profile_classic,player_profile_classic,"['Luciano Darderi', 'Roman Safiullin']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Marcos Giron,Camilo Ugo Carabelli,7-6(6) 7-6(4) 6-3,,,,,,,,,,,,,,,,,,,159,,,,2025,True,Marcos Giron,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=MarcosGiron,,1.34,0.111,0.0,0.648,0.7290000000000001,0.579,4.0,7.0,0.5714285714285714,MARCOS GIRON,CAMILO UGO CARABELLI,7-6(6) 7-6(4) 6-3,R128,2025|2025-06-30|Wimbledon|R128|MARCOS GIRON|CAMILO UGO CARABELLI|7-6(6) 7-6(4) 6-3,G,128
2025-06-30,Wimbledon,Grass,R128,Marcos Giron,Ugo Carabelli,7-6(6) 7-6(4) 6-3,,,,,,,,,,,,,,,,,,,159,,,,2025,False,Camilo Ugo Carabelli,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=CamiloUgoCarabelli,,0.74,0.048,0.016,0.508,0.619,0.508,8.0,12.0,0.6666666666666666,MARCOS GIRON,UGO CARABELLI,7-6(6) 7-6(4) 6-3,R128,2025|2025-06-30|Wimbledon|R128|MARCOS GIRON|UGO CARABELLI|7-6(6) 7-6(4) 6-3,G,128
2025-06-30,Wimbledon,Grass,R128,Mariano Navone,Denis Shapovalov,3-6 6-4 6-1 6-4,1.3,0.01,0.048,0.596,0.6940000000000001,0.643,4.0,7.0,0.5714285714285714,0.77,0.054000000000000006,0.099,0.541,0.7170000000000001,0.41200000000000003,4.0,10.0,0.4,148,player_profile_classic,player_profile_classic,"['Mariano Navone', 'Denis Shapovalov']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-06-30,Wimbledon,Grass,R128,Marin Cilic,Raphael Collignon,6-3 6-4 6-3,1.54,0.213,0.0,0.5870000000000001,0.841,0.581,3.0,4.0,0.75,0.65,0.141,0.106,0.6709999999999999,0.684,0.39299999999999996,8.0,13.0,0.6153846153846154,108,player_profile_classic,player_profile_classic,"['Marin Cilic', 'Raphael Collignon']",2025,,,,,,,,,,,,,,,,,,,G,128
