match_date,tourney_name,surface,round,winner_name,loser_name,score,w_ta_dr,w_ta_ace_pct,w_ta_df_pct,w_ta_1stin_pct,w_ta_1stwon_pct,w_ta_2ndwon_pct,w_ta_bpsvd_num,w_ta_bpsvd_den,w_ta_bpsvd_pct,l_ta_dr,l_ta_ace_pct,l_ta_df_pct,l_ta_1stin_pct,l_ta_1stwon_pct,l_ta_2ndwon_pct,l_ta_bpsvd_num,l_ta_bpsvd_den,l_ta_bpsvd_pct,minutes,source,ta_stats_source,source_profile_players,year,player_won,source_player,source_url,ta_more,ta_dr,ta_ace_pct,ta_df_pct,ta_1stin_pct,ta_1stwon_pct,ta_2ndwon_pct,ta_bpsvd_num,ta_bpsvd_den,ta_bpsvd_pct,winner_name_norm,loser_name_norm,score_norm,round_norm,match_key,tourney_level,draw_size
2025-08-25,US Open,Hard,Q1,Cristian Garin,Yosuke Watanuki,6-4 6-4,1.19,0.0,0.0,0.6940000000000001,0.6509999999999999,0.526,3.0,5.0,0.6,0.84,0.032,0.048,0.5710000000000001,0.722,0.29600000000000004,5.0,9.0,0.5555555555555556,88.0,player_profile_classic,player_profile_classic,"['Cristian Garin', 'Yosuke Watanuki']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Daniel Elahi Galan,Den Ouden,6-1 7-5,,,,,,,,,,,,,,,,,,,86.0,,,,2025,False,Guy Den Ouden,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=GuyDenOuden,,0.73,0.045,0.106,0.47,0.645,0.4,1.0,6.0,0.16666666666666666,DANIEL ELAHI GALAN,DEN OUDEN,6-1 7-5,Q1,2025|2025-08-25|US Open|Q1|DANIEL ELAHI GALAN|DEN OUDEN|6-1 7-5,G,128
2025-08-25,US Open,Hard,Q1,Daniel Elahi Galan,Guy Den Ouden,6-1 7-5,,,,,,,,,,,,,,,,,,,86.0,,,,2025,True,Daniel Elahi Galan,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=DanielElahiGalan,,1.37,0.113,0.032,0.581,0.6940000000000001,0.5770000000000001,3.0,4.0,0.75,DANIEL ELAHI GALAN,GUY DEN OUDEN,6-1 7-5,Q1,2025|2025-08-25|US Open|Q1|DANIEL ELAHI GALAN|GUY DEN OUDEN|6-1 7-5,G,128
2025-08-25,US Open,Hard,Q1,Daniel Merida Aguilar,Dalibor Svrcina,1-6 6-3 7-5,,,,,,,,,,,,,,,,,,,119.0,,,,2025,False,Dalibor Svrcina,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=DaliborSvrcina,,1.0,0.0,0.066,0.604,0.5820000000000001,0.444,10.0,16.0,0.625,DANIEL MERIDA AGUILAR,DALIBOR SVRCINA,1-6 6-3 7-5,Q1,2025|2025-08-25|US Open|Q1|DANIEL MERIDA AGUILAR|DALIBOR SVRCINA|1-6 6-3 7-5,G,128
2025-08-25,US Open,Hard,Q1,De Jong,Vilius Gaubas,6-3 6-4,,,,,,,,,,,,,,,,,,,104.0,,,,2025,True,Jesper De Jong,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JesperDeJong,,1.37,0.054000000000000006,0.107,0.5539999999999999,0.774,0.52,2.0,3.0,0.6666666666666666,DE JONG,VILIUS GAUBAS,6-3 6-4,Q1,2025|2025-08-25|US Open|Q1|DE JONG|VILIUS GAUBAS|6-3 6-4,G,128
2025-08-25,US Open,Hard,Q1,Dino Prizmic,Alexis Galarneau,7-6(7) 6-1,1.31,0.032,0.063,0.5870000000000001,0.6759999999999999,0.5770000000000001,5.0,7.0,0.7142857142857143,0.76,0.027999999999999997,0.027999999999999997,0.563,0.575,0.452,4.0,9.0,0.4444444444444444,102.0,player_profile_classic,player_profile_classic,"['Dino Prizmic', 'Alexis Galarneau']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Dmitry Popko,Seyboth Wild,7-6(4) 6-3,,,,,,,,,,,,,,,,,,,99.0,,,,2025,False,Thiago Seyboth Wild,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ThiagoSeybothWild,,0.87,0.094,0.016,0.625,0.8,0.45799999999999996,3.0,5.0,0.6,DMITRY POPKO,SEYBOTH WILD,7-6(4) 6-3,Q1,2025|2025-08-25|US Open|Q1|DMITRY POPKO|SEYBOTH WILD|7-6(4) 6-3,G,128
2025-08-25,US Open,Hard,Q1,Dmitry Popko,Thiago Seyboth Wild,7-6(4) 6-3,,,,,,,,,,,,,,,,,,,99.0,,,,2025,True,Dmitry Popko,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=DmitryPopko,,1.15,0.114,0.028999999999999998,0.529,0.892,0.515,1.0,2.0,0.5,DMITRY POPKO,THIAGO SEYBOTH WILD,7-6(4) 6-3,Q1,2025|2025-08-25|US Open|Q1|DMITRY POPKO|THIAGO SEYBOTH WILD|7-6(4) 6-3,G,128
2025-08-25,US Open,Hard,Q1,Fajing Sun,Martin Tiffon,3-6 7-6(5) 4-1 RET,,,,,,,,,,,,,,,,,,,139.0,,,,2025,False,Pol Martin Tiffon,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=PolMartinTiffon,,0.94,0.055999999999999994,0.079,0.528,0.66,0.47600000000000003,1.0,3.0,0.3333333333333333,FAJING SUN,MARTIN TIFFON,3-6 7-6(5) 4-1 RET,Q1,2025|2025-08-25|US Open|Q1|FAJING SUN|MARTIN TIFFON|3-6 7-6(5) 4-1 RET,G,128
2025-08-25,US Open,Hard,Q1,Fajing Sun,Pol Martin Tiffon,3-6 7-6(5) 4-1 RET,,,,,,,,,,,,,,,,,,,139.0,,,,2025,True,Fajing Sun,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=FajingSun,,1.07,0.02,0.05,0.46,0.674,0.537,5.0,8.0,0.625,FAJING SUN,POL MARTIN TIFFON,3-6 7-6(5) 4-1 RET,Q1,2025|2025-08-25|US Open|Q1|FAJING SUN|POL MARTIN TIFFON|3-6 7-6(5) 4-1 RET,G,128
2025-08-25,US Open,Hard,Q1,Federico Agustin Gomez,Lukas Klein,6-2 6-4,1.55,0.12300000000000001,0.105,0.526,0.867,0.593,3.0,3.0,1.0,0.65,0.07400000000000001,0.019,0.537,0.759,0.4,4.0,7.0,0.5714285714285714,69.0,player_profile_classic,player_profile_classic,"['Federico Agustin Gomez', 'Lukas Klein']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Federico Cina,Dominic Stricker,6-2 6-2,1.81,0.044000000000000004,0.022000000000000002,0.622,0.821,0.529,1.0,2.0,0.5,0.55,0.045,0.045,0.43200000000000005,0.684,0.32,3.0,8.0,0.375,56.0,player_profile_classic,player_profile_classic,"['Federico Cina', 'Dominic Stricker']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Francesco Passaro,Yu Hsiou Hsu,6-3 1-6 6-4,0.98,0.076,0.063,0.532,0.7140000000000001,0.541,6.0,9.0,0.6666666666666666,1.02,0.026000000000000002,0.051,0.718,0.732,0.409,3.0,6.0,0.5,114.0,player_profile_classic,player_profile_classic,"['Francesco Passaro', 'Yu Hsiou Hsu']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Garrett Johns,Colton Smith,6-3 6-3,1.41,0.034,0.017,0.508,0.767,0.655,2.0,2.0,1.0,0.71,0.07400000000000001,0.07400000000000001,0.574,0.645,0.522,3.0,6.0,0.5,76.0,player_profile_classic,player_profile_classic,"['Garrett Johns', 'Colton Smith']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,George Loffhagen,Jason Kubler,4-5 RET,1.51,0.16699999999999998,0.05,0.5,0.867,0.667,0.0,0.0,,0.66,0.10300000000000001,0.044000000000000004,0.588,0.675,0.607,5.0,7.0,0.7142857142857143,98.0,player_profile_classic,player_profile_classic,"['Jason Kubler', 'George Loffhagen']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Giulio Zeppieri,Hady Habib,4-6 7-6(7) 7-5,1.1,0.191,0.078,0.6,0.826,0.435,4.0,6.0,0.6666666666666666,0.91,0.102,0.071,0.7240000000000001,0.696,0.486,12.0,14.0,0.8571428571428571,153.0,player_profile_classic,player_profile_classic,"['Giulio Zeppieri', 'Hady Habib']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Harold Mayot,Johannus Monday,7-5 6-3,1.66,0.179,0.018000000000000002,0.589,0.909,0.522,1.0,2.0,0.5,0.6,0.031,0.046,0.631,0.634,0.5,5.0,8.0,0.625,89.0,player_profile_classic,player_profile_classic,"['Harold Mayot', 'Johannus Monday']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Henrique Rocha,Pierre Hugues Herbert,6-4 6-7(1) 6-4,1.39,0.077,0.022000000000000002,0.604,0.818,0.611,2.0,2.0,1.0,0.72,0.08199999999999999,0.067,0.612,0.732,0.48100000000000004,14.0,16.0,0.875,159.0,player_profile_classic,player_profile_classic,"['Henrique Rocha', 'Pierre Hugues Herbert']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Hugo Grenier,Omar Jasika,6-7(3) 6-3 6-3,1.11,0.08900000000000001,0.081,0.5479999999999999,0.691,0.321,9.0,15.0,0.6,0.9,0.0,0.026000000000000002,0.728,0.494,0.419,12.0,21.0,0.5714285714285714,183.0,player_profile_classic,player_profile_classic,"['Hugo Grenier', 'Omar Jasika']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Ignacio Buse,Lukas Neumayer,7-6(2) 6-7(5) 6-1,1.3,0.085,0.038,0.679,0.75,0.5589999999999999,4.0,6.0,0.6666666666666666,0.77,0.036000000000000004,0.063,0.532,0.695,0.48100000000000004,4.0,8.0,0.5,155.0,player_profile_classic,player_profile_classic,"['Ignacio Buse', 'Lukas Neumayer']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Jaime Faria,Rio Noguchi,3-6 6-4 6-3,1.2,0.127,0.038,0.62,0.735,0.467,6.0,10.0,0.6,0.83,0.011000000000000001,0.0,0.621,0.627,0.444,8.0,13.0,0.6153846153846154,110.0,player_profile_classic,player_profile_classic,"['Jaime Faria', 'Rio Noguchi']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,James Duckworth,Facundo Bagnis,6-4 6-2,1.52,0.055,0.0,0.527,0.759,0.615,2.0,3.0,0.6666666666666666,0.66,0.076,0.106,0.515,0.588,0.469,8.0,12.0,0.6666666666666666,83.0,player_profile_classic,player_profile_classic,"['Facundo Bagnis', 'James Duckworth']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,James Mccabe,Francesco Maestrelli,6-3 6-7(2) 6-4,1.14,0.07,0.01,0.58,0.69,0.5710000000000001,0.0,3.0,0.0,0.88,0.065,0.084,0.561,0.65,0.511,11.0,16.0,0.6875,161.0,player_profile_classic,player_profile_classic,"['Francesco Maestrelli', 'James Mccabe']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Jan Lennard Struff,Clement Chidekh,6-4 6-1,1.45,0.077,0.057999999999999996,0.615,0.688,0.5,3.0,6.0,0.5,0.69,0.017,0.068,0.542,0.43799999999999994,0.444,9.0,15.0,0.6,69.0,player_profile_classic,player_profile_classic,"['Clement Chidekh', 'Jan Lennard Struff']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Jay Clarke,Jack Satterfield,7-6(5) 6-1,1.61,0.032,0.016,0.613,0.789,0.667,2.0,2.0,1.0,0.62,0.062,0.015,0.585,0.684,0.444,2.0,4.0,0.5,94.0,player_profile_classic,player_profile_classic,"['Jay Clarke', 'Jack Satterfield']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Jerome Kym,Carlos Taberner,7-6(2) 6-1,1.72,0.196,0.018000000000000002,0.589,0.879,0.522,3.0,4.0,0.75,0.58,0.064,0.115,0.551,0.6509999999999999,0.4,2.0,6.0,0.3333333333333333,93.0,player_profile_classic,player_profile_classic,"['Jerome Kym', 'Carlos Taberner']",2025,,,,,,,,,,,,,,,,,,,G,128
2025-08-25,US Open,Hard,Q1,Jesper De Jong,Vilius Gaubas,6-3 6-4,,,,,,,,,,,,,,,,,,,104.0,,,,2025,False,Vilius Gaubas,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ViliusGaubas,,0.73,0.0,0.047,0.7440000000000001,0.578,0.409,9.0,13.0,0.6923076923076923,JESPER DE JONG,VILIUS GAUBAS,6-3 6-4,Q1,2025|2025-08-25|US Open|Q1|JESPER DE JONG|VILIUS GAUBAS|6-3 6-4,G,128
