tourney_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,market_probability,edge,ev,won,stake,profit
2019-02-25,Sao Paulo,R16,Clay,3,Jaume Munar,Cristian Garin,player2,other,0.6329758431907216,1.7,0.5584415584415584,0.07453428474916324,0.07605893342422676,False,1.0,-1.0
2019-02-25,Sao Paulo,QF,Clay,3,Leonardo Mayer,Cristian Garin,player2,other,0.5871326376434904,1.77,0.5378590078328982,0.049273629810592245,0.03922476862897811,False,1.0,-1.0
2019-02-25,Sao Paulo,SF,Clay,3,Laslo Djere,Guido Pella,player1,other,0.43836066140073776,2.57,0.3700980392156863,0.06826262218505147,0.126586899799896,False,1.0,-1.0
2019-02-25,Sao Paulo,SF,Clay,3,Cristian Garin,Casper Ruud,player2,other,0.4988269834045383,2.23,0.42673521850899737,0.07209176489554092,0.11238417299212033,True,1.0,1.23
2019-04-08,Marrakech,R32,Clay,3,Benoit Paire,Aljaz Bedene,player1,other,0.5350305510748489,2.02,0.46981627296587924,0.06521427810896963,0.08076171317119474,True,1.0,1.02
2019-04-08,Marrakech,R32,Clay,3,Facundo Bagnis,Jaume Munar,player2,other,0.3383440614654078,3.28,0.2885032537960954,0.04984080766931237,0.1097685216065376,False,1.0,-1.0
2019-04-08,Marrakech,R32,Clay,3,Laslo Djere,Lorenzo Sonego,player2,other,0.6590656822745652,1.66,0.5699481865284974,0.08911749574606775,0.09404903257577818,False,1.0,-1.0
2019-04-08,Marrakech,R16,Clay,3,Philipp Kohlschreiber,Pablo Andujar,player1,other,0.6195186896800252,1.81,0.5236842105263159,0.09583447915370935,0.12132882832084568,False,1.0,-1.0
2019-04-08,Houston,R16,Clay,3,Cameron Norrie,Janko Tipsarevic,player2,other,0.6509184788127311,1.63,0.5809768637532133,0.06994161505951779,0.06099712046475164,False,1.0,-1.0
2019-04-08,Houston,R16,Clay,3,Sam Querrey,Guillermo Garcia Lopez,player1,other,0.7207571071568267,1.46,0.6473429951690821,0.07341411198774461,0.05230537644896699,True,1.0,0.45999999999999996
2019-04-08,Houston,R16,Clay,3,Casper Ruud,Reilly Opelka,player2,other,0.6103182269428341,1.89,0.5013192612137204,0.10899896572911372,0.15350144892195638,True,1.0,0.8899999999999999
2019-04-08,Houston,R16,Clay,3,Santiago Giraldo,Jordan Thompson,player2,other,0.4709759594619946,2.29,0.4143222506393862,0.056653708822608395,0.07853494716796772,False,1.0,-1.0
2019-04-08,Houston,R32,Clay,3,Santiago Giraldo,Bradley Klahn,player2,other,0.7213671049695701,1.44,0.6579572446555819,0.06340986031398821,0.038768631156180955,True,1.0,0.43999999999999995
2019-04-08,Houston,QF,Clay,3,Casper Ruud,Marcel Granollers,player1,other,0.6654578870197003,1.62,0.5856777493606138,0.07978013765908654,0.07804177697191461,True,1.0,0.6200000000000001
2019-04-08,Marrakech,R32,Clay,3,Cedrik Marcel Stebe,Jo-Wilfried Tsonga,player1,other,0.17944386057257575,6.89,0.1376720901126408,0.04177177045993494,0.23636819934504694,False,1.0,-1.0
2019-04-08,Marrakech,R16,Clay,3,Gilles Simon,Guido Andreozzi,player2,other,0.7041513907565763,1.61,0.5871794871794872,0.11697190357708909,0.1336837391180879,True,1.0,0.6100000000000001
2019-04-08,Houston,R16,Clay,3,Jeremy Chardy,Cristian Garin,player1,other,0.5136478026708851,2.15,0.44010416666666663,0.07354363600421843,0.1043427757424028,False,1.0,-1.0
2019-04-08,Marrakech,R16,Clay,3,Benoit Paire,Pierre Hugues Herbert,player2,other,0.6498699252065346,1.68,0.5625,0.08736992520653464,0.09178147434697814,True,1.0,0.6799999999999999
2019-04-08,Marrakech,QF,Clay,3,Jiri Vesely,Pablo Andujar,player2,other,0.5070091291709925,2.1,0.4516971279373368,0.055312001233655705,0.06471917125908433,False,1.0,-1.0
2019-04-08,Marrakech,QF,Clay,3,Jo-Wilfried Tsonga,Lorenzo Sonego,player1,other,0.739139733810419,1.43,0.6611374407582938,0.07800229305212514,0.05696981934889911,True,1.0,0.42999999999999994
2019-04-08,Marrakech,F,Clay,3,Benoit Paire,Pablo Andujar,player1,other,0.5135976268731717,2.16,0.43896103896103894,0.07463658791213273,0.10937087404605084,True,1.0,1.1600000000000001
