bets,wins,win_rate,staked,profit,roi,max_drawdown,average_odds,average_model_probability,average_edge,edge_threshold
880,511,0.5806818181818182,880.0,76.09,0.0864659090909091,-22.260000000000012,2.404056818181818,0.6355171170552337,0.10723989635005605,0.01
838,483,0.5763723150357996,838.0,76.75,0.09158711217183771,-20.839999999999996,2.422875894988067,0.6328093197716316,0.11034474219121479,0.02
787,451,0.5730622617534943,787.0,80.53999999999999,0.10233799237611181,-17.839999999999996,2.454879288437103,0.6279966637613333,0.11407176753241703,0.03
693,386,0.556998556998557,693.0,67.18,0.09694083694083695,-15.370000000000005,2.5103463203463203,0.6201269208044515,0.12138314712954039,0.05
583,315,0.5403087478559176,583.0,69.65,0.11946826758147513,-13.050000000000004,2.61188679245283,0.6057727834942714,0.13018555014705102,0.075
491,256,0.5213849287169042,491.0,59.89,0.1219755600814664,-12.080000000000002,2.6818126272912424,0.5950024645277364,0.1388447290592054,0.1
