snapshot_time,match_date,tourney_name,round,surface,player,opponent,side,model_probability,market_probability,odds,closing_odds,clv,stake,won,profit,friction_adjusted_profit,execution_odds_source,closing_odds_source
,2019-01-01,Doha,R32,Hard,Pierre Hugues Herbert,Dominic Thiem,player2,0.3839362145109013,0.25,3.75,3.77,-0.0053050397877983935,1.0,True,2.75,2.695,selected,average_proxy
,2019-01-01,Doha,R32,Hard,Damir Dzumhur,Novak Djokovic,player2,0.1185597029463446,0.0871369294605809,11.0,12.85,-0.14396887159533067,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-02,Pune,R16,Hard,Kevin Anderson,Laslo Djere,player2,0.8745819915878583,0.75,1.25,1.32,-0.053030303030303094,1.0,True,0.25,0.2450000000000001,selected,average_proxy
,2019-01-02,Brisbane,R16,Hard,Denis Kudla,Kei Nishikori,player2,0.2670259796682126,0.1883116883116883,5.0,5.17,-0.03288201160541582,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-03,Brisbane,QF,Hard,Grigor Dimitrov,Kei Nishikori,player2,0.5007591873557637,0.411764705882353,2.3,2.26,0.017699115044247815,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-04,Doha,SF,Hard,Roberto Bautista Agut,Novak Djokovic,player2,0.2144838288822134,0.1883116883116883,5.0,4.95,0.010101010101010166,1.0,True,4.0,3.92,selected,average_proxy
,2019-01-06,Brisbane,F,Hard,Daniil Medvedev,Kei Nishikori,player2,0.4842518046824866,0.398477157360406,2.37,2.36,0.004237288135593209,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-08,Auckland,R16,Hard,Taylor Fritz,John Isner,player1,0.4385733378180537,0.3923076923076922,2.37,2.4,-0.012499999999999956,1.0,True,1.37,1.3426,selected,average_proxy
,2019-01-14,Australian Open,R128,Hard,Peter Gojowczyk,Karen Khachanov,player1,0.1636695901770869,0.1458607095926412,6.5,7.07,-0.08062234794908063,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-14,Australian Open,R128,Hard,John Isner,Reilly Opelka,player1,0.8483397340956729,0.6359223300970874,1.5,1.46,0.027397260273972712,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-14,Australian Open,R128,Hard,James Duckworth,Rafael Nadal,player2,0.1899965654479229,0.0871369294605809,11.0,11.64,-0.054982817869415834,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-15,Australian Open,R128,Hard,Kamil Majchrzak,Kei Nishikori,player1,0.1139187368674845,0.0566037735849056,17.0,15.25,0.11475409836065564,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-15,Australian Open,R128,Hard,Steve Darcis,Borna Coric,player2,0.187909012925324,0.1716867469879518,5.5,5.37,0.024208566108007368,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-15,Australian Open,R128,Hard,Benoit Paire,Dominic Thiem,player1,0.4295688741376467,0.2544731610337972,3.75,3.68,0.01902173913043481,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-16,Australian Open,R64,Hard,John Millman,Roberto Bautista Agut,player1,0.3184295318818628,0.281183932346723,3.4,3.46,-0.017341040462427793,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-16,Australian Open,R64,Hard,Matthew Ebden,Rafael Nadal,player2,0.1379670789255149,0.0958408679927667,10.0,9.92,0.008064516129032251,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-17,Australian Open,R64,Hard,Novak Djokovic,Jo-Wilfried Tsonga,player1,0.9729929802649622,0.9041591320072332,1.06,1.06,0.0,1.0,True,0.06000000000000005,0.05879999999999996,selected,average_proxy
,2019-01-18,Australian Open,R32,Hard,Marin Cilic,Fernando Verdasco,player2,0.8350135629859144,0.7455268389662029,1.28,1.3,-0.015384615384615441,1.0,True,0.28,0.2744,selected,average_proxy
,2019-01-18,Australian Open,R32,Hard,Diego Schwartzman,Tomas Berdych,player1,0.2680590834466606,0.238095238095238,4.0,4.04,-0.00990099009900991,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-19,Australian Open,R32,Hard,Alex Bolt,Alexander Zverev,player1,0.1601926421198309,0.074074074074074,13.0,10.63,0.22295390404515514,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-20,Australian Open,R16,Hard,Marin Cilic,Roberto Bautista Agut,player1,0.6941862121697782,0.549738219895288,1.72,1.72,0.0,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-20,Australian Open,R16,Hard,Roger Federer,Stefanos Tsitsipas,player1,0.9161042935423592,0.8283132530120482,1.14,1.16,-0.017241379310344862,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-21,Australian Open,R16,Hard,Daniil Medvedev,Novak Djokovic,player1,0.1811438979727958,0.1458607095926412,6.5,6.4,0.015625,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-21,Australian Open,R16,Hard,Milos Raonic,Alexander Zverev,player1,0.5785022523701722,0.4300518134715025,2.2,2.13,0.032863849765258246,1.0,True,1.2000000000000002,1.1760000000000002,selected,average_proxy
,2019-01-24,Australian Open,SF,Hard,Rafael Nadal,Stefanos Tsitsipas,player2,0.935165203896558,0.8116883116883117,1.16,1.18,-0.016949152542372947,1.0,True,0.15999999999999992,0.15679999999999983,selected,average_proxy
,2019-01-25,Australian Open,SF,Hard,Lucas Pouille,Novak Djokovic,player2,0.1122943720328841,0.0871369294605809,11.0,10.45,0.052631578947368585,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-01-27,Australian Open,F,Hard,Novak Djokovic,Rafael Nadal,player2,0.6289621303312996,0.5526992287917738,1.74,1.75,-0.005714285714285672,1.0,True,0.74,0.7252000000000001,selected,average_proxy
,2019-02-07,Cordoba,R16,Clay,Alessandro Giannessi,Diego Schwartzman,player1,0.1459501078774676,0.118942731277533,8.0,7.99,0.0012515644555695093,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-13,Rotterdam,R32,Hard,Thomas Fabbiano,Jo-Wilfried Tsonga,player2,0.2148646849177715,0.1716867469879518,5.5,6.2,-0.11290322580645162,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-14,New York,R16,Hard,John Isner,Bernard Tomic,player1,0.8811101998322786,0.6626506024096386,1.4,1.37,0.021897810218977964,1.0,True,0.3999999999999999,0.3919999999999999,selected,average_proxy
,2019-02-14,Buenos Aires,R16,Clay,Maximilian Marterer,Dominic Thiem,player1,0.2495758246734304,0.2077464788732394,4.5,4.87,-0.07597535934291588,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-15,Rotterdam,QF,Hard,Damir Dzumhur,Gael Monfils,player2,0.2576282323974606,0.2198198198198198,4.33,4.25,0.018823529411764683,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-15,Rotterdam,QF,Hard,Marton Fucsovics,Kei Nishikori,player2,0.2469925987799391,0.2105263157894736,4.5,4.58,-0.017467248908296984,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-15,Buenos Aires,QF,Clay,Pablo Cuevas,Dominic Thiem,player2,0.3298976373324863,0.2708333333333333,3.5,3.62,-0.03314917127071826,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-16,Rotterdam,SF,Hard,Stan Wawrinka,Kei Nishikori,player1,0.4361530300122299,0.3796526054590571,2.5,2.48,0.008064516129032251,1.0,True,1.5,1.4699999999999998,selected,average_proxy
,2019-02-16,New York,QF,Hard,Jordan Thompson,John Isner,player1,0.4131237845606192,0.281183932346723,3.4,3.52,-0.03409090909090917,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-16,Buenos Aires,SF,Clay,Dominic Thiem,Diego Schwartzman,player1,0.8028950454710537,0.6818181818181818,1.4,1.42,-0.014084507042253502,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-20,Delray Beach,R32,Hard,Juan Martin del Potro,Yoshihito Nishioka,player1,0.8327394094809718,0.75,1.25,1.32,-0.053030303030303094,1.0,True,0.25,0.2450000000000001,selected,average_proxy
,2019-02-20,Delray Beach,R16,Hard,John Isner,Lukas Lacko,player1,0.9439857054403364,0.8541392904073586,1.11,1.12,-0.008928571428571397,1.0,True,0.1100000000000001,0.10780000000000012,selected,average_proxy
,2019-02-22,Delray Beach,R16,Hard,Juan Martin del Potro,Reilly Opelka,player2,0.6929307664478245,0.625,1.5,1.51,-0.0066225165562914245,1.0,True,0.5,0.49,selected,average_proxy
,2019-02-22,Delray Beach,QF,Hard,Adrian Mannarino,John Isner,player1,0.2461217869860295,0.2198198198198198,4.33,4.1,0.056097560975609806,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-23,Delray Beach,SF,Hard,John Isner,Daniel Evans,player1,0.7425777000493743,0.6563245823389022,1.44,1.42,0.014084507042253502,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-25,Dubai,R32,Hard,Roger Federer,Philipp Kohlschreiber,player2,0.98,0.8641975308641975,1.1,1.11,-0.009009009009009028,1.0,True,0.10000000000000009,0.09800000000000009,selected,average_proxy
,2019-02-26,Dubai,R32,Hard,Marin Cilic,Gael Monfils,player2,0.6920903471009866,0.5135135135135135,1.8,1.93,-0.06735751295336778,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-26,Dubai,R32,Hard,Benoit Paire,Kei Nishikori,player2,0.2739965459158103,0.2077464788732394,4.5,4.82,-0.06639004149377603,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-27,Dubai,R16,Hard,Egor Gerasimov,Stefanos Tsitsipas,player2,0.2438948819351482,0.2169981916817359,4.33,4.3,0.006976744186046657,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-27,Acapulco,R32,Hard,Mischa Zverev,Rafael Nadal,player2,0.1048650417122234,0.0871369294605809,11.0,10.09,0.09018830525272548,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-27,Acapulco,R16,Hard,Peter Gojowczyk,John Millman,player1,0.375125272940085,0.3373493975903614,2.75,2.79,-0.014336917562724039,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-28,Dubai,QF,Hard,Marton Fucsovics,Roger Federer,player1,0.2855579982482905,0.1883116883116883,5.0,5.05,-0.00990099009900991,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-28,Acapulco,R16,Hard,David Ferrer,Alexander Zverev,player2,0.2429309719264157,0.1883116883116883,5.0,4.89,0.02249488752556239,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-02-28,Acapulco,R16,Hard,Steve Johnson,Stan Wawrinka,player1,0.2872455995351397,0.25,3.75,3.65,0.027397260273972712,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-01,Sao Paulo,QF,Clay,Marco Trungelliti,Guido Pella,player1,0.2339450992571599,0.2105263157894736,4.5,4.62,-0.025974025974025983,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-01,Acapulco,QF,Hard,John Millman,John Isner,player1,0.462837170393833,0.411764705882353,2.3,2.28,0.00877192982456143,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-02,Dubai,F,Hard,Roger Federer,Stefanos Tsitsipas,player1,0.933101929334694,0.7455268389662029,1.28,1.32,-0.030303030303030276,1.0,True,0.28,0.2744,selected,average_proxy
,2019-03-02,Acapulco,SF,Hard,Cameron Norrie,Alexander Zverev,player2,0.280874111517174,0.1883116883116883,5.0,5.09,-0.017681728880157177,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-02,Acapulco,SF,Hard,Nick Kyrgios,John Isner,player2,0.6137664344440832,0.549738219895288,1.72,1.74,-0.011494252873563204,1.0,True,0.72,0.7056,selected,average_proxy
,2019-03-09,Indian Wells Masters,R64,Hard,Felix Auger Aliassime,Stefanos Tsitsipas,player1,0.4138869612951542,0.3119266055045871,3.0,3.03,-0.009900990099009799,1.0,True,2.0,1.96,selected,average_proxy
,2019-03-10,Indian Wells Masters,R64,Hard,Mackenzie Mcdonald,Daniil Medvedev,player1,0.2872455995351397,0.25,3.75,3.94,-0.048223350253807085,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-10,Indian Wells Masters,R64,Hard,Nicolas Jarry,Kyle Edmund,player1,0.3144809930787147,0.2765957446808511,3.4,3.43,-0.008746355685131268,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-10,Indian Wells Masters,R64,Hard,Martin Klizan,Alexander Zverev,player2,0.2308793200028611,0.1716867469879518,5.5,6.12,-0.10130718954248363,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-10,Indian Wells Masters,R64,Hard,Jordan Thompson,Dominic Thiem,player1,0.3941149933600709,0.2903930131004367,3.25,3.36,-0.03273809523809523,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-11,Indian Wells Masters,R32,Hard,Jan Lennard Struff,Alexander Zverev,player2,0.2797877163503044,0.1883116883116883,5.0,4.94,0.012145748987854255,1.0,True,4.0,3.92,selected,average_proxy
,2019-03-11,Indian Wells Masters,R32,Hard,Gilles Simon,Dominic Thiem,player1,0.441125461038212,0.3181818181818181,3.0,2.97,0.010101010101009944,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-12,Indian Wells Masters,R32,Hard,John Isner,Guido Pella,player2,0.8583662356932734,0.7801801801801801,1.22,1.24,-0.016129032258064502,1.0,True,0.21999999999999997,0.2156,selected,average_proxy
,2019-03-12,Indian Wells Masters,R32,Hard,Hubert Hurkacz,Kei Nishikori,player1,0.357941780566305,0.2982456140350877,3.2,3.38,-0.053254437869822424,1.0,True,2.2,2.156,selected,average_proxy
,2019-03-13,Indian Wells Masters,R16,Hard,John Isner,Karen Khachanov,player1,0.6994637459300199,0.588235294117647,1.61,1.64,-0.018292682926829174,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-13,Indian Wells Masters,R16,Hard,Kyle Edmund,Roger Federer,player1,0.3454906144828118,0.2105263157894736,4.5,4.52,-0.004424778761061843,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-14,Indian Wells Masters,R16,Hard,Ivo Karlovic,Dominic Thiem,player1,0.4021360451256207,0.2708333333333333,3.5,3.43,0.020408163265306145,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-16,Indian Wells Masters,SF,Hard,Dominic Thiem,Milos Raonic,player1,0.4376037219198967,0.398477157360406,2.37,2.37,0.0,1.0,True,1.37,1.3426,selected,average_proxy
,2019-03-17,Indian Wells Masters,F,Hard,Dominic Thiem,Roger Federer,player1,0.2673936652047067,0.238095238095238,4.0,3.98,0.005025125628140614,1.0,True,3.0,2.94,selected,average_proxy
,2019-03-22,Miami Masters,R64,Hard,Kei Nishikori,Dusan Lajovic,player1,0.8891150459083326,0.7922535211267606,1.18,1.16,0.01724137931034475,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-22,Miami Masters,R64,Hard,Mischa Zverev,Nikoloz Basilashvili,player1,0.3144956950993925,0.25,3.75,3.7,0.013513513513513375,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-22,Miami Masters,R64,Hard,Hubert Hurkacz,Dominic Thiem,player1,0.405774556015049,0.3119266055045871,3.0,3.18,-0.05660377358490576,1.0,True,2.0,1.96,selected,average_proxy
,2019-03-22,Miami Masters,R64,Hard,Ilya Ivashka,Kyle Edmund,player1,0.2311652623409256,0.2077464788732394,4.5,4.6,-0.021739130434782483,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-23,Miami Masters,R64,Hard,Mackenzie Mcdonald,Stefanos Tsitsipas,player1,0.3852654625235582,0.25,3.75,3.84,-0.0234375,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-24,Miami Masters,R64,Hard,David Ferrer,Alexander Zverev,player2,0.2976327022911728,0.2337164750957854,4.0,4.05,-0.012345679012345623,1.0,True,3.0,2.94,selected,average_proxy
,2019-03-25,Miami Masters,R32,Hard,Kevin Anderson,Joao Sousa,player2,0.6923244947344314,0.6203473945409429,1.53,1.52,0.006578947368421018,1.0,True,0.53,0.5194000000000001,selected,average_proxy
,2019-03-26,Miami Masters,R32,Hard,Leonardo Mayer,Stefanos Tsitsipas,player1,0.3633479864152513,0.238095238095238,4.0,3.84,0.04166666666666674,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-26,Miami Masters,R16,Hard,Kevin Anderson,Jordan Thompson,player1,0.8053040158369336,0.6818181818181818,1.4,1.42,-0.014084507042253502,1.0,True,0.3999999999999999,0.3919999999999999,selected,average_proxy
,2019-03-26,Miami Masters,R16,Hard,John Isner,Kyle Edmund,player2,0.6770387579276788,0.5,1.9,1.85,0.027027027027026973,1.0,True,0.8999999999999999,0.8819999999999999,selected,average_proxy
,2019-03-26,Miami Masters,R16,Hard,Novak Djokovic,Roberto Bautista Agut,player1,0.8611461663447785,0.7894736842105263,1.2,1.19,0.008403361344537785,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-27,Miami Masters,R16,Hard,Denis Shapovalov,Stefanos Tsitsipas,player1,0.544354466611205,0.4300518134715025,2.2,2.2,0.0,1.0,True,1.2000000000000002,1.1760000000000002,selected,average_proxy
,2019-03-27,Miami Masters,R16,Hard,Daniil Medvedev,Roger Federer,player1,0.3838752477991174,0.2708333333333333,3.5,3.52,-0.005681818181818232,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-29,Miami Masters,QF,Hard,Kevin Anderson,Roger Federer,player1,0.3292229235457252,0.1883116883116883,5.0,4.86,0.028806584362139898,1.0,False,-1.0,-1.0,selected,average_proxy
,2019-03-29,Miami Masters,SF,Hard,Roger Federer,Denis Shapovalov,player1,0.9400480654224102,0.7894736842105263,1.2,1.2,0.0,1.0,True,0.19999999999999996,0.19599999999999995,selected,average_proxy
