player_name,player_name_resolved
Tallon Griekspoor,Tallon Griekspoor
Taylor Fritz,Taylor Fritz
Terence Atmane,Terence Atmane
Titouan Droguet,Titouan Droguet
Tomas Barrios Vera,Tomas Barrios Vera
Tomas Machac,Tomas Machac
Tomas Martin Etcheverry,Tomas Martin Etcheverry
Tommy Paul,Tommy Paul
Ugo Blanchet,Ugo Blanchet
Ugo Carabelli,Ugo Carabelli
Ugo Humbert,Ugo Humbert
Valentin Royer,Valentin Royer
Van De Zandschulp,Van De Zandschulp
Vit Kopriva,Vit Kopriva
Vitaliy Sachko,Vitaliy Sachko
Yannick Hanfmann,Yannick Hanfmann
Yasutaka Uchiyama,Yasutaka Uchiyama
Yoshihito Nishioka,Yoshihito Nishioka
Zachary Svajda,Zachary Svajda
Zizou Bergs,Zizou Bergs
Zsombor Piros,Zsombor Piros
