bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,segment,value
305,120,0.39344262295081966,305.0,-24.529999999999998,-0.08042622950819671,-27.73940000000001,-0.09094885245901643,-49.73000000000002,4.188688524590164,0.4834467703047438,0.09362134297462193,-0.001669407159728626,0.42950819672131146,0.0,year,2019
122,53,0.4344262295081967,122.0,9.1,0.07459016393442623,7.5379999999999985,0.061786885245901625,-16.259999999999998,4.617295081967214,0.4464305656014081,0.0787668792554546,-3.1374500335762304e-05,0.4344262295081967,0.0,year,2020
305,118,0.38688524590163936,305.0,1.000000000000007,0.0032786885245901874,-2.7600000000000087,-0.00904918032786888,-39.44,4.492819672131147,0.4519813950872738,0.07344967266632257,0.18509707376110848,0.4852459016393443,0.0,year,2021
232,102,0.4396551724137931,232.0,-5.130000000000003,-0.02211206896551725,-7.627399999999998,-0.032876724137931024,-33.47,3.7672413793103448,0.480452589659517,0.07257325189706662,0.01142761756169567,0.521551724137931,0.0,year,2022
292,147,0.5034246575342466,292.0,17.869999999999997,0.061198630136986294,14.612600000000006,0.05004315068493153,-22.610000000000003,3.459657534246575,0.5401819430306447,0.0799996805001876,0.018608028153627373,0.523972602739726,0.0,year,2023
312,117,0.375,312.0,-56.04,-0.17961538461538462,-58.819199999999995,-0.1885230769230769,-56.110000000000014,3.8223717948717946,0.4617171064435388,0.07002205090330385,0.018987439913437144,0.5769230769230769,0.0,year,2024
261,104,0.39846743295019155,261.0,6.510000000000002,0.02494252873563219,3.2398000000000007,0.012413026819923375,-28.09000000000002,4.522911877394636,0.4378275115358998,0.062044992728557256,0.023317741889663183,0.5823754789272031,0.0,year,2025
120,44,0.36666666666666664,120.0,-26.529999999999994,-0.22108333333333327,-27.519399999999997,-0.2293283333333333,-28.880000000000003,4.122000000000001,0.4373262941522365,0.0542921703543005,0.04727514320708594,0.6833333333333333,0.0,year,2026
377,117,0.3103448275862069,377.0,-57.0,-0.15119363395225463,-61.06,-0.1619628647214854,-59.76000000000001,3.8320954907161804,0.3538784155782309,0.040012401414855514,0.018430408017618707,0.636604774535809,0.0,model_type,other
1572,688,0.43765903307888043,1572.0,-20.750000000000004,-0.013199745547073793,-38.01499999999999,-0.024182569974554702,-90.56000000000012,4.146558524173027,0.5002315254201162,0.08284613758201496,0.04755796906358462,0.4961832061068702,0.0,model_type,top_10
533,219,0.41088180112570355,533.0,-26.800000000000004,-0.050281425891181994,-32.544,-0.06105816135084427,-51.86,3.93046904315197,0.4849868717292739,0.07261910409729842,0.06285796104496859,0.5084427767354597,0.0,surface,Clay
223,92,0.4125560538116592,223.0,-1.2499999999999973,-0.005605381165919271,-3.845000000000004,-0.017242152466367733,-21.15,4.665156950672645,0.44241473321265934,0.07900213377131204,0.011816004950352307,0.5022421524663677,0.0,surface,Grass
1193,494,0.41408214585079633,1193.0,-49.69999999999999,-0.041659681475272416,-62.68599999999999,-0.05254484492875104,-84.76,4.0467896060352055,0.4716006978166719,0.07459794241195761,0.038198766848030564,0.5339480301760269,0.0,surface,Hard
40,14,0.35,40.0,-10.940000000000001,-0.2735,-11.241200000000001,-0.28103,-13.940000000000001,3.06325,0.5251693524262492,0.09629207058738505,0.006180403902977812,0.55,0.0,tournament_importance,1
803,356,0.44333748443337484,803.0,-29.94,-0.03728518057285181,-38.281199999999984,-0.047672727272727256,-37.63000000000002,3.3256413449564133,0.49082365610724155,0.07531579111171359,0.013052993676814154,0.5566625155666252,0.0,tournament_importance,3
635,275,0.4330708661417323,635.0,15.469999999999992,0.024362204724409437,7.9605999999999915,0.012536377952755893,-23.65,3.4059055118110235,0.4835053590496197,0.07484553844260529,0.00590318783174438,0.5133858267716536,0.0,tournament_importance,4
471,160,0.33970276008492567,471.0,-52.34,-0.11112526539278132,-57.513200000000005,-0.12210870488322718,-93.15,6.384968152866241,0.41955848765550374,0.07104378686851864,0.14274330539031574,0.47770700636942676,0.0,tournament_importance,5
