test_year,prior_bets,scored_bets,average_edge_trust_probability,min_prior_year,max_prior_year
2020,305,122,0.6627098996550208,2019,2019
2021,427,305,0.6980006731395052,2019,2020
2022,732,232,0.7720370447899824,2019,2021
2023,964,292,0.8148382001913761,2019,2022
2024,1256,312,0.7972979148863772,2019,2023
2025,1568,261,0.775084171097026,2019,2024
2026,1829,120,0.8584117894536831,2019,2025
