tourney_date,match_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,closing_odds,execution_odds_source,closing_odds_source,friction_bps,friction_adjusted_odds,clv,market_probability,market_overround,edge,ev,friction_adjusted_ev,fractional_kelly_25,edge_trust_probability,accepted_by_strategy,won,stake,profit,friction_adjusted_profit
2018-12-31,2019-01-01,Doha,R32,Hard,3,Pierre Hugues Herbert,Dominic Thiem,player2,top_10,0.3839362145109013,3.75,3.77,B365W/B365L,AvgW/AvgL,200.0,3.695,-0.0053050397877983935,0.25,1.0666666666666667,0.13393621451090132,0.43976080441587984,0.41864431261778035,0.03997825494689817,,True,True,1.0,2.75,2.695
2018-12-31,2019-01-01,Doha,R32,Hard,3,Damir Dzumhur,Novak Djokovic,player2,top_10,0.11855970294634466,11.0,12.85,B365W/B365L,AvgW/AvgL,200.0,10.8,-0.14396887159533067,0.08713692946058092,1.0432900432900432,0.031422773485763736,0.30415673240979124,0.2804447918205223,0.007603918310244781,,True,False,1.0,-1.0,-1.0
2018-12-31,2019-01-02,Pune,R16,Hard,3,Kevin Anderson,Laslo Djere,player2,top_10,0.8745819915878583,1.25,1.32,B365W/B365L,AvgW/AvgL,200.0,1.245,-0.053030303030303094,0.75,1.0666666666666667,0.12458199158785832,0.0932274894848229,0.08885457952688369,0.0932274894848229,,True,True,1.0,0.25,0.2450000000000001
2018-12-31,2019-01-02,Brisbane,R16,Hard,3,Denis Kudla,Kei Nishikori,player2,top_10,0.2670259796682126,5.0,5.17,B365W/B365L,AvgW/AvgL,200.0,4.92,-0.03288201160541582,0.1883116883116883,1.0620689655172415,0.07871429135652433,0.3351298983410631,0.31376781996760617,0.020945618646316444,,True,False,1.0,-1.0,-1.0
2018-12-31,2019-01-03,Brisbane,QF,Hard,3,Grigor Dimitrov,Kei Nishikori,player2,top_10,0.5007591873557637,2.3,2.26,B365W/B365L,AvgW/AvgL,200.0,2.274,0.017699115044247815,0.411764705882353,1.0559006211180124,0.08899448147341077,0.1517461309182565,0.13872639204700676,0.02918194825351087,,True,False,1.0,-1.0,-1.0
2018-12-31,2019-01-04,Doha,SF,Hard,3,Roberto Bautista Agut,Novak Djokovic,player2,top_10,0.2144838288822134,5.0,4.95,B365W/B365L,AvgW/AvgL,200.0,4.92,0.010101010101010166,0.1883116883116883,1.0620689655172415,0.02617214057052511,0.072419144411067,0.05526043810048997,0.004526196525691688,,True,True,1.0,4.0,3.92
2018-12-31,2019-01-06,Brisbane,F,Hard,3,Daniil Medvedev,Kei Nishikori,player2,top_10,0.48425180468248663,2.37,2.36,B365W/B365L,AvgW/AvgL,200.0,2.3426,0.004237288135593209,0.398477157360406,1.058883603429278,0.08577464732208062,0.14767677709749338,0.13440827764919316,0.026948316988593683,,True,False,1.0,-1.0,-1.0
2019-01-07,2019-01-08,Auckland,R16,Hard,3,Taylor Fritz,John Isner,player1,top_10,0.4385733378180537,2.37,2.4,B365W/B365L,AvgW/AvgL,200.0,2.3426,-0.012499999999999956,0.39230769230769225,1.0755356995118723,0.04626564551036144,0.03941881062878727,0.027401901172572574,0.007193213618391837,,True,True,1.0,1.37,1.3426
2019-01-14,2019-01-14,Australian Open,R128,Hard,5,Peter Gojowczyk,Karen Khachanov,player1,other,0.1636695901770869,6.5,7.07,B365W/B365L,AvgW/AvgL,200.0,6.39,-0.08062234794908063,0.14586070959264127,1.0547470547470548,0.01780888058444563,0.06385233615106489,0.04584868123158525,0.002902378915957495,,True,False,1.0,-1.0,-1.0
2019-01-14,2019-01-14,Australian Open,R128,Hard,5,John Isner,Reilly Opelka,player1,top_10,0.8483397340956729,1.5,1.46,B365W/B365L,AvgW/AvgL,200.0,1.49,0.027397260273972712,0.6359223300970874,1.0483460559796436,0.21241740399858544,0.2725096011435093,0.2640262038025526,0.13625480057175465,,True,False,1.0,-1.0,-1.0
