bets,wins,win_rate,staked,profit,roi,friction_adjusted_profit,friction_adjusted_roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,average_fractional_kelly,segment,value
305,120,0.39344262295081966,305.0,-24.529999999999998,-0.08042622950819671,-27.73940000000001,-0.09094885245901643,-49.73000000000002,4.188688524590164,0.4834467703047438,0.09362134297462198,-0.0016694071597286324,0.42950819672131146,0.04358378801073659,year,2019
122,53,0.4344262295081967,122.0,9.1,0.07459016393442623,7.5379999999999985,0.061786885245901625,-16.259999999999998,4.617295081967214,0.44643056560140815,0.07876687925545464,-3.137450033577304e-05,0.4344262295081967,0.03647799087283938,year,2020
305,118,0.38688524590163936,305.0,1.000000000000007,0.0032786885245901874,-2.7600000000000087,-0.00904918032786888,-39.44,4.492819672131147,0.4519813950872738,0.0734496726663226,0.1850970737611085,0.4852459016393443,0.036100639130019645,year,2021
232,102,0.4396551724137931,232.0,-5.129999999999994,-0.022112068965517213,-7.627399999999998,-0.032876724137931024,-33.47,3.7672413793103448,0.480452589659517,0.07257325189706666,0.01142761756169568,0.521551724137931,0.03588611237556923,year,2022
292,147,0.5034246575342466,292.0,17.87,0.06119863013698631,14.612600000000006,0.05004315068493153,-22.610000000000003,3.459657534246575,0.5401819430306447,0.07999968050018763,0.018608028153627377,0.523972602739726,0.04533914846654375,year,2023
312,117,0.375,312.0,-56.04,-0.17961538461538462,-58.819199999999995,-0.1885230769230769,-56.11000000000001,3.8223717948717946,0.4617171064435389,0.07002205090330389,0.018987439913437154,0.5769230769230769,0.03066411041969828,year,2024
261,104,0.39846743295019155,261.0,6.510000000000002,0.02494252873563219,3.2398000000000007,0.012413026819923375,-28.090000000000018,4.522911877394636,0.4378275115358998,0.0620449927285573,0.02331774188966319,0.5823754789272031,0.027730587233254222,year,2025
120,44,0.36666666666666664,120.0,-26.529999999999994,-0.22108333333333327,-27.519399999999997,-0.2293283333333333,-28.88,4.122000000000001,0.4373262941522365,0.054292170354300555,0.04727514320708595,0.6833333333333333,0.023602900894660713,year,2026
377,117,0.3103448275862069,377.0,-57.0,-0.15119363395225463,-61.06,-0.1619628647214854,-59.76000000000001,3.8320954907161804,0.35387841557823096,0.04001240141485556,0.01843040801761872,0.636604774535809,0.0105095178567649,model_type,other
1572,688,0.43765903307888043,1572.0,-20.75,-0.013199745547073791,-38.01499999999999,-0.024182569974554702,-90.56000000000009,4.146558524173027,0.5002315254201162,0.082846137582015,0.04755796906358462,0.4961832061068702,0.041980801642470755,model_type,top_10
533,219,0.41088180112570355,533.0,-26.800000000000004,-0.050281425891181994,-32.544,-0.06105816135084427,-51.85999999999999,3.93046904315197,0.4849868717292739,0.07261910409729846,0.06285796104496859,0.5084427767354597,0.03754059090474515,surface,Clay
223,92,0.4125560538116592,223.0,-1.2499999999999956,-0.005605381165919262,-3.845000000000004,-0.017242152466367733,-21.149999999999995,4.665156950672645,0.44241473321265934,0.07900213377131209,0.01181600495035231,0.5022421524663677,0.03601634237991807,surface,Grass
1193,494,0.41408214585079633,1193.0,-49.69999999999999,-0.041659681475272416,-62.68599999999999,-0.05254484492875104,-84.75999999999999,4.0467896060352055,0.471600697816672,0.07459794241195764,0.03819876684803057,0.5339480301760269,0.035134223898586336,surface,Hard
40,14,0.35,40.0,-10.940000000000001,-0.2735,-11.241200000000001,-0.28103,-13.940000000000001,3.06325,0.5251693524262493,0.09629207058738506,0.00618040390297781,0.55,0.03888351551995036,tournament_importance,1
803,356,0.44333748443337484,803.0,-29.939999999999998,-0.0372851805728518,-38.281199999999984,-0.047672727272727256,-37.62999999999999,3.3256413449564133,0.49082365610724155,0.07531579111171363,0.013052993676814164,0.5566625155666252,0.03656121269870385,tournament_importance,3
635,275,0.4330708661417323,635.0,15.469999999999994,0.024362204724409437,7.9605999999999915,0.012536377952755893,-23.65,3.4059055118110235,0.4835053590496197,0.07484553844260533,0.005903187831744384,0.5133858267716536,0.034015477898043905,tournament_importance,4
471,160,0.33970276008492567,471.0,-52.33999999999999,-0.1111252653927813,-57.513200000000005,-0.12210870488322718,-93.15,6.384968152866241,0.41955848765550374,0.07104378686851871,0.1427433053903157,0.47770700636942676,0.037032028727917846,tournament_importance,5
