bets,wins,win_rate,staked,profit,roi,max_drawdown,average_odds,average_model_probability,average_edge,segment,value
886,556,0.6275395033860045,886.0,95.06,0.10729119638826186,-15.289999999999992,2.0161512415349887,0.6739214208853044,0.12150978774615268,model_type,top_10
217,135,0.6221198156682027,217.0,10.5,0.04838709677419355,-10.989999999999998,1.8458525345622119,0.7039498542674604,0.12256793062806007,surface,Clay
84,46,0.5476190476190477,84.0,17.279999999999998,0.20571428571428568,-12.190000000000001,2.685714285714285,0.5594367939118255,0.11924770064430155,surface,Grass
585,375,0.6410256410256411,585.0,67.28,0.11500854700854701,-18.15999999999999,1.9831794871794872,0.6792214869055513,0.12144209255159127,surface,Hard
36,16,0.4444444444444444,36.0,-0.6699999999999995,-0.018611111111111096,-7.93,2.180833333333333,0.6296254657090199,0.14478207899245574,tournament_importance,1
340,195,0.5735294117647058,340.0,4.110000000000001,0.012088235294117651,-25.67,2.0812352941176466,0.6619942760880456,0.11967782437053923,tournament_importance,3
341,226,0.6627565982404692,341.0,56.739999999999995,0.16639296187683283,-10.190000000000019,1.946392961876833,0.6841169920340486,0.12102709164396531,tournament_importance,4
169,119,0.7041420118343196,169.0,34.879999999999995,0.20639053254437867,-12.889999999999999,1.990887573964497,0.6867805561260885,0.12121194415850509,tournament_importance,5
