tourney_name,surface,round,match_date,year,winner_name,loser_name,score,player_won,player_rank,opponent_rank,source_player,source_url,ta_more,ta_dr,ta_ace_pct,ta_df_pct,ta_1stin_pct,ta_1stwon_pct,ta_2ndwon_pct,ta_bpsvd_num,ta_bpsvd_den,ta_bpsvd_pct,minutes,winner_name_norm,loser_name_norm,score_norm,match_key,w_ta_dr,w_ta_ace_pct,w_ta_df_pct,w_ta_1stin_pct,w_ta_1stwon_pct,w_ta_2ndwon_pct,w_ta_bpsvd_num,w_ta_bpsvd_den,w_ta_bpsvd_pct,l_ta_dr,l_ta_ace_pct,l_ta_df_pct,l_ta_1stin_pct,l_ta_1stwon_pct,l_ta_2ndwon_pct,l_ta_bpsvd_num,l_ta_bpsvd_den,l_ta_bpsvd_pct,winner_stats,loser_stats,winner_rank,loser_rank,dr,time,source,ta_stats_source,source_profile_players
US Open,Hard,Q1,2025-08-25,2025.0,Billy Harris,James Trotter,3-6 6-1 6-2,True,151.0,187.0,Billy Harris,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=BillyHarris,,1.44,0.015,0.015,0.5670000000000001,0.6579999999999999,0.759,2.0,4.0,0.5,105.0,BILLY HARRIS,JAMES TROTTER,3-6 6-1 6-2,2025|2025-08-25|US Open|Q1|BILLY HARRIS|JAMES TROTTER|3-6 6-1 6-2,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,,Coleman Wong,Chris Rodesch,6-4 6-2,,,,,,,,,,,,,,,,,,,,,2.4,0.111,0.0,0.644,0.828,0.813,0.0,0.0,,0.42,0.066,0.049,0.721,0.659,0.353,0.0,0.0,,"{'ace_pct': 0.111, 'df_pct': 0.0, 'first_in_pct': 0.644, 'first_won_pct': 0.828, 'second_won_pct': 0.813, 'bpsvd_num': 0, 'bpsvd_den': 0}","{'ace_pct': 0.066, 'df_pct': 0.049, 'first_in_pct': 0.721, 'first_won_pct': 0.659, 'second_won_pct': 0.353, 'bpsvd_num': 0, 'bpsvd_den': 0}",173.0,162.0,2.4,65.0,player_profile_classic,player_profile_classic,"['Chris Rodesch', 'Coleman Wong']"
US Open,Hard,Q1,2025-08-25,2025.0,Cristian Garin,Yosuke Watanuki,6-4 6-4,True,126.0,148.0,Cristian Garin,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=CristianGarin,,1.19,0.0,0.0,0.6940000000000001,0.6509999999999999,0.526,3.0,5.0,0.6,88.0,CRISTIAN GARIN,YOSUKE WATANUKI,6-4 6-4,2025|2025-08-25|US Open|Q1|CRISTIAN GARIN|YOSUKE WATANUKI|6-4 6-4,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,2025.0,Daniel Elahi Galan,Den Ouden,6-1 7-5,False,161.0,131.0,Guy Den Ouden,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=GuyDenOuden,,0.73,0.045,0.106,0.47,0.645,0.4,1.0,6.0,0.16666666666666666,86.0,DANIEL ELAHI GALAN,DEN OUDEN,6-1 7-5,2025|2025-08-25|US Open|Q1|DANIEL ELAHI GALAN|DEN OUDEN|6-1 7-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,2025.0,Daniel Elahi Galan,Guy Den Ouden,6-1 7-5,True,131.0,161.0,Daniel Elahi Galan,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=DanielElahiGalan,,1.37,0.113,0.032,0.581,0.6940000000000001,0.5770000000000001,3.0,4.0,0.75,86.0,DANIEL ELAHI GALAN,GUY DEN OUDEN,6-1 7-5,2025|2025-08-25|US Open|Q1|DANIEL ELAHI GALAN|GUY DEN OUDEN|6-1 7-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,2025.0,Daniel Merida Aguilar,Dalibor Svrcina,1-6 6-3 7-5,False,97.0,170.0,Dalibor Svrcina,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=DaliborSvrcina,,1.0,0.0,0.066,0.604,0.5820000000000001,0.444,10.0,16.0,0.625,119.0,DANIEL MERIDA AGUILAR,DALIBOR SVRCINA,1-6 6-3 7-5,2025|2025-08-25|US Open|Q1|DANIEL MERIDA AGUILAR|DALIBOR SVRCINA|1-6 6-3 7-5,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,2025.0,De Jong,Vilius Gaubas,6-3 6-4,True,83.0,160.0,Jesper De Jong,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JesperDeJong,,1.37,0.054000000000000006,0.107,0.5539999999999999,0.774,0.52,2.0,3.0,0.6666666666666666,104.0,DE JONG,VILIUS GAUBAS,6-3 6-4,2025|2025-08-25|US Open|Q1|DE JONG|VILIUS GAUBAS|6-3 6-4,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,,Dino Prizmic,Alexis Galarneau,7-6(7) 6-1,,,,,,,,,,,,,,,,,,,,,1.31,0.032,0.063,0.5870000000000001,0.6759999999999999,0.5770000000000001,5.0,7.0,0.7142857142857143,0.76,0.027999999999999997,0.027999999999999997,0.563,0.575,0.452,4.0,9.0,0.4444444444444444,"{'ace_pct': 0.032, 'df_pct': 0.063, 'first_in_pct': 0.5870000000000001, 'first_won_pct': 0.6759999999999999, 'second_won_pct': 0.5770000000000001, 'bpsvd_pct': 0.7142857142857143, 'bpsvd_num': 5, 'bpsvd_den': 7}","{'ace_pct': 0.027999999999999997, 'df_pct': 0.027999999999999997, 'first_in_pct': 0.563, 'first_won_pct': 0.575, 'second_won_pct': 0.452, 'bpsvd_pct': 0.4444444444444444, 'bpsvd_num': 4, 'bpsvd_den': 9}",124.0,177.0,1.31,102.0,player_profile_classic,player_profile_classic,"['Alexis Galarneau', 'Dino Prizmic']"
US Open,Hard,Q1,2025-08-25,2025.0,Dmitry Popko,Seyboth Wild,7-6(4) 6-3,False,143.0,237.0,Thiago Seyboth Wild,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=ThiagoSeybothWild,,0.87,0.094,0.016,0.625,0.8,0.45799999999999996,3.0,5.0,0.6,99.0,DMITRY POPKO,SEYBOTH WILD,7-6(4) 6-3,2025|2025-08-25|US Open|Q1|DMITRY POPKO|SEYBOTH WILD|7-6(4) 6-3,,,,,,,,,,,,,,,,,,,,,,,,,,,
US Open,Hard,Q1,2025-08-25,2025.0,Dmitry Popko,Thiago Seyboth Wild,7-6(4) 6-3,True,237.0,143.0,Dmitry Popko,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=DmitryPopko,,1.15,0.114,0.028999999999999998,0.529,0.892,0.515,1.0,2.0,0.5,99.0,DMITRY POPKO,THIAGO SEYBOTH WILD,7-6(4) 6-3,2025|2025-08-25|US Open|Q1|DMITRY POPKO|THIAGO SEYBOTH WILD|7-6(4) 6-3,,,,,,,,,,,,,,,,,,,,,,,,,,,
