match_date,tourney_name,surface,round,winner_name,loser_name,score,w_ta_dr,w_ta_ace_pct,w_ta_df_pct,w_ta_1stin_pct,w_ta_1stwon_pct,w_ta_2ndwon_pct,w_ta_bpsvd_num,w_ta_bpsvd_den,w_ta_bpsvd_pct,l_ta_dr,l_ta_ace_pct,l_ta_df_pct,l_ta_1stin_pct,l_ta_1stwon_pct,l_ta_2ndwon_pct,l_ta_bpsvd_num,l_ta_bpsvd_den,l_ta_bpsvd_pct,winner_stats,loser_stats,winner_rank,loser_rank,dr,time,source,ta_stats_source,source_profile_players,year,player_won,player_rank,opponent_rank,source_player,source_url,ta_more,ta_dr,ta_ace_pct,ta_df_pct,ta_1stin_pct,ta_1stwon_pct,ta_2ndwon_pct,ta_bpsvd_num,ta_bpsvd_den,ta_bpsvd_pct,minutes,winner_name_norm,loser_name_norm,score_norm,match_key
2025-05-26,Roland Garros,Clay,R128,Jaume Munar,Camilo Ugo Carabelli,6-4 6-1 7-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,True,57.0,51.0,Jaume Munar,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JaumeMunar,,1.52,0.034,0.045,0.557,0.816,0.5379999999999999,3.0,4.0,0.75,,JAUME MUNAR,CAMILO UGO CARABELLI,6-4 6-1 7-5,2025|2025-05-26|Roland Garros|R128|JAUME MUNAR|CAMILO UGO CARABELLI|6-4 6-1 7-5
2025-05-26,Roland Garros,Clay,R128,Jaume Munar,Ugo Carabelli,6-4 6-1 7-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,False,51.0,57.0,Camilo Ugo Carabelli,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=CamiloUgoCarabelli,,0.66,0.027999999999999997,0.047,0.523,0.5710000000000001,0.49,8.0,14.0,0.5714285714285714,,JAUME MUNAR,UGO CARABELLI,6-4 6-1 7-5,2025|2025-05-26|Roland Garros|R128|JAUME MUNAR|UGO CARABELLI|6-4 6-1 7-5
2025-05-26,Roland Garros,Clay,R128,Jenson Brooksby,Jaime Faria,6-1 3-6 6-3 6-2,1.28,0.01,0.028999999999999998,0.638,0.701,0.684,8.0,9.0,0.8888888888888888,0.78,0.032,0.032,0.6629999999999999,0.6829999999999999,0.469,4.0,9.0,0.4444444444444444,"{'ace_pct': 0.01, 'df_pct': 0.028999999999999998, 'first_in_pct': 0.638, 'first_won_pct': 0.701, 'second_won_pct': 0.684, 'bpsvd_pct': 0.8888888888888888, 'bpsvd_num': 8, 'bpsvd_den': 9}","{'ace_pct': 0.032, 'df_pct': 0.032, 'first_in_pct': 0.6629999999999999, 'first_won_pct': 0.6829999999999999, 'second_won_pct': 0.469, 'bpsvd_pct': 0.4444444444444444, 'bpsvd_num': 4, 'bpsvd_den': 9}",161.0,115.0,1.28,,player_profile_classic,player_profile_classic,"['Jaime Faria', 'Jenson Brooksby']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,R128,Jesper De Jong,Francesco Passaro,3-6 6-7(7) 6-4 7-6(1) 6-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,False,139.0,88.0,Francesco Passaro,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=FrancescoPassaro,,0.73,0.017,0.034,0.691,0.659,0.436,11.0,17.0,0.6470588235294118,,JESPER DE JONG,FRANCESCO PASSARO,3-6 6-7(7) 6-4 7-6(1) 6-1,2025|2025-05-26|Roland Garros|R128|JESPER DE JONG|FRANCESCO PASSARO|3-6 6-7(7) 6-4 7-6(1) 6-1
2025-05-26,Roland Garros,Clay,R128,Jiri Lehecka,Jordan Thompson,6-4 6-2 6-1,1.46,0.10300000000000001,0.038,0.628,0.7759999999999999,0.483,3.0,5.0,0.6,0.68,0.038,0.013000000000000001,0.5379999999999999,0.5479999999999999,0.47200000000000003,10.0,17.0,0.5882352941176471,"{'ace_pct': 0.10300000000000001, 'df_pct': 0.038, 'first_in_pct': 0.628, 'first_won_pct': 0.7759999999999999, 'second_won_pct': 0.483, 'bpsvd_pct': 0.6, 'bpsvd_num': 3, 'bpsvd_den': 5}","{'ace_pct': 0.038, 'df_pct': 0.013000000000000001, 'first_in_pct': 0.5379999999999999, 'first_won_pct': 0.5479999999999999, 'second_won_pct': 0.47200000000000003, 'bpsvd_pct': 0.5882352941176471, 'bpsvd_num': 10, 'bpsvd_den': 17}",34.0,40.0,1.46,,player_profile_classic,player_profile_classic,"['Jiri Lehecka', 'Jordan Thompson']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,R128,Joao Fonseca,Hubert Hurkacz,6-2 6-4 6-2,1.9,0.127,0.0,0.718,0.784,0.7,2.0,2.0,1.0,0.53,0.076,0.0,0.6459999999999999,0.667,0.321,7.0,12.0,0.5833333333333334,"{'ace_pct': 0.127, 'df_pct': 0.0, 'first_in_pct': 0.718, 'first_won_pct': 0.784, 'second_won_pct': 0.7, 'bpsvd_pct': 1.0, 'bpsvd_num': 2, 'bpsvd_den': 2}","{'ace_pct': 0.076, 'df_pct': 0.0, 'first_in_pct': 0.6459999999999999, 'first_won_pct': 0.667, 'second_won_pct': 0.321, 'bpsvd_pct': 0.5833333333333334, 'bpsvd_num': 7, 'bpsvd_den': 12}",65.0,28.0,1.9,,player_profile_classic,player_profile_classic,"['Hubert Hurkacz', 'Joao Fonseca']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,R128,Juan Manuel Cerundolo,Alex Michelsen,6-3 6-2 6-4,1.6,0.013000000000000001,0.038,0.44299999999999995,0.8290000000000001,0.568,1.0,3.0,0.3333333333333333,0.63,0.022000000000000002,0.034,0.742,0.5760000000000001,0.261,8.0,14.0,0.5714285714285714,"{'ace_pct': 0.013000000000000001, 'df_pct': 0.038, 'first_in_pct': 0.44299999999999995, 'first_won_pct': 0.8290000000000001, 'second_won_pct': 0.568, 'bpsvd_pct': 0.3333333333333333, 'bpsvd_num': 1, 'bpsvd_den': 3}","{'ace_pct': 0.022000000000000002, 'df_pct': 0.034, 'first_in_pct': 0.742, 'first_won_pct': 0.5760000000000001, 'second_won_pct': 0.261, 'bpsvd_pct': 0.5714285714285714, 'bpsvd_num': 8, 'bpsvd_den': 14}",109.0,33.0,1.6,,player_profile_classic,player_profile_classic,"['Alex Michelsen', 'Juan Manuel Cerundolo']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,R128,Karen Khachanov,Aleksandar Vukic,6-4 6-4 6-4,1.34,0.10300000000000001,0.011000000000000001,0.621,0.778,0.515,2.0,4.0,0.5,0.75,0.02,0.028999999999999998,0.51,0.731,0.4,7.0,12.0,0.5833333333333334,"{'ace_pct': 0.10300000000000001, 'df_pct': 0.011000000000000001, 'first_in_pct': 0.621, 'first_won_pct': 0.778, 'second_won_pct': 0.515, 'bpsvd_pct': 0.5, 'bpsvd_num': 2, 'bpsvd_den': 4}","{'ace_pct': 0.02, 'df_pct': 0.028999999999999998, 'first_in_pct': 0.51, 'first_won_pct': 0.731, 'second_won_pct': 0.4, 'bpsvd_pct': 0.5833333333333334, 'bpsvd_num': 7, 'bpsvd_den': 12}",24.0,80.0,1.34,,player_profile_classic,player_profile_classic,"['Aleksandar Vukic', 'Karen Khachanov']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,R128,Lorenzo Musetti,Yannick Hanfmann,7-5 6-2 6-0,2.0,0.071,0.013999999999999999,0.657,0.826,0.625,0.0,0.0,,0.5,0.0,0.03,0.626,0.5,0.541,7.0,13.0,0.5384615384615384,"{'ace_pct': 0.071, 'df_pct': 0.013999999999999999, 'first_in_pct': 0.657, 'first_won_pct': 0.826, 'second_won_pct': 0.625, 'bpsvd_num': 0, 'bpsvd_den': 0}","{'ace_pct': 0.0, 'df_pct': 0.03, 'first_in_pct': 0.626, 'first_won_pct': 0.5, 'second_won_pct': 0.541, 'bpsvd_pct': 0.5384615384615384, 'bpsvd_num': 7, 'bpsvd_den': 13}",7.0,142.0,2.0,,player_profile_classic,player_profile_classic,"['Lorenzo Musetti', 'Yannick Hanfmann']",,,,,,,,,,,,,,,,,,,,,
2025-05-26,Roland Garros,Clay,R128,Mariano Navone,Brandon Nakashima,7-6(2) 4-6 6-1 6-2,1.23,0.036000000000000004,0.013999999999999999,0.6809999999999999,0.6809999999999999,0.409,12.0,18.0,0.6666666666666666,0.81,0.024,0.016,0.581,0.528,0.462,8.0,17.0,0.47058823529411764,"{'ace_pct': 0.036000000000000004, 'df_pct': 0.013999999999999999, 'first_in_pct': 0.6809999999999999, 'first_won_pct': 0.6809999999999999, 'second_won_pct': 0.409, 'bpsvd_pct': 0.6666666666666666, 'bpsvd_num': 12, 'bpsvd_den': 18}","{'ace_pct': 0.024, 'df_pct': 0.016, 'first_in_pct': 0.581, 'first_won_pct': 0.528, 'second_won_pct': 0.462, 'bpsvd_pct': 0.47058823529411764, 'bpsvd_num': 8, 'bpsvd_den': 17}",97.0,32.0,1.23,,player_profile_classic,player_profile_classic,"['Brandon Nakashima', 'Mariano Navone']",,,,,,,,,,,,,,,,,,,,,
