match_date,tourney_name,surface,round,winner_name,loser_name,score,w_ta_dr,w_ta_ace_pct,w_ta_df_pct,w_ta_1stin_pct,w_ta_1stwon_pct,w_ta_2ndwon_pct,w_ta_bpsvd_num,w_ta_bpsvd_den,w_ta_bpsvd_pct,l_ta_dr,l_ta_ace_pct,l_ta_df_pct,l_ta_1stin_pct,l_ta_1stwon_pct,l_ta_2ndwon_pct,l_ta_bpsvd_num,l_ta_bpsvd_den,l_ta_bpsvd_pct,winner_stats,loser_stats,winner_rank,loser_rank,dr,time,source,ta_stats_source,source_profile_players,year,player_won,player_rank,opponent_rank,source_player,source_url,ta_more,ta_dr,ta_ace_pct,ta_df_pct,ta_1stin_pct,ta_1stwon_pct,ta_2ndwon_pct,ta_bpsvd_num,ta_bpsvd_den,ta_bpsvd_pct,minutes,winner_name_norm,loser_name_norm,score_norm,match_key
2025-06-30,Wimbledon,Grass,R128,Pedro Martinez,George Loffhagen,2-6 6-2 6-4 6-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,True,52.0,293.0,Pedro Martinez,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=PedroMartinez,(ch),1.22,0.0,0.04,0.7070000000000001,0.586,0.586,6.0,12.0,0.5,159.0,PEDRO MARTINEZ,GEORGE LOFFHAGEN,2-6 6-2 6-4 6-2,2025|2025-06-30|Wimbledon|R128|PEDRO MARTINEZ|GEORGE LOFFHAGEN|2-6 6-2 6-4 6-2
2025-06-30,Wimbledon,Grass,R128,Pinnington Jones,Tomas Martin Etcheverry,7-6(4) 6-3 7-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,True,281.0,53.0,Jack Pinnington Jones,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=JackPinningtonJones,,1.1,0.102,0.046,0.574,0.823,0.522,7.0,8.0,0.875,156.0,PINNINGTON JONES,TOMAS MARTIN ETCHEVERRY,7-6(4) 6-3 7-5,2025|2025-06-30|Wimbledon|R128|PINNINGTON JONES|TOMAS MARTIN ETCHEVERRY|7-6(4) 6-3 7-5
2025-06-30,Wimbledon,Grass,R128,Reilly Opelka,Alexander Shevchenko,6-3 7-5 7-6(4),1.21,0.179,0.066,0.604,0.7659999999999999,0.595,5.0,7.0,0.7142857142857143,0.83,0.11800000000000001,0.065,0.613,0.825,0.33299999999999996,3.0,7.0,0.42857142857142855,"{'ace_pct': 0.179, 'df_pct': 0.066, 'first_in_pct': 0.604, 'first_won_pct': 0.7659999999999999, 'second_won_pct': 0.595, 'bpsvd_pct': 0.7142857142857143, 'bpsvd_num': 5, 'bpsvd_den': 7}","{'ace_pct': 0.11800000000000001, 'df_pct': 0.065, 'first_in_pct': 0.613, 'first_won_pct': 0.825, 'second_won_pct': 0.33299999999999996, 'bpsvd_pct': 0.42857142857142855, 'bpsvd_num': 3, 'bpsvd_den': 7}",70.0,98.0,1.21,115.0,player_profile_classic,player_profile_classic,"['Alexander Shevchenko', 'Reilly Opelka']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,R128,Rinky Hijikata,David Goffin,6-3 6-1 6-1,2.36,0.092,0.0,0.585,0.816,0.741,2.0,2.0,1.0,0.42,0.048,0.079,0.49200000000000005,0.645,0.344,5.0,11.0,0.45454545454545453,"{'ace_pct': 0.092, 'df_pct': 0.0, 'first_in_pct': 0.585, 'first_won_pct': 0.816, 'second_won_pct': 0.741, 'bpsvd_pct': 1.0, 'bpsvd_num': 2, 'bpsvd_den': 2}","{'ace_pct': 0.048, 'df_pct': 0.079, 'first_in_pct': 0.49200000000000005, 'first_won_pct': 0.645, 'second_won_pct': 0.344, 'bpsvd_pct': 0.45454545454545453, 'bpsvd_num': 5, 'bpsvd_den': 11}",87.0,63.0,2.36,76.0,player_profile_classic,player_profile_classic,"['David Goffin', 'Rinky Hijikata']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,R128,Sebastian Ofner,Hamad Medjedovic,7-6(8) 3-1 RET,1.97,0.18,0.02,0.6,0.9,0.7,1.0,1.0,1.0,0.51,0.10800000000000001,0.015,0.723,0.6809999999999999,0.556,4.0,5.0,0.8,"{'ace_pct': 0.18, 'df_pct': 0.02, 'first_in_pct': 0.6, 'first_won_pct': 0.9, 'second_won_pct': 0.7, 'bpsvd_pct': 1.0, 'bpsvd_num': 1, 'bpsvd_den': 1}","{'ace_pct': 0.10800000000000001, 'df_pct': 0.015, 'first_in_pct': 0.723, 'first_won_pct': 0.6809999999999999, 'second_won_pct': 0.556, 'bpsvd_pct': 0.8, 'bpsvd_num': 4, 'bpsvd_den': 5}",165.0,68.0,1.97,87.0,player_profile_classic,player_profile_classic,"['Hamad Medjedovic', 'Sebastian Ofner']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,R128,Shintaro Mochizuki,Giulio Zeppieri,2-6 3-6 6-3 7-6(6) 7-5,0.88,0.028999999999999998,0.028999999999999998,0.588,0.75,0.514,9.0,14.0,0.6428571428571429,1.13,0.157,0.05,0.564,0.797,0.557,4.0,8.0,0.5,"{'ace_pct': 0.028999999999999998, 'df_pct': 0.028999999999999998, 'first_in_pct': 0.588, 'first_won_pct': 0.75, 'second_won_pct': 0.514, 'bpsvd_pct': 0.6428571428571429, 'bpsvd_num': 9, 'bpsvd_den': 14}","{'ace_pct': 0.157, 'df_pct': 0.05, 'first_in_pct': 0.564, 'first_won_pct': 0.797, 'second_won_pct': 0.557, 'bpsvd_pct': 0.5, 'bpsvd_num': 4, 'bpsvd_den': 8}",144.0,351.0,0.88,194.0,player_profile_classic,player_profile_classic,"['Giulio Zeppieri', 'Shintaro Mochizuki']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,R128,Taylor Fritz,Giovanni Mpetshi Perricard,6-7(6) 6-7(8) 6-4 7-6(6) 6-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025.0,True,5.0,36.0,Taylor Fritz,https://www.tennisabstract.com/cgi-bin/player-classic.cgi?p=TaylorFritz,(ch),1.48,0.18100000000000002,0.013000000000000001,0.675,0.852,0.7120000000000001,0.0,0.0,,205.0,TAYLOR FRITZ,GIOVANNI MPETSHI PERRICARD,6-7(6) 6-7(8) 6-4 7-6(6) 6-4,2025|2025-06-30|Wimbledon|R128|TAYLOR FRITZ|GIOVANNI MPETSHI PERRICARD|6-7(6) 6-7(8) 6-4 7-6(6) 6-4
2025-06-30,Wimbledon,Grass,R128,Tomas Machac,Damir Dzumhur,6-3 6-2 6-4,1.86,0.096,0.013999999999999999,0.685,0.78,0.696,2.0,3.0,0.6666666666666666,0.54,0.012,0.024,0.578,0.604,0.457,3.0,8.0,0.375,"{'ace_pct': 0.096, 'df_pct': 0.013999999999999999, 'first_in_pct': 0.685, 'first_won_pct': 0.78, 'second_won_pct': 0.696, 'bpsvd_pct': 0.6666666666666666, 'bpsvd_num': 2, 'bpsvd_den': 3}","{'ace_pct': 0.012, 'df_pct': 0.024, 'first_in_pct': 0.578, 'first_won_pct': 0.604, 'second_won_pct': 0.457, 'bpsvd_pct': 0.375, 'bpsvd_num': 3, 'bpsvd_den': 8}",23.0,67.0,1.86,100.0,player_profile_classic,player_profile_classic,"['Damir Dzumhur', 'Tomas Machac']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,R128,Tommy Paul,Johannus Monday,6-4 6-4 6-2,1.76,0.125,0.042,0.639,0.87,0.654,2.0,2.0,1.0,0.57,0.085,0.024,0.585,0.7290000000000001,0.5,2.0,6.0,0.3333333333333333,"{'ace_pct': 0.125, 'df_pct': 0.042, 'first_in_pct': 0.639, 'first_won_pct': 0.87, 'second_won_pct': 0.654, 'bpsvd_pct': 1.0, 'bpsvd_num': 2, 'bpsvd_den': 2}","{'ace_pct': 0.085, 'df_pct': 0.024, 'first_in_pct': 0.585, 'first_won_pct': 0.7290000000000001, 'second_won_pct': 0.5, 'bpsvd_pct': 0.3333333333333333, 'bpsvd_num': 2, 'bpsvd_den': 6}",13.0,224.0,1.76,103.0,player_profile_classic,player_profile_classic,"['Johannus Monday', 'Tommy Paul']",,,,,,,,,,,,,,,,,,,,,
2025-06-30,Wimbledon,Grass,R128,Valentin Royer,Stefanos Tsitsipas,6-3 6-2 RET,1.67,0.16,0.02,0.68,0.794,0.625,3.0,3.0,1.0,0.6,0.11699999999999999,0.11699999999999999,0.433,0.615,0.529,1.0,4.0,0.25,"{'ace_pct': 0.16, 'df_pct': 0.02, 'first_in_pct': 0.68, 'first_won_pct': 0.794, 'second_won_pct': 0.625, 'bpsvd_pct': 1.0, 'bpsvd_num': 3, 'bpsvd_den': 3}","{'ace_pct': 0.11699999999999999, 'df_pct': 0.11699999999999999, 'first_in_pct': 0.433, 'first_won_pct': 0.615, 'second_won_pct': 0.529, 'bpsvd_pct': 0.25, 'bpsvd_num': 1, 'bpsvd_den': 4}",113.0,26.0,1.67,77.0,player_profile_classic,player_profile_classic,"['Stefanos Tsitsipas', 'Valentin Royer']",,,,,,,,,,,,,,,,,,,,,
