bets,wins,win_rate,staked,profit,roi,max_drawdown,average_odds,average_model_probability,average_edge,edge_threshold
3799,1788,0.4706501710976573,3799.0,66.69999999999999,0.017557251908396944,-103.93000000000025,3.3550934456435906,0.5206404452364591,0.07426308751521703,0.01
3445,1595,0.4629898403483309,3445.0,70.60000000000001,0.02049346879535559,-96.13000000000022,3.4893439767779393,0.514998328408442,0.07801233762271378,0.02
3108,1414,0.45495495495495497,3108.0,100.58,0.03236164736164736,-77.48000000000033,3.62779601029601,0.5087414453950931,0.08183267444855227,0.03
2567,1110,0.4324113751460849,2567.0,96.75000000000001,0.0376899104012466,-71.36000000000021,3.917514608492403,0.4951870157008266,0.0884974892444954,0.05
2039,838,0.4109857773418342,2039.0,102.15999999999997,0.05010299166257968,-66.31,4.31689063266307,0.47828538598395237,0.0959300447076911,0.075
1649,646,0.3917525773195876,1649.0,110.15,0.06679805942995755,-69.90000000000003,4.752098241358398,0.46202299660552243,0.1022524111409357,0.1
