tourney_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,market_probability,edge,ev,won,stake,profit
2019-02-11,Buenos Aires,QF,Clay,3,Dominic Thiem,Pablo Cuevas,player2,top_10,0.8284213895743872,1.29,0.7372708757637474,0.09115051381063977,0.06866359255095947,True,1.0,0.29000000000000004
2019-02-11,Buenos Aires,R16,Clay,3,Marco Cecchinato,Cristian Garin,player2,other,0.6602621278049458,1.62,0.5877862595419847,0.07247586826296104,0.06962464704401217,True,1.0,0.6200000000000001
2019-02-11,Rotterdam,R32,Hard,3,Thomas Fabbiano,Jo-Wilfried Tsonga,player2,other,0.16848849421664921,6.2,0.15300546448087432,0.015483029735774895,0.044628664143225194,False,1.0,-1.0
2019-02-11,Rotterdam,R32,Hard,3,David Goffin,Gael Monfils,player1,other,0.6218229148856281,1.93,0.4934383202099738,0.12838459467565433,0.2001182257292623,False,1.0,-1.0
2019-02-11,Buenos Aires,SF,Clay,3,Guido Pella,Marco Cecchinato,player2,other,0.445131802608963,2.59,0.3682926829268293,0.0768391196821337,0.1528913687572141,False,1.0,-1.0
2019-02-11,New York,R16,Hard,3,Ryan Harrison,Paolo Lorenzi,player2,other,0.7988932371685792,1.29,0.7361963190184049,0.06269691815017431,0.03057227594746717,False,1.0,-1.0
2019-02-11,Rotterdam,R32,Hard,3,Matthew Ebden,Fernando Verdasco,player2,other,0.3135428697644158,3.34,0.284796573875803,0.028746295888612827,0.04723318501314877,False,1.0,-1.0
2019-02-11,Buenos Aires,R16,Clay,3,Roberto Carballes Baena,Lorenzo Sonego,player2,other,0.576753182591033,1.87,0.5078947368421052,0.06885844574892785,0.0785284514452318,True,1.0,0.8700000000000001
2019-02-11,New York,R32,Hard,3,Bernard Tomic,Lukas Lacko,player2,other,0.686346383501136,1.52,0.6246913580246914,0.061655025476444525,0.04324650292172666,True,1.0,0.52
2019-02-11,New York,R32,Hard,3,Alexei Popyrin,Guillermo Garcia Lopez,player1,other,0.6553129090492578,1.65,0.5758354755784061,0.07947743347085168,0.08126629993127527,False,1.0,-1.0
2019-02-11,Rotterdam,R32,Hard,3,Hyeon Chung,Nikoloz Basilashvili,player2,other,0.5442129147900912,1.98,0.48031496062992135,0.0638979541601698,0.07754157128438044,False,1.0,-1.0
2019-02-11,Rotterdam,R32,Hard,3,Benoit Paire,Stan Wawrinka,player1,other,0.43706376050447604,2.6,0.3658536585365854,0.07121010196789063,0.1363657773116378,False,1.0,-1.0
2019-02-11,Buenos Aires,R16,Clay,3,Fabio Fognini,Jaume Munar,player1,other,0.5930872810057352,1.77,0.5366492146596858,0.05643806634604931,0.04976448738015121,False,1.0,-1.0
2019-02-11,Rotterdam,R32,Hard,3,Gilles Simon,Tomas Berdych,player1,other,0.5318246428377764,2.43,0.3909774436090226,0.14084719922875383,0.2923338820957968,False,1.0,-1.0
2019-02-11,Buenos Aires,R32,Clay,3,Nicolas Jarry,Lorenzo Sonego,player2,other,0.7007777385483349,1.6,0.5939086294416244,0.10686910910671055,0.12124438167733592,False,1.0,-1.0
2019-02-11,Buenos Aires,SF,Clay,3,Dominic Thiem,Diego Schwartzman,player2,top_10,0.7633295097467107,1.42,0.6720554272517322,0.09127408249497848,0.08392790384032905,False,1.0,-1.0
2019-02-18,Rio de Janeiro,QF,Clay,3,Casper Ruud,Laslo Djere,player2,other,0.5350919166864353,2.13,0.44675324675324674,0.08833866993318856,0.13974578254210712,False,1.0,-1.0
2019-02-18,Marseille,R32,Hard,3,Egor Gerasimov,Fernando Verdasco,player2,other,0.3372885573946696,3.33,0.2854077253218884,0.05188083207278121,0.1231708961242498,False,1.0,-1.0
2019-02-18,Delray Beach,SF,Hard,3,John Isner,Daniel Evans,player1,top_10,0.7627388504978262,1.42,0.6712962962962963,0.09144255420152991,0.08308916770691316,False,1.0,-1.0
2019-02-18,Delray Beach,QF,Hard,3,Juan Martin del Potro,Mackenzie Mcdonald,player2,top_10,0.8904635498337671,1.32,0.7197452229299364,0.1707183269038307,0.1754118857805726,False,1.0,-1.0
2019-02-18,Delray Beach,R16,Hard,3,Juan Martin del Potro,Reilly Opelka,player1,top_10,0.834206367756202,1.51,0.6299019607843138,0.20430440697188823,0.2596516153118651,True,1.0,0.51
2019-02-18,Marseille,R16,Hard,3,Andrey Rublev,Matteo Berrettini,player2,other,0.5319830359326403,2.09,0.4557291666666667,0.0762538692659736,0.11184454509921815,True,1.0,1.0899999999999999
2019-02-18,Marseille,R16,Hard,3,Peter Gojowczyk,Gilles Simon,player1,other,0.40587127482316293,2.62,0.36253041362530414,0.04334086119785879,0.06338274003668698,False,1.0,-1.0
2019-02-18,Marseille,R16,Hard,3,David Goffin,Benoit Paire,player1,other,0.7313580455687586,1.5,0.6332518337408313,0.09810621182792734,0.09703706835313791,True,1.0,0.5
2019-02-18,Marseille,R16,Hard,3,Stefanos Tsitsipas,Hubert Hurkacz,player2,other,0.7867826263874447,1.32,0.717948717948718,0.06883390843872672,0.03855306683142701,True,1.0,0.32000000000000006
2019-02-18,Marseille,QF,Hard,3,Andrey Rublev,Mikhail Kukushkin,player1,other,0.6220544622599665,1.77,0.5378590078328982,0.08419545442706833,0.10103639820014076,False,1.0,-1.0
2019-02-18,Marseille,QF,Hard,3,David Goffin,Gilles Simon,player1,other,0.6452294010962202,1.65,0.578005115089514,0.06722428600670616,0.06462851180876322,True,1.0,0.6499999999999999
2019-02-18,Marseille,R32,Hard,3,Filip Krajinovic,Hubert Hurkacz,player2,other,0.7384738311479789,1.44,0.660377358490566,0.07809647265741293,0.06340231685308961,False,1.0,-1.0
2019-02-18,Rio de Janeiro,SF,Clay,3,Aljaz Bedene,Laslo Djere,player2,other,0.49375130378801835,2.15,0.4430051813471503,0.05074612244086807,0.06156530314423936,False,1.0,-1.0
2019-02-18,Marseille,R32,Hard,3,Benoit Paire,Simone Bolelli,player1,other,0.7008184880781014,1.48,0.6433734939759036,0.05744499410219783,0.03721136235559008,True,1.0,0.48
2019-02-18,Marseille,R32,Hard,3,Andrey Rublev,Jo-Wilfried Tsonga,player1,other,0.2509778136683994,4.43,0.21453900709219859,0.0364388065762008,0.11183171455100915,True,1.0,3.4299999999999997
2019-02-18,Delray Beach,R16,Hard,3,Nick Kyrgios,Radu Albot,player1,other,0.7935929025149058,1.46,0.6507177033492824,0.1428751991656234,0.15864563767176237,False,1.0,-1.0
2019-02-18,Rio de Janeiro,R32,Clay,3,Maximilian Marterer,Cristian Garin,player2,other,0.5998243120750497,1.8,0.5287958115183247,0.07102850055672505,0.07968376173508951,False,1.0,-1.0
2019-02-18,Rio de Janeiro,R32,Clay,3,Diego Schwartzman,Pablo Cuevas,player2,other,0.5242683204501244,2.04,0.46736292428198434,0.056905396168140054,0.06950737371825377,False,1.0,-1.0
2019-02-18,Rio de Janeiro,R32,Clay,3,Malek Jaziri,Federico Delbonis,player2,other,0.2668739155972351,4.0,0.23809523809523808,0.02877867750199703,0.06749566238894045,False,1.0,-1.0
2019-02-18,Rio de Janeiro,R32,Clay,3,Guido Andreozzi,Hugo Dellien,player2,other,0.6946569869310898,1.75,0.5430809399477807,0.15157604698330907,0.2156497271294071,False,1.0,-1.0
2019-02-18,Rio de Janeiro,R32,Clay,3,Casper Ruud,Carlos Berlocq,player2,other,0.6937925197698084,1.52,0.6319612590799031,0.0618312606899053,0.05456463005010875,True,1.0,0.52
