bets,wins,win_rate,staked,profit,roi,max_drawdown,average_odds,average_model_probability,average_edge,segment,value
1903,828,0.4351024697845507,1903.0,76.35999999999993,0.04012611665790853,-77.47999999999999,2.9793431424067265,0.49354116560144445,0.06977025249930349,model_type,other
1205,586,0.4863070539419087,1205.0,24.21999999999998,0.02009958506224065,-58.44,4.651867219917013,0.5327465345629881,0.10088229185056093,model_type,top_10
877,390,0.44469783352337516,877.0,130.5,0.14880273660205245,-43.759999999999934,3.7871151653363744,0.5112827642830949,0.08057002819918656,surface,Clay
379,152,0.40105540897097625,379.0,-27.87,-0.07353562005277045,-51.169999999999995,4.311741424802111,0.4378017345010099,0.07669422046168001,surface,Grass
1852,872,0.4708423326133909,1852.0,-2.050000000000015,-0.0011069114470842413,-57.53,3.412386609071274,0.5220553837126309,0.08348214249483644,surface,Hard
36,16,0.4444444444444444,36.0,-0.6699999999999995,-0.018611111111111096,-7.93,2.180833333333333,0.6296254657090199,0.14478207899245574,tournament_importance,1
1491,704,0.4721663313212609,1491.0,129.43,0.08680751173708921,-51.55000000000003,2.810120724346077,0.538761830154765,0.08090442801349215,tournament_importance,3
812,427,0.5258620689655172,812.0,80.54,0.0991871921182266,-38.36999999999995,2.75743842364532,0.5607862950136854,0.09026403692841858,tournament_importance,4
769,267,0.3472041612483745,769.0,-108.72,-0.14137841352405722,-111.33999999999996,6.199934980494148,0.38992137218538053,0.07178270115523974,tournament_importance,5
