tourney_date,match_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,closing_odds,clv,market_probability,edge,ev,won,stake,profit
2018-12-31,2019-01-01,Doha,R32,Hard,3,Pierre Hugues Herbert,Dominic Thiem,player2,top_10,0.3839362145109013,3.75,3.77,-0.0053050397877983935,0.25,0.13393621451090132,0.43976080441587984,True,1.0,2.75
2018-12-31,2019-01-01,Doha,R32,Hard,3,Damir Dzumhur,Novak Djokovic,player2,top_10,0.11855970294634466,11.0,12.85,-0.14396887159533067,0.08713692946058092,0.031422773485763736,0.30415673240979124,False,1.0,-1.0
2018-12-31,2019-01-02,Pune,R16,Hard,3,Kevin Anderson,Laslo Djere,player2,top_10,0.8745819915878583,1.25,1.32,-0.053030303030303094,0.75,0.12458199158785832,0.0932274894848229,True,1.0,0.25
2018-12-31,2019-01-02,Brisbane,R16,Hard,3,Denis Kudla,Kei Nishikori,player2,top_10,0.2670259796682126,5.0,5.17,-0.03288201160541582,0.1883116883116883,0.07871429135652433,0.3351298983410631,False,1.0,-1.0
2018-12-31,2019-01-03,Brisbane,QF,Hard,3,Grigor Dimitrov,Kei Nishikori,player2,top_10,0.5007591873557637,2.3,2.26,0.017699115044247815,0.411764705882353,0.08899448147341077,0.1517461309182565,False,1.0,-1.0
2018-12-31,2019-01-04,Doha,SF,Hard,3,Roberto Bautista Agut,Novak Djokovic,player2,top_10,0.2144838288822134,5.0,4.95,0.010101010101010166,0.1883116883116883,0.02617214057052511,0.072419144411067,True,1.0,4.0
2018-12-31,2019-01-06,Brisbane,F,Hard,3,Daniil Medvedev,Kei Nishikori,player2,top_10,0.48425180468248663,2.37,2.36,0.004237288135593209,0.398477157360406,0.08577464732208062,0.14767677709749338,False,1.0,-1.0
2019-01-07,2019-01-08,Auckland,R16,Hard,3,Taylor Fritz,John Isner,player1,top_10,0.4385733378180537,2.37,2.4,-0.012499999999999956,0.39230769230769225,0.04626564551036144,0.03941881062878727,True,1.0,1.37
2019-01-14,2019-01-14,Australian Open,R128,Hard,5,Peter Gojowczyk,Karen Khachanov,player1,other,0.1636695901770869,6.5,7.07,-0.08062234794908063,0.14586070959264127,0.01780888058444563,0.06385233615106489,False,1.0,-1.0
2019-01-14,2019-01-14,Australian Open,R128,Hard,5,John Isner,Reilly Opelka,player1,top_10,0.8483397340956729,1.5,1.46,0.027397260273972712,0.6359223300970874,0.21241740399858544,0.2725096011435093,False,1.0,-1.0
2019-01-14,2019-01-14,Australian Open,R128,Hard,5,James Duckworth,Rafael Nadal,player2,top_10,0.18999656544792298,11.0,11.64,-0.054982817869415834,0.08713692946058092,0.10285963598734206,1.0899622199271528,False,1.0,-1.0
2019-01-14,2019-01-15,Australian Open,R128,Hard,5,Kamil Majchrzak,Kei Nishikori,player1,top_10,0.11391873686748452,17.0,15.25,0.11475409836065564,0.05660377358490567,0.05731496328257885,0.9366185267472369,False,1.0,-1.0
2019-01-14,2019-01-15,Australian Open,R128,Hard,5,Steve Darcis,Borna Coric,player2,other,0.18790901292532403,5.5,5.37,0.024208566108007368,0.1716867469879518,0.01622226593737222,0.03349957108928214,False,1.0,-1.0
2019-01-14,2019-01-15,Australian Open,R128,Hard,5,Benoit Paire,Dominic Thiem,player1,top_10,0.4295688741376467,3.75,3.68,0.01902173913043481,0.25447316103379725,0.17509571310384947,0.610883278016175,False,1.0,-1.0
2019-01-14,2019-01-16,Australian Open,R64,Hard,5,John Millman,Roberto Bautista Agut,player1,other,0.3184295318818628,3.4,3.46,-0.017341040462427793,0.28118393234672306,0.03724559953513973,0.08266040839833355,False,1.0,-1.0
2019-01-14,2019-01-16,Australian Open,R64,Hard,5,Matthew Ebden,Rafael Nadal,player2,top_10,0.13796707892551496,10.0,9.92,0.008064516129032251,0.09584086799276674,0.04212621093274822,0.37967078925514963,False,1.0,-1.0
2019-01-14,2019-01-17,Australian Open,R64,Hard,5,Novak Djokovic,Jo-Wilfried Tsonga,player1,top_10,0.9729929802649622,1.06,1.06,0.0,0.9041591320072333,0.06883384825772887,0.03137255908085995,True,1.0,0.06000000000000005
2019-01-14,2019-01-18,Australian Open,R32,Hard,5,Marin Cilic,Fernando Verdasco,player2,top_10,0.8350135629859144,1.28,1.3,-0.015384615384615441,0.7455268389662029,0.08948672401971158,0.06881736062197052,True,1.0,0.28
2019-01-14,2019-01-18,Australian Open,R32,Hard,5,Diego Schwartzman,Tomas Berdych,player1,other,0.26805908344666063,4.0,4.04,-0.00990099009900991,0.23809523809523808,0.029963845351422547,0.07223633378664251,False,1.0,-1.0
2019-01-14,2019-01-19,Australian Open,R32,Hard,5,Alex Bolt,Alexander Zverev,player1,top_10,0.16019264211983092,13.0,10.63,0.22295390404515514,0.07407407407407408,0.08611856804575684,1.082504347557802,False,1.0,-1.0
2019-01-14,2019-01-20,Australian Open,R16,Hard,5,Marin Cilic,Roberto Bautista Agut,player1,top_10,0.6941862121697782,1.72,1.72,0.0,0.549738219895288,0.14444799227449012,0.19400028493201843,False,1.0,-1.0
2019-01-14,2019-01-20,Australian Open,R16,Hard,5,Roger Federer,Stefanos Tsitsipas,player1,top_10,0.9161042935423591,1.14,1.16,-0.017241379310344862,0.8283132530120482,0.08779104053031095,0.04435889463828929,False,1.0,-1.0
2019-01-14,2019-01-21,Australian Open,R16,Hard,5,Daniil Medvedev,Novak Djokovic,player1,top_10,0.18114389797279581,6.5,6.4,0.015625,0.14586070959264127,0.03528318838015454,0.1774353368231728,False,1.0,-1.0
2019-01-14,2019-01-21,Australian Open,R16,Hard,5,Milos Raonic,Alexander Zverev,player1,top_10,0.5785022523701722,2.2,2.13,0.032863849765258246,0.43005181347150256,0.1484504388986696,0.2727049552143789,True,1.0,1.2000000000000002
2019-01-14,2019-01-24,Australian Open,SF,Hard,5,Rafael Nadal,Stefanos Tsitsipas,player2,top_10,0.935165203896558,1.16,1.18,-0.016949152542372947,0.8116883116883117,0.12347689220824631,0.08479163652000721,True,1.0,0.15999999999999992
2019-01-14,2019-01-25,Australian Open,SF,Hard,5,Lucas Pouille,Novak Djokovic,player2,top_10,0.11229437203288417,11.0,10.45,0.052631578947368585,0.08713692946058092,0.02515744257230325,0.23523809236172588,False,1.0,-1.0
2019-01-14,2019-01-27,Australian Open,F,Hard,5,Novak Djokovic,Rafael Nadal,player2,top_10,0.6289621303312996,1.74,1.75,-0.005714285714285672,0.5526992287917738,0.07626290153952575,0.0943941067764612,True,1.0,0.74
2019-02-04,2019-02-07,Cordoba,R16,Clay,3,Alessandro Giannessi,Diego Schwartzman,player1,other,0.1459501078774676,8.0,7.99,0.0012515644555695093,0.11894273127753305,0.027007376599934546,0.16760086301974075,False,1.0,-1.0
2019-02-11,2019-02-13,Rotterdam,R32,Hard,3,Thomas Fabbiano,Jo-Wilfried Tsonga,player2,other,0.21486468491777155,5.5,6.2,-0.11290322580645162,0.1716867469879518,0.04317793792981975,0.18175576704774354,False,1.0,-1.0
2019-02-11,2019-02-14,New York,R16,Hard,3,John Isner,Bernard Tomic,player1,top_10,0.8811101998322786,1.4,1.37,0.021897810218977964,0.6626506024096386,0.21845959742263998,0.2335542797651899,True,1.0,0.3999999999999999
2019-02-11,2019-02-14,Buenos Aires,R16,Clay,3,Maximilian Marterer,Dominic Thiem,player1,top_10,0.2495758246734304,4.5,4.87,-0.07597535934291588,0.2077464788732394,0.04182934580019099,0.12309121103043685,False,1.0,-1.0
2019-02-11,2019-02-15,Rotterdam,QF,Hard,3,Damir Dzumhur,Gael Monfils,player2,other,0.2576282323974606,4.33,4.25,0.018823529411764683,0.2198198198198198,0.03780841257764078,0.11553024628100428,False,1.0,-1.0
2019-02-11,2019-02-15,Rotterdam,QF,Hard,3,Marton Fucsovics,Kei Nishikori,player2,top_10,0.24699259877993918,4.5,4.58,-0.017467248908296984,0.21052631578947367,0.036466282990465504,0.11146669450972635,False,1.0,-1.0
2019-02-11,2019-02-15,Buenos Aires,QF,Clay,3,Pablo Cuevas,Dominic Thiem,player2,top_10,0.32989763733248634,3.5,3.62,-0.03314917127071826,0.27083333333333337,0.05906430399915297,0.15464173066370213,False,1.0,-1.0
2019-02-11,2019-02-16,Rotterdam,SF,Hard,3,Stan Wawrinka,Kei Nishikori,player1,top_10,0.43615303001222994,2.5,2.48,0.008064516129032251,0.3796526054590571,0.056500424553172834,0.09038257503057479,True,1.0,1.5
2019-02-11,2019-02-16,New York,QF,Hard,3,Jordan Thompson,John Isner,player1,top_10,0.41312378456061927,3.4,3.52,-0.03409090909090917,0.28118393234672306,0.1319398522138962,0.4046208675061055,False,1.0,-1.0
2019-02-11,2019-02-16,Buenos Aires,SF,Clay,3,Dominic Thiem,Diego Schwartzman,player1,top_10,0.8028950454710537,1.4,1.42,-0.014084507042253502,0.6818181818181818,0.12107686365287196,0.12405306365947516,False,1.0,-1.0
2019-02-18,2019-02-20,Delray Beach,R32,Hard,3,Juan Martin del Potro,Yoshihito Nishioka,player1,top_10,0.8327394094809718,1.25,1.32,-0.053030303030303094,0.75,0.0827394094809718,0.040924261851214755,True,1.0,0.25
2019-02-18,2019-02-20,Delray Beach,R16,Hard,3,John Isner,Lukas Lacko,player1,top_10,0.9439857054403364,1.11,1.12,-0.008928571428571397,0.8541392904073586,0.08984641503297786,0.047824133038773545,True,1.0,0.1100000000000001
2019-02-18,2019-02-22,Delray Beach,R16,Hard,3,Juan Martin del Potro,Reilly Opelka,player2,top_10,0.6929307664478245,1.5,1.51,-0.0066225165562914245,0.625,0.06793076644782448,0.03939614967173671,True,1.0,0.5
2019-02-18,2019-02-22,Delray Beach,QF,Hard,3,Adrian Mannarino,John Isner,player1,top_10,0.2461217869860295,4.33,4.1,0.056097560975609806,0.2198198198198198,0.026301967166209694,0.06570733764950776,False,1.0,-1.0
2019-02-18,2019-02-23,Delray Beach,SF,Hard,3,John Isner,Daniel Evans,player1,top_10,0.7425777000493743,1.44,1.42,0.014084507042253502,0.6563245823389022,0.08625311771047206,0.06931188807109895,False,1.0,-1.0
2019-02-25,2019-02-25,Dubai,R32,Hard,3,Roger Federer,Philipp Kohlschreiber,player2,top_10,0.98,1.1,1.11,-0.009009009009009028,0.8641975308641975,0.1158024691358025,0.07800000000000007,True,1.0,0.10000000000000009
2019-02-25,2019-02-26,Dubai,R32,Hard,3,Marin Cilic,Gael Monfils,player2,top_10,0.6920903471009866,1.8,1.93,-0.06735751295336778,0.5135135135135135,0.17857683358747312,0.2457626247817759,False,1.0,-1.0
2019-02-25,2019-02-26,Dubai,R32,Hard,3,Benoit Paire,Kei Nishikori,player2,top_10,0.27399654591581035,4.5,4.82,-0.06639004149377603,0.2077464788732394,0.06625006704257094,0.23298445662114664,False,1.0,-1.0
2019-02-25,2019-02-27,Dubai,R16,Hard,3,Egor Gerasimov,Stefanos Tsitsipas,player2,other,0.2438948819351482,4.33,4.3,0.006976744186046657,0.21699819168173598,0.02689669025341221,0.05606483877919166,False,1.0,-1.0
2019-02-25,2019-02-27,Acapulco,R32,Hard,3,Mischa Zverev,Rafael Nadal,player2,top_10,0.10486504171222344,11.0,10.09,0.09018830525272548,0.08713692946058092,0.017728112251642517,0.15351545883445783,False,1.0,-1.0
2019-02-25,2019-02-27,Acapulco,R16,Hard,3,Peter Gojowczyk,John Millman,player1,other,0.375125272940085,2.75,2.79,-0.014336917562724039,0.3373493975903614,0.0377758753497236,0.03159450058523383,False,1.0,-1.0
2019-02-25,2019-02-28,Dubai,QF,Hard,3,Marton Fucsovics,Roger Federer,player1,top_10,0.28555799824829053,5.0,5.05,-0.00990099009900991,0.1883116883116883,0.09724630993660224,0.42778999124145267,False,1.0,-1.0
2019-02-25,2019-02-28,Acapulco,R16,Hard,3,David Ferrer,Alexander Zverev,player2,top_10,0.24293097192641577,5.0,4.89,0.02249488752556239,0.1883116883116883,0.05461928361472748,0.21465485963207886,False,1.0,-1.0
2019-02-25,2019-02-28,Acapulco,R16,Hard,3,Steve Johnson,Stan Wawrinka,player1,other,0.28724559953513973,3.75,3.65,0.027397260273972712,0.25,0.03724559953513973,0.07717099825677398,False,1.0,-1.0
