bets,wins,win_rate,staked,profit,roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,edge_threshold
546,231,0.4230769230769231,546.0,-30.03999999999999,-0.055018315018315,-59.98000000000004,4.070934065934066,0.49000451038336895,0.07852898331270727,0.0001659135426838391,0.4194139194139194,0.01
482,200,0.4149377593360996,482.0,-27.569999999999993,-0.057199170124481315,-56.01000000000004,4.251701244813278,0.4828170338291126,0.0839840065405494,0.0011511451227053414,0.4336099585062241,0.02
427,173,0.405152224824356,427.0,-15.429999999999996,-0.03613583138173301,-49.73000000000002,4.311147540983606,0.4728707118180765,0.0893772104834313,-0.0012013978284735295,0.4309133489461358,0.03
366,141,0.38524590163934425,366.0,-4.329999999999995,-0.01183060109289616,-42.95000000000001,4.477349726775956,0.4562976857912928,0.09560951819054117,-0.0026972034704542424,0.4180327868852459,0.05
308,114,0.37012987012987014,308.0,-7.899999999999999,-0.025649350649350644,-34.91,4.69077922077922,0.45149348423218416,0.1037410821416513,-0.003923745239888062,0.39935064935064934,0.075
255,84,0.32941176470588235,255.0,-10.100000000000001,-0.039607843137254906,-36.36999999999999,5.097921568627451,0.4270455041316967,0.11002563909179072,-0.0035139898565670386,0.403921568627451,0.1
