bets,wins,win_rate,staked,profit,roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,edge_threshold
2651,1170,0.4413428894756696,2651.0,-126.04999999999997,-0.04754809505846849,-137.41000000000017,3.7068691059977366,0.4956875673357106,0.06492052631265187,0.03402678464588362,0.5167861184458695,0.01
2255,952,0.4221729490022173,2255.0,-124.39999999999999,-0.055166297117516624,-138.3900000000001,3.931117516629712,0.4828755227114286,0.0699173782188124,0.03893008001695854,0.5254988913525499,0.02
1949,805,0.41303232426885583,1949.0,-77.75,-0.03989225243714725,-104.23000000000002,4.085731144176501,0.47192207318287105,0.07456069964716684,0.04192375125223052,0.5233453052847614,0.03
1531,576,0.3762246897452645,1531.0,-64.03,-0.04182233834095363,-104.46,4.491208360548661,0.44689005856999664,0.08168638234172251,0.05078691119139596,0.5284128020901372,0.05
1203,417,0.34663341645885287,1203.0,-39.56999999999999,-0.032892768079800495,-93.02000000000001,4.9468994181213635,0.42100983731966984,0.08845555585763779,0.06139910187558106,0.5353283458021613,0.075
969,295,0.304437564499484,969.0,-40.25999999999999,-0.04154798761609906,-98.58000000000004,5.433570691434468,0.3928362666469062,0.09342130392683713,0.07528394753898376,0.5510835913312694,0.1
