side,bucket,bets,average_probability,actual_win_rate,average_market_probability,average_residual_edge,ece_component
player1,0,425,0.06607578336581062,0.07529411764705882,0.10276996828226477,-0.036694184916454146,0.00028449582960790685
player1,1,832,0.16858153083526678,0.17427884615384615,0.18331538954032472,-0.014733858705057952,0.0003442136624107205
player1,2,1419,0.26282035603647863,0.2536997885835095,0.2652277983603435,-0.002407442323864802,0.0009398072192116183
player1,3,2153,0.3587601444328978,0.358104969809568,0.3561395934657637,0.0026205509671341203,0.0001024319921595358
player1,4,2062,0.4484215970530668,0.453443258971872,0.44415365352444713,0.0042679435286195975,0.0007519182976237267
player1,5,2000,0.5515753134672721,0.54,0.551816004509529,-0.00024069104225695793,0.0016811144386423686
player1,6,2002,0.6408283554826233,0.6393606393606394,0.6399011573844053,0.0009271980982179293,0.0002133735876996463
player1,7,1467,0.7367793627220377,0.7409679618268575,0.7315103045281702,0.0052690581938676165,0.0004462039711546509
player1,8,904,0.8291279505975487,0.834070796460177,0.8108984252041556,0.01822952539339293,0.00032447408756197525
player1,9,507,0.9344441203296148,0.9270216962524654,0.8911595050530274,0.04328461527658739,0.0002732676644480944
player2,0,507,0.06555587967038524,0.07297830374753451,0.10884049494697262,-0.0432846152765874,0.00027326766444809236
player2,1,904,0.17087204940245138,0.16592920353982302,0.18910157479584427,-0.018229525393392905,0.0003244740875619807
player2,2,1467,0.26322063727796213,0.25903203817314246,0.26848969547182977,-0.005269058193867596,0.00044620397115463316
player2,3,2002,0.3591716445173767,0.36063936063936064,0.36009884261559466,-0.000927198098217934,0.0002133735876996463
player2,4,2000,0.44842468653272805,0.46,0.44818399549047105,0.00024069104225697745,0.0016811144386423605
player2,5,2062,0.5515784029469332,0.546556741028128,0.5558463464755529,-0.004267943528619576,0.0007519182976237184
player2,6,2153,0.6412398555671023,0.6418950301904319,0.6438604065342363,-0.0026205509671341186,0.00010243199215951844
player2,7,1419,0.7371796439635213,0.7463002114164905,0.7347722016396565,0.002407442323864821,0.000939807219211624
player2,8,832,0.8314184691647332,0.8257211538461539,0.8166846104596751,0.014733858705057975,0.00034421366241071716
player2,9,425,0.9339242166341893,0.9247058823529412,0.8972300317177352,0.03669418491645414,0.0002844958296079064
