bets,wins,win_rate,staked,profit,roi,max_drawdown,average_odds,average_model_probability,average_edge,average_clv,clv_positive_rate,edge_threshold,model_type,max_odds,exclude_slams,surface,test_year
83,41,0.4939759036144578,83.0,0.2700000000000007,0.003253012048192779,-11.45,3.2846987951807223,0.502711413994272,0.09258306353316714,-0.0067926872366522485,0.43373493975903615,0.03,top_10,10.0,False,Hard,2020
56,26,0.4642857142857143,56.0,-4.449999999999998,-0.07946428571428568,-15.08,2.6982142857142857,0.5621475340366603,0.11003668359855583,-0.00028061978506956276,0.4642857142857143,0.05,top_10,5.0,True,Hard,2021
107,47,0.4392523364485981,107.0,-0.8399999999999963,-0.007850467289719592,-17.52,3.602990654205607,0.5028266397073278,0.08176121662082418,0.008954647434868531,0.5233644859813084,0.05,top_10,,False,Hard,2022
127,59,0.4645669291338583,127.0,-3.459999999999999,-0.02724409448818897,-22.39,3.8605511811023625,0.5234601495550478,0.08754258957640165,0.017450287350113208,0.5039370078740157,0.05,top_10,,False,Hard,2023
37,16,0.43243243243243246,37.0,-5.15,-0.1391891891891892,-7.4,2.644054054054054,0.5218872015398482,0.08730388902006851,0.0037401472533149576,0.4594594594594595,0.01,,5.0,False,Grass,2024
20,12,0.6,20.0,-0.9300000000000002,-0.04650000000000001,-5.97,2.267,0.6417670270767847,0.08194936694579666,-7.218890411498369e-05,0.4,0.01,top_10,5.0,False,Grass,2025
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,top_10,10.0,False,Grass,2026
