tourney_date,tourney_name,round,surface,tournament_importance,player,opponent,side,model_type,model_probability,odds,market_probability,edge,ev,won,stake,profit
2019-01-07,Auckland,R32,Hard,3,Philipp Kohlschreiber,Bradley Klahn,player1,other,0.7087232857880562,1.48,0.6407766990291263,0.06794658675892995,0.048910462966323176,True,1.0,0.48
2019-01-07,Auckland,R32,Hard,3,Mackenzie Mcdonald,Matteo Berrettini,player1,other,0.5365657623087857,2.01,0.47244094488188976,0.06412481742689596,0.07849718224065916,False,1.0,-1.0
2019-01-07,Auckland,R32,Hard,3,Jan Lennard Struff,Laslo Djere,player1,other,0.7088251811437276,1.46,0.6507177033492824,0.05810747779444525,0.03488476446984229,True,1.0,0.45999999999999996
2019-01-07,Auckland,R32,Hard,3,Robin Haase,David Ferrer,player2,other,0.4985078817667296,2.12,0.44791666666666663,0.05059121510006298,0.05683670934546692,False,1.0,-1.0
2019-01-07,Auckland,R16,Hard,3,Matteo Berrettini,Leonardo Mayer,player1,other,0.68533712176426,1.58,0.6030150753768844,0.08232204638737561,0.08283265238753085,False,1.0,-1.0
2019-01-07,Auckland,R16,Hard,3,Joao Sousa,Cameron Norrie,player1,other,0.4416654574473573,2.4,0.3954659949622167,0.04619946248514062,0.05999709787365748,False,1.0,-1.0
2019-01-07,Auckland,R16,Hard,3,John Isner,Taylor Fritz,player1,top_10,0.7362589671515151,1.58,0.6030150753768844,0.1332438917746307,0.16328916809939387,False,1.0,-1.0
2019-01-07,Auckland,QF,Hard,3,Fabio Fognini,Philipp Kohlschreiber,player1,other,0.46181982359966806,2.54,0.37592137592137587,0.08589844767829219,0.17302235194315685,False,1.0,-1.0
2019-01-07,Auckland,QF,Hard,3,Pablo Carreno Busta,Jan Lennard Struff,player1,other,0.5125625583272624,2.02,0.4712041884816754,0.041358369845586995,0.03537636782107001,False,1.0,-1.0
2019-01-07,Auckland,F,Hard,3,Tennys Sandgren,Cameron Norrie,player1,other,0.49675442713564283,2.18,0.43814432989690716,0.05861009723873567,0.08292465115570136,True,1.0,1.1800000000000002
2019-01-07,Sydney,R32,Hard,3,Lucas Pouille,Andrey Rublev,player1,other,0.43445069828407235,2.5,0.3796526054590571,0.05479809282501524,0.08612674571018086,False,1.0,-1.0
2019-01-07,Sydney,R32,Hard,3,Denis Kudla,Guillermo Garcia Lopez,player1,other,0.6016883080443561,1.76,0.5404699738903395,0.061218334154016674,0.05897142215806678,False,1.0,-1.0
2019-01-07,Sydney,R32,Hard,3,Guido Andreozzi,Matthew Ebden,player1,other,0.25133305874243056,4.2,0.2250922509225092,0.026240807819921358,0.05559884671820836,True,1.0,3.2
2019-01-07,Sydney,R16,Hard,3,Reilly Opelka,Alex De Minaur,player1,other,0.21496621694607762,5.39,0.17835365853658536,0.03661255840949226,0.15866790933935837,False,1.0,-1.0
2019-01-07,Sydney,R16,Hard,3,Gilles Simon,Sam Querrey,player1,other,0.5497233643801408,1.93,0.4934383202099738,0.056285044170167,0.06096609325367175,True,1.0,0.9299999999999999
2019-01-07,Sydney,R16,Hard,3,John Millman,Marton Fucsovics,player1,other,0.5024884949084655,2.07,0.4595300261096606,0.04295846879880488,0.04015118446052346,True,1.0,1.0699999999999998
2019-01-07,Sydney,R16,Hard,3,Yoshihito Nishioka,Andrey Rublev,player1,other,0.45188445508052416,2.4,0.3954659949622167,0.05641846011830748,0.08452269219325792,True,1.0,1.4
2019-01-07,Sydney,R16,Hard,3,Diego Schwartzman,Guillermo Garcia Lopez,player2,other,0.6949373304916641,1.58,0.6030150753768844,0.0919222551147797,0.09800098217682929,True,1.0,0.5800000000000001
2019-01-07,Sydney,R16,Hard,3,Martin Klizan,Andreas Seppi,player1,other,0.5332820461797755,2.0,0.4750656167979003,0.05821642938187516,0.06656409235955096,False,1.0,-1.0
2019-01-07,Sydney,R16,Hard,3,Guido Andreozzi,Stefanos Tsitsipas,player1,other,0.19129422536030558,5.64,0.168141592920354,0.02315263243995158,0.07889943103212338,False,1.0,-1.0
2019-01-07,Sydney,SF,Hard,3,Diego Schwartzman,Andreas Seppi,player2,other,0.698021068475886,1.5,0.6368038740920097,0.061217194383876294,0.047031602713828946,False,1.0,-1.0
2019-01-14,Australian Open,R128,Hard,5,Martin Klizan,Jo-Wilfried Tsonga,player2,other,0.2928280644098758,3.64,0.2631578947368421,0.02967016967303371,0.0658941544519479,False,1.0,-1.0
2019-01-14,Australian Open,R128,Hard,5,Taro Daniel,Thanasi Kokkinakis,player1,other,0.28329153047353395,3.8,0.25196850393700787,0.03132302653652608,0.076507815799429,True,1.0,2.8
2019-01-14,Australian Open,R128,Hard,5,Pablo Andujar,Denis Shapovalov,player1,other,0.16688398602347174,6.89,0.13875,0.028133986023471724,0.14983066370172027,False,1.0,-1.0
2019-01-14,Australian Open,R128,Hard,5,Marius Copil,Marcel Granollers,player1,other,0.652400103011467,1.62,0.589873417721519,0.06252668528994798,0.05688816687857662,True,1.0,0.6200000000000001
2019-01-14,Australian Open,R128,Hard,5,Lloyd Harris,Daniil Medvedev,player2,other,0.22379454407799515,5.11,0.18630573248407642,0.03748881159391873,0.14359012023855533,False,1.0,-1.0
2019-01-14,Australian Open,R128,Hard,5,Nicolas Jarry,Leonardo Mayer,player1,other,0.5239298542426093,2.02,0.47258485639686687,0.051344997845742424,0.0583383055700708,False,1.0,-1.0
2019-01-14,Australian Open,R128,Hard,5,Guido Pella,Joao Sousa,player1,other,0.5013822211750263,2.07,0.4609375,0.04044472117502629,0.03786119783230435,False,1.0,-1.0
2019-01-14,Australian Open,R128,Hard,5,Kamil Majchrzak,Kei Nishikori,player1,top_10,0.11354073542505734,15.25,0.06269207129686541,0.05084866412819193,0.7314962152321244,False,1.0,-1.0
2019-01-14,Australian Open,R128,Hard,5,Hyeon Chung,Bradley Klahn,player2,other,0.709715372421473,1.52,0.625615763546798,0.08409960887467494,0.07876736608063895,True,1.0,0.52
2019-01-14,Australian Open,R128,Hard,5,Dominic Thiem,Benoit Paire,player1,top_10,0.8130548198235723,1.29,0.7404426559356136,0.07261216388795866,0.04884071757240829,True,1.0,0.29000000000000004
2019-01-14,Australian Open,R128,Hard,5,Marin Cilic,Bernard Tomic,player2,top_10,0.832906236888726,1.25,0.7619047619047619,0.07100147498396414,0.041132796110907505,True,1.0,0.25
2019-01-14,Australian Open,R128,Hard,5,Andy Murray,Roberto Bautista Agut,player2,other,0.29077386131292143,4.55,0.21006944444444445,0.08070441686847699,0.32302106897379246,False,1.0,-1.0
2019-01-14,Australian Open,R128,Hard,5,Peter Gojowczyk,Karen Khachanov,player1,other,0.1780089227150388,7.07,0.13463892288861687,0.04336999982642192,0.2585230835953243,False,1.0,-1.0
2019-01-14,Australian Open,R128,Hard,5,Damir Dzumhur,Gael Monfils,player2,other,0.4111549909466385,2.52,0.37931034482758624,0.031844646119052245,0.036110577185529014,False,1.0,-1.0
2019-01-14,Australian Open,R128,Hard,5,Denis Istomin,Roger Federer,player1,top_10,0.10727105129336038,14.98,0.06375,0.04352105129336038,0.6069203483745385,False,1.0,-1.0
2019-01-14,Australian Open,R128,Hard,5,Adrian Mannarino,Kevin Anderson,player2,top_10,0.11816824070259735,9.96,0.09618874773139745,0.0219794929711999,0.17695567739786966,False,1.0,-1.0
2019-01-14,Australian Open,R128,Hard,5,Feliciano Lopez,Jordan Thompson,player1,other,0.3071786142413342,3.49,0.2729166666666667,0.034261947574667495,0.07205336370225635,False,1.0,-1.0
2019-01-14,Australian Open,R128,Hard,5,Steve Johnson,Andreas Seppi,player2,other,0.5359560294718844,1.98,0.48167539267015713,0.05428063680172723,0.06119293835433104,False,1.0,-1.0
