bets,wins,win_rate,staked,profit,roi,max_drawdown,average_odds,average_model_probability,average_edge,segment,value
2514,996,0.39618138424821003,2514.0,-107.37000000000003,-0.042708830548926026,-187.5100000000001,3.2114041368337314,0.46991946691403746,0.059793273446256005,model_type,other
1793,699,0.3898494143892917,1793.0,-292.99,-0.16340769659788065,-292.9899999999995,5.60590630228667,0.4674275438520267,0.07470711888821496,model_type,top_10
1203,465,0.3865336658354115,1203.0,-21.150000000000006,-0.01758104738154614,-140.44000000000003,4.248395677472984,0.47040106136216064,0.0656784026730352,surface,Clay
519,175,0.3371868978805395,519.0,-89.19,-0.17184971098265894,-105.93999999999998,5.193044315992293,0.3915215617645868,0.06199111663113673,surface,Grass
2585,1055,0.4081237911025145,2585.0,-290.02,-0.1121934235976789,-292.22,3.991818181818182,0.4837071406476109,0.06695769658152252,surface,Hard
50,24,0.48,50.0,3.030000000000002,0.06060000000000004,-6.690000000000001,2.8676,0.5502377934977993,0.09339535066663361,tournament_importance,1
1935,877,0.4532299741602067,1935.0,-10.499999999999957,-0.005426356589147265,-110.80999999999996,2.9980103359173125,0.5216493148465284,0.06908089362145901,tournament_importance,3
1141,482,0.4224364592462752,1141.0,-85.33,-0.07478527607361964,-91.54000000000008,3.3879929886064852,0.5128874351203756,0.06958241016493061,tournament_importance,4
1181,312,0.26418289585097376,1181.0,-307.56,-0.2604233700254022,-318.37,7.040330228619815,0.33646676424496424,0.056338126097727606,tournament_importance,5
