bets,wins,win_rate,staked,profit,roi,max_drawdown,average_odds,average_model_probability,average_edge,year
160,70,0.4375,160.0,-4.029999999999999,-0.025187499999999995,-30.310000000000002,2.80275,0.4783317436944795,0.06275484937549784,2019
80,26,0.325,80.0,-21.020000000000003,-0.26275000000000004,-25.54,3.0937499999999996,0.46124535418446133,0.06452897920857988,2020
103,49,0.47572815533980584,103.0,27.390000000000004,0.26592233009708743,-8.969999999999999,3.230679611650486,0.46095779126195424,0.05856865987624514,2021
115,46,0.4,115.0,160.27000000000004,1.3936521739130439,-10.59,4.5748695652173925,0.4694386009290872,0.0599525462191165,2022
83,38,0.4578313253012048,83.0,-11.74,-0.14144578313253012,-17.17,2.9351807228915665,0.50353139261416,0.058874204797457884,2023
74,28,0.3783783783783784,74.0,-8.559999999999999,-0.11567567567567566,-17.0,2.9005405405405407,0.47416851144202604,0.05558937469045675,2024
59,21,0.3559322033898305,59.0,-15.030000000000001,-0.25474576271186444,-19.09,3.154915254237288,0.47192521807379756,0.054378184064801764,2025
30,9,0.3,30.0,-8.98,-0.29933333333333334,-11.639999999999999,2.826666666666666,0.46238817799232357,0.051558911706200306,2026
