bets,wins,win_rate,staked,profit,roi,max_drawdown,average_odds,average_model_probability,average_edge,edge_threshold
5735,2471,0.43086312118570186,5735.0,-464.58000000000004,-0.08100784655623366,-465.0599999999989,3.6851857018308634,0.49693138414024685,0.059750880579747534,0.01
4959,2026,0.40855011090945753,4959.0,-474.05999999999995,-0.09559588626739261,-474.53999999999957,3.946067755595886,0.48231453258571655,0.06297212578155797,0.02
4307,1695,0.3935453912235895,4307.0,-400.36,-0.09295565358718366,-400.8399999999989,4.208233108892501,0.46888208171548046,0.0660018931066768,0.03
3320,1201,0.3617469879518072,3320.0,-298.40000000000003,-0.08987951807228917,-298.39999999999975,4.8058433734939765,0.43881858220670117,0.07068845142748079,0.05
2445,782,0.3198364008179959,2445.0,-239.06,-0.09777505112474438,-244.56999999999982,5.644278118609407,0.4001353527641108,0.07514867979336223,0.075
1882,533,0.2832093517534538,1882.0,-186.83000000000004,-0.09927205100956432,-212.08000000000004,6.461216790648246,0.36625475229120685,0.07810048392034108,0.1
